Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Experimental-Theoretical Approach to the Adsorption Mechanisms for Anionic, Cationic, and Zwitterionic Surfactants at the Calcite-Water Interface","Duran-Alvarez, Agustin; Maldonado-Dominguez, Mauricio; Gonzalez-Antonio, Oscar; Duran-Valencia, Cecilia; Romero-Avila, Margarita; Barragan-Aroche, Fernando; Lopez-Ramirez, Simon",,,,LANGMUIR,MAR 22 2016,2016,32.0,11,,,,2608.0,2616.0,,10.1021/acs.langmuir.5b04151,,,41,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,9,8,2,3,0,1
Mathematical simulation of effects of flow control devices and buoyancy forces on molten steel flow and evolution of output temperatures in tundish,"Morales, RD; López-Ramírez, S; Palafox-Ramos, J; Zacharias, D",,,,IRONMAKING & STEELMAKING,2001,2001,28.0,1,,,,33.0,43.0,,10.1179/030192301677830,,,39,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,1,0,2,0,6,0,2,1,5,2,0,1,4,1,2,0,0,1,1,0
Physical and mathematical determination of the influence of input temperature changes on the molten steel flow characteristics in slab tundishes,"López-Ramírez, S; Barreto, JD; Vite-Martínez, P; Serrano, JAR; Duran-Valencia, C",,,,METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE,OCT 2004,2004,35.0,5,,,,957.0,966.0,,10.1007/s11663-004-0090-9,,,35,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,8,1,4,1,6,2,1,2,1,2,1,0,0,1,0,0
Modelling steel flow in a three-strand billet tundish using a turbulence inhibitor,"Morales, RD; Díaz-Cruz, M; Palfox-Ramos, J; López-Ramírez, S; Barreto-Sandoval, JD",,,,STEEL RESEARCH,JAN 2001,2001,72.0,1,,,,11.0,16.0,,10.1002/srin.200100074,,,29,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,0,0,1,2,2,2,0,2,0,1,0,1,1,0,0,4,2,1,0
Numerical simulation of the effects of buoyancy forces and flow control devices on fluid flow and heat transfer phenomena of liquid steel in a tundish,"Lopez-Ramirez, S; Morales, RD; Serrano, JAR",,,,NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,JAN 2000,2000,37.0,1,,,,69.0,86.0,,10.1080/104077800274424,,,26,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,1,0,1,1,2,2,0,0,2,0,1,0,0,0,1,0,1,0
"Effects of tundish size, tundish design and casting flow rate on fluid flow phenomena of liquid steel","López-Ramírez, S; Palafox-Ramos, J; Morales, RD; Barrón-Meza, MA; Toledo, MV",,,,STEEL RESEARCH,OCT-NOV 1998,1998,69.0,10-11,,,,423.0,428.0,,10.1002/srin.199805575,,,24,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,2,1,1,1,0,1,1,0,0,2,2,1,0,0,0,0,1,1,0,0,1,0
Mathematical simulation of the influence of buoyancy forces on the molten steel flow in a continuous casting tundish,"Morales, RD; Barreto, JD; López-Ramirez, S; Palafox-Ramos, J; Diaz-Cruz, M",,,,MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING,NOV 2000,2000,8.0,6,,,,781.0,801.0,,10.1088/0965-0393/8/6/302,,,20,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,2,0,3,3,1,0,1,1,0,0,1,0,1,1,0,0
Eyring-Theory-Based Model To Estimate Crude Oil Viscosity at Reservoir Conditions,"Macias-Salinas, Ricardo; Duran-Valencia, Cecilia; Lopez-Ramirez, Simon; Bouchot, Christian",,,,ENERGY & FUELS,JAN-FEB 2009,2009,23.0,1-2,,,,464.0,470.0,,10.1021/ef8003015,,,17,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,2,1,2,0,1,5,0,1,0
Inverse Emulsion Free-Radical Polymerization of Acrylamide Terpolymer for Enhanced Oil Recovery Application in Harsh Reservoir Conditions,"Garcia-Uriostegui, L.; Pineda-Torres, G.; Lopez-Ramirez, S.; Barragan-Aroche, J.; Duran-Valencia, C.",,,,POLYMER ENGINEERING AND SCIENCE,NOV 2017,2017,57.0,11,,,,1214.0,1223.0,,10.1002/pen.24499,,,16,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,4,1,1,0
"Mathematical modelling of the geometry influence of a multiple-strand tundish on the momentum, heat and mass transfer of steel flow","García-Demedices, L; Morales, RD; López-Ramírez, S; Barreto-Sandoval, JD; Palafox-Ramos, J; Díaz-Cruz, M",,,,STEEL RESEARCH,SEP 2001,2001,72.0,9,,,,346.0,353.0,,10.1002/srin.200100129,,,13,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Passive organic cationic tracers for carbonate formations: Development and performance at oil reservoir emulating conditions,"Maldonado-Dominguez, Mauricio; Gonzalez-Antonio, Oscar; Diaz-Paulino, Luis Enrique; Canas-Alonso, Roberto C.; Xochitiotzi-Flores, Elba; Jimenez-Garcia, Carlos A.; Almaraz-Giron, Marco A.; Luna-Pabello, Victor Manuel; Romero-Avila, Margarita; Barragan-Aroche, Fernando; Lopez-Ramirez, Simon",,,,FUEL,NOV 15 2021,2021,304.0,,,,,,,121377.0,10.1016/j.fuel.2021.121377,,,11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1
Preparation and Evaluation of Mebendazole Microemulsion for Intranasal Delivery: an Alternative Approach for Glioblastoma Treatment,"Mena-Hernandez, Julio; Jung-Cook, Helgi; Llaguno-Munive, Monserrat; Garcia-Lopez, Patricia; Ganem-Rondero, Adriana; Lopez-Ramirez, Simon; Barragan-Aroche, Fernando; Rivera-Huerta, Marisol; Mayet-Cruz, Lourdes",,,,AAPS PHARMSCITECH,SEP 27 2020,2020,21.0,7,,,,,,264.0,10.1208/s12249-020-01805-x,,,11,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0
SURVEY ON IONIC LIQUIDS EFFECT BASED ON METAL ANIONS OVER THE THERMAL STABILITY OF HEAVY OIL,"Murillo-Hernandez, J. A.; Lopez-Ramirez, S.; Dominguez, J. M.; Duran-Valencia, C.; Garcia-Cruz, I.; Gonzalez-Guevara, J. A.",,,,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,JAN 2009,2009,95.0,1,,,,173.0,179.0,,10.1007/s10973-007-8919-5,,,9,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,1,0,1,0,0,0,0,0
Stochastic simulation of grain growth during continuous casting,"Ramirez, A; Carrillo, F; Gonzalez, JL; Lopez, S",,,,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,APR 15 2006,2006,421.0,1-2,,,SI,208.0,216.0,,10.1016/j.msea.2006.01.077,,,9,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,2,1,1,0,0
Optimization of reagents injection in a stirred batch reactor by numerical simulation,"Vite-Martinez, P.; Duran-Valencia, C.; Cruz-Maya, J. A.; Ramirez-Lopez, A.; Lopez-Ramirez, S.",,,,COMPUTERS & CHEMICAL ENGINEERING,JAN 10 2014,2014,60.0,,,,,307.0,314.0,,10.1016/j.compchemeng.2013.09.005,,,8,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,1,1
Specific behavior of β-zeolites upon the modification of the surface acidity by Cs and Li exchange,"Ramírez, S; Domínguez, JM; Viniegra, M; de Ménorval, LC",,,,NEW JOURNAL OF CHEMISTRY,FEB 2000,2000,24.0,2,,,,99.0,104.0,,10.1039/a908258a,,,8,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mathematical simulation of oil reservoir properties,"Ramirez, A.; Romero, A.; Chavez, F.; Carrillo, F.; Lopez, S.",,,,CHAOS SOLITONS & FRACTALS,NOV 2008,2008,38.0,3,,,,778.0,788.0,,10.1016/j.chaos.2007.01.028,,,7,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
n-heptane reforming over Pt supported on beta zeolite exchanged with Cs and Li cations,"Ramírez, S; Viniegra, M; Domínguez, JM; Schacht, P; De Ménorval, LC",,,,CATALYSIS LETTERS,2000,2000,66.0,1-2,,,,25.0,32.0,,10.1023/A:1019058430711,,,6,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
