Bernardo LÃ³pez Sosa (Autor)
PerÃ­odo de tiempo: 1900-2025. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Solar air heating system with low environmental impact materials: Mathematical model and optothermal characterization","Lopez-Sosa, L. B.; Ortiz-Carrion, A.; Espinosa-Gomez, D.; Medina, J. Zarate; Gonzalez-Aviles, M.","","","","SUSTAINABLE ENERGY TECHNOLOGIES AND ASSESSMENTS","OCT 2021","2021","47","","","","","","","101399","10.1016/j.seta.2021.101399","","","8","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","1"
"DEVELOPMENT A LOW-COST SOLAR ABSORBER COATING BASED ON SOOT OF BIOMASS-FOREST: THERMAL CHARACTERIZATION AND APPLICATION IN A SOLAR COOKING SYSTEM","Lopez-Sosa, L. B.; Hernandez-Ramirez, L. M.; Gonzalez-Aviles, M.; Servin-Campuzano, H.; Zarate-Medina, J.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","AUG 2018","2018","17","2","","","","651","668","","10.24275/uam/izt/dcbi/revmexingquim/2018v17n2/LopezL","","","8","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","0","0","2"
"Anticipating alliances of stakeholders in the optimal design of community energy systems","Garcia-Martinez, Javier; Luis Reyes-Patino, Jose; Bernardo Lopez-Sosa, Luis; Fabian Fuentes-Cortes, Luis","","","","SUSTAINABLE ENERGY TECHNOLOGIES AND ASSESSMENTS","DEC 2022","2022","54","","","","","","","102880","10.1016/j.seta.2022.102880","","","7","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0"
"Into the net zero emissions and climate change control: From solid carbon waste to effective solar convertors","Bernardo Lopez-Sosa, Luis; Zarate-Medina, Juan; Gonzalez-Aviles, Mauricio; Servin-Campuzano, Hermelinda; Alfredo Calderon-Benavides, Hector; Hernandez, Francisco C. Robles","","","","CARBON","MAY 2022","2022","191","","","","","362","373","","10.1016/j.carbon.2022.01.066","","","7","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","1"
"ADOPTION SUSTAINABLE TECHNOLOGY OF SOLAR COOKERS IN INDIGENOUS AND RURAL COMMUNITIES OF MICHOACAN","Gonzalez-Aviles, M.; Lopez-Sosa, L. B.; Servin-Campuzano, H.; Gonzalez-Perez, D.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","APR 2017","2017","16","1","","","","271","280","","","","","5","0.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1"
"Multifactorial Assessment of the Bioenergetic Potential of Residual Biomass of Pinus spp. in a Rural Community: From Functional Characterization to Mapping of the Available Energy Resource","Morales-Maximo, Mario; Lopez-Sosa, Luis Bernardo; Alvarado-Flores, Jose Juan; Alcaraz-Vera, Jorge Victor; Garcia, Carlos A.; Alvarez-Jara, Margarito; Rutiaga-Quinones, Jose Guadalupe","","","","FIRE-SWITZERLAND","AUG 2023","2023","6","8","","","","","","317","10.3390/fire6080317","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Multiparametric analysis of three construction systems considering sustainability indicators: environmental, economic and energy-functional","Bucio-Sistos, Carla; Bernardo Lopez-Sosa, Luis; Morales-Maximo, Mario","","","","INFORMES DE LA CONSTRUCCION","JUL-SEP 2022","2022","74","567","","","","","","e461","10.3989/ic.87813","","","3","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"A Thermal Model for Rural Housing in Mexico: Towards the Construction of an Internal Temperature Assessment System Using Aerial Thermography","Moctezuma-Sanchez, Miguel; Gomez, David Espinoza; Lopez-Sosa, Luis Bernardo; Golpour, Iman; Morales-Maximo, Mario; Gonzalez-Carabes, Ricardo","","","","BUILDINGS","OCT 2024","2024","14","10","","","","","","3075","10.3390/buildings14103075","","","2","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Multifunctional characterization of cement-Sargassum composites for application as bioconstruction materials","Lopez-Sosa, Luis Bernardo; Rodriguez-Torres, Gerardo Manuel; Rodriguez-Martinez, Rosa E.; Herrera-Ramirez, Martin; Corral-Huacuz, Juan Carlos; Garcia, Carlos A.; Morales-Maximo, Mario","","","","JOURNAL OF BUILDING PHYSICS","MAR 2025","2025","48","5","","","","794","820","","10.1177/17442591241276396","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Analysis of the Restoration of Distribution Substations: A Case Study of the Central-Western Division of Mexico","Sanchez-Ixta, Carlos; Vazquez-Abarca, Juan Rodrigo; Lopez-Sosa, Luis Bernardo; Golpour, Iman","","","","ENERGIES","AUG 2024","2024","17","16","","","","","","4154","10.3390/en17164154","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Evaluation of the Energy Potential of Agro-industrial Waste from Mangifera indica L. in Zamora, Mexico: Perspectives for the Management of Solid and Liquid Biofuels","Lopez-Sosa, Luis Bernardo; Santibanez-Rocha, Gustavo Alberto; Morales-Maximo, Mario; Gonzalez-Carabes, Ricardo; Rutiaga-Quinones, Jose Guadalupe; Bustamante, Carlos Alberto Garcia; Pintor-Ibarra, Luis Fernando; Ramos, Ismael Santos; Reyes, Cecilia Irene Villasenor; Magallon, Maria del Carmen Rodriguez; Trujillo, Saul Leonardo Hernandez","","","","BIOENERGY RESEARCH","DEC 2024","2024","17","4","","","","2127","2140","","10.1007/s12155-024-10774-z","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Use of design thinking in the proposal of a multi-compound solar dryer applied to processes of traditional P'urhepecha Medicine","Nunez-Montiel, Natalia; Cira-Ramos, Jorge; Carlos Corral-Huacuz, Juan; Morales-Maximo, Mario; Lopez Sosa, Luis Bernardo; Garcia, Carlos A.; Aguilera-Mandujano, Arturo; Arias Navarrete, Cesar Ricardo; del Carmen Rodriguez-Magallon, Maria","","","","ENERGY EXPLORATION & EXPLOITATION","MAY 2024","2024","42","3","","","","1163","1177","","10.1177/01445987231221589","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
