AÑO,CVU,NOBILIS,NOMBRE DEL INVESTIGADOR,NIVEL,FECHA DE INICIO DE VIGENCIA,FECHA DE FIN DE VIGENCIA,ÁREA DEL CONOCIMIENTO,DISCIPLINA,SUBDISCIPLINA,ESPECIALIDAD,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ENTIDAD FEDERATIVA,PAÍS
2001,-,DR.,"ABDULLAEV JAFAROVA, FIKRAT",1,2001-07-01,2004-06-30,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,BIOLOGIA MOLECULAR,AGENTES ANTITUMORALES DE ORIGEN NATURAL Y SINTETICOS,SECRETARIA DE SALUD,INSTITUTO NACIONAL DE PEDIATRIA,CIUDAD DE MÉXICO,MÉXICO
2001,-,DR.,"ABITIA CARDENAS, LEONARDO ANDRES",1,1999-07-01,2002-06-30,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,PESCA,PROSPECCION DE RECURSOS,ICTIOLOGIA Y DINAMICA DE POBLACIONES,INSTITUTO POLITÉCNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,MÉXICO
2001,-,DR.,"ABOITES AGUILAR, JAIME",2,2001-07-01,2004-06-30,V.- CIENCIAS SOCIALES,ECONOMIA,ECONOMIA INDUSTRIAL,DESARROLLO TECNOLOGICO,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS SOCIALES Y HUMANIDADES. XOCHIMILCO,CIUDAD DE MÉXICO,MÉXICO
2001,-,DR.,"ABOITES AGUILAR, LUIS",2,2001-07-01,2004-06-30,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA SOCIAL,HISTORIA DE LOS APROVECHAMIENTOS HIDRáULICOS,"EL COLEGIO DE MEXICO, A.C.",CENTRO DE ESTUDIOS HISTORICOS,CIUDAD DE MÉXICO,MÉXICO
2001,-,DR.,"ABOITES MANRIQUE, GILBERTO",1,2001-07-01,2004-06-30,V.- CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA RURAL,,"EL COLEGIO DE LA FRONTERA NORTE, A.C. (COLEF)",DIRECCION REGIONAL DE MONTERREY,NUEVO LEÓN,MÉXICO
2001,-,DR.,"ABOITES MANRIQUE, VICENTE",1,1999-07-01,2002-06-30,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,OPTICA,LASERES Y OPTO-ELECTRONICA,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C. (CIO)",AREA DE INVESTIGACION,GUANAJUATO,MÉXICO
2001,-,DR.,"ABOYTES GARCIA, FLORENCIO",2,1999-07-01,2002-06-30,VII.- INGENIERÍAS ,INGENIERIA ELECTRICA,SISTEMAS ELECTRICOS DE POTENCIA,"ANALISIS, OPERACION Y CONTROL DE SISTEMAS DE POTENCIA",COMISION FEDERAL DE ELECTRICIDAD,CENTRO NACIONAL DE CONTROL DE ENERGIA,CIUDAD DE MÉXICO,MÉXICO
2001,-,DR.,"ABREU GROBOIS, FEDERICO ALBERTO",1,1999-07-01,2002-06-30,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,GENETICA,GENETICA DE POBLACIONES,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,SINALOA,MÉXICO
2001,-,DR.,"ABUD ARCHILA, MIGUEL",C,2001-07-01,2004-06-30,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,TECNOLOGIA DE ALIMENTOS,TRATAMIENTOS POST-COSECHA DE ALIMENTOS CON ENFASIS EN SECADO,TECNOLÓGICO NACIONAL DE MÉXICO,INSTITUTO TECNOLÓGICO DE TUXTLA GUTIERREZ,CHIAPAS,MÉXICO
2001,-,DR.,"ABURTO ANELL, JORGE ARTURO",1,2001-07-01,2004-06-30,II.- BIOLOGÍA Y QUÍMICA,QUIMICA,QUIMICA ORGANICA,POLIMEROS NATURALES,INSTITUTO MEXICANO DEL PETROLEO,DIRECCION EJECUTIVA DE INVESTIGACION Y POSGRADO,CIUDAD DE MÉXICO,MÉXICO
