AÑO,CVU,NOBILIS,NOMBRE DEL INVESTIGADOR,NIVEL,FECHA DE INICIO DE VIGENCIA,FECHA DE FIN DE VIGENCIA,ÁREA DEL CONOCIMIENTO,DISCIPLINA,SUBDISCIPLINA,ESPECIALIDAD,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ENTIDAD FEDERATIVA,PAÍS
2008,72396,DR.,"ABARCA ARENAS,LUIS GERARDO",1,01/01/2007,31/12/2009,II.- BIOLOGÍA Y QUÍMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA TEORICA Y REDES TROFICAS,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,VERACRUZ DE IGNACIO DE LA LLAVE,MÉXICO
2008,37269,DR.,"ABARCA ROJANO,EDGAR",C,01/01/2006,31/12/2008,III.- MEDICINA Y CIENCIAS DE LA SALUD,MEDICINA Y PATOLOGIA HUMANA,SANIDAD PUBLICA,INMUNOLOGIA,INSTITUTO POLITÉCNICO NACIONAL,ESCUELA SUPERIOR DE MEDICINA,CIUDAD DE MÉXICO,MÉXICO
2008,38286,DRA.,"ABASCAL MENA,MARIA DEL ROCIO",C,01/01/2008,31/12/2010,VII.- INGENIERÍAS ,CIENCIAS DE LA TECNOLOGIA,CIENCIAS DE LA COMPUTACION,TECNOLOGIAS DE LA INFORMACION,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD CUAJIMALPA,CIUDAD DE MÉXICO,MÉXICO
2008,203026,DR.,"ABATAL,MOHAMED",C,01/01/2007,31/12/2009,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,FISICA DEL ESTADO SOLIDO,,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE GEOLOGIA,CIUDAD DE MÉXICO,MÉXICO
2008,19177,DR.,"ABDULLAEV JAFAROVA,FIKRAT",2,17/07/2006,31/12/2008,II.- BIOLOGÍA Y QUÍMICA,CIENCIAS DE LA VIDA,,BUSQUEDA E INVESTIGACION DE SUSTANCIAS ANTITUMORAL,SECRETARIA DE SALUD,INSTITUTO NACIONAL DE PEDIATRIA,CIUDAD DE MÉXICO,MÉXICO
2008,13070,DR.,"ABITIA CARDENAS,LEONARDO ANDRES",1,01/01/2006,31/12/2009,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,TAXONOMIA Y ECOLOGIA DE PECES,INSTITUTO POLITÉCNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,MÉXICO
2008,5885,DR.,"ABOITES AGUILAR,JAIME",3,01/01/2005,31/12/2009,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,,DESARROLLO TECNOLOGICO,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS SOCIALES Y HUMANIDADES. XOCHIMILCO,CIUDAD DE MÉXICO,MÉXICO
2008,8479,DR.,"ABOITES AGUILAR,LUIS",2,01/01/2005,31/12/2009,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,,HISTORIA DE LOS APROVECHAMIENTOS HIDRAULICOS,"EL COLEGIO DE MEXICO, A.C.",CENTRO DE ESTUDIOS HISTORICOS,CIUDAD DE MÉXICO,MÉXICO
2008,10132,DR.,"ABOITES MANRIQUE,GILBERTO",1,01/01/2005,31/12/2008,V.- CIENCIAS SOCIALES,SOCIOLOGIA,,,UNIVERSIDAD AUTONOMA DE COAHUILA,No Disponible,COAHUILA DE ZARAGOZA,MÉXICO
2008,4341,DR.,"ABOITES MANRIQUE,VICENTE",2,01/01/2006,31/12/2010,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,,LASERES Y OPTO-ELECTRONICA,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C. (CIO)",AREA DE INVESTIGACION,GUANAJUATO,MÉXICO
2008,203014,DR.,"ABREU BERISTAIN,MARTIN",1,01/01/2007,31/12/2009,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ORGANIZACION Y DIRECCION DE EMPRESAS,FINANZAS BURSATILES,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS SOCIALES Y HUMANIDADES. IZTAPALAPA,CIUDAD DE MÉXICO,MÉXICO
2008,38704,DR.,"ABREU CORONA,ARTURO",C,01/01/2008,31/12/2010,II.- BIOLOGÍA Y QUÍMICA,QUIMICA,QUIMICA INORGANICA,HETEROCICLOS DE BORO,UNIVERSIDAD POLITÉCNICA DE PACHUCA,No Disponible,HIDALGO,MÉXICO
2008,201243,DR.,"ABREU GOODGER,CEI LEANDER GASTON",C,01/01/2007,31/12/2009,II.- BIOLOGÍA Y QUÍMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,GENOMICA COMPUTACIONAL / BIOINFORMATICA,Sin Institución de adscripción,Sin Institución de adscripción,Sin Institución de adscripción,Sin Institución de adscripción
2008,2383,DR.,"ABREU GROBOIS,FEDERICO ALBERTO",1,01/01/2007,31/12/2010,II.- BIOLOGÍA Y QUÍMICA,CIENCIAS DE LA VIDA,GENETICA,GENETICA Y CONSERVACION DE TORTUGAS MARINAS,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,SINALOA,MÉXICO
