AÑO,CVU,NOBILIS,NOMBRE DEL INVESTIGADOR,NIVEL,FECHA DE INICIO DE VIGENCIA,FECHA DE FIN DE VIGENCIA,ÁREA DEL CONOCIMIENTO,DISCIPLINA,SUBDISCIPLINA,ESPECIALIDAD,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ENTIDAD FEDERATIVA,PAÍS
2009,72396,DR.,"ABARCA ARENAS, LUIS GERARDO",1,01/01/2007,31/12/2009,II.- BIOLOGÍA Y QUÍMICA,CIENCIAS DE LA VIDA,,ECOLOGIA TEORICA Y REDES TROFICAS,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,VERACRUZ DE IGNACIO DE LA LLAVE,MÉXICO
2009,38286,DRA.,"ABASCAL MENA, MARIA DEL ROCIO",C,01/01/2008,31/12/2010,VII.- INGENIERÍAS ,CIENCIAS DE LA TECNOLOGIA,,TECNOLOGIAS DE LA INFORMACION,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD CUAJIMALPA,CIUDAD DE MÉXICO,MÉXICO
2009,36643,DR.,"ABASOLO PALACIO, VICTOR ENRIQUE",C,01/01/2009,31/12/2011,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,,ECOLOGIA CULTURAL,UNIVERSIDAD VERACRUZANA,No Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,MÉXICO
2009,203026,DR.,"ABATAL, MOHAMED",C,01/01/2007,31/12/2009,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,,,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,GERENCIA DE CIENCIA BASICA,MÉXICO,MÉXICO
2009,13070,DR.,"ABITIA CARDENAS, LEONARDO ANDRES",1,01/01/2006,31/12/2009,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,DINAMICA DE POBLACION,TAXONOMIA Y ECOLOGIA DE PECES,INSTITUTO POLITÉCNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,MÉXICO
2009,5885,DR.,"ABOITES AGUILAR, JAIME",3,01/01/2005,31/12/2009,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ECONOMIA INDUSTRIAL,DESARROLLO TECNOLOGICO,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS SOCIALES Y HUMANIDADES. XOCHIMILCO,CIUDAD DE MÉXICO,MÉXICO
2009,8479,DR.,"ABOITES AGUILAR, LUIS",2,01/01/2005,31/12/2009,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA SOCIAL,HISTORIA DE LOS APROVECHAMIENTOS HIDRAULICOS,"EL COLEGIO DE MEXICO, A.C.",CENTRO DE ESTUDIOS HISTORICOS,CIUDAD DE MÉXICO,MÉXICO
2009,10132,DR.,"ABOITES MANRIQUE, GILBERTO",1,01/01/2009,31/12/2012,V.- CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA RURAL,,UNIVERSIDAD AUTONOMA DE COAHUILA,CENTRO DE INVESTIGACIONES SOCIOECONOMICAS,COAHUILA DE ZARAGOZA,MÉXICO
2009,4341,DR.,"ABOITES MANRIQUE, VICENTE",2,01/01/2006,31/12/2010,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,OPTICA,LASERES Y OPTO-ELECTRONICA,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C. (CIO)",AREA DE INVESTIGACION,GUANAJUATO,MÉXICO
2009,214140,DR.,"ABONCE MEZA, RAMON",1,01/01/2009,31/12/2011,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ARTES Y LETRAS,,NUEVO URBANISMO,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS QUERETARO,QUERÉTARO,MÉXICO
