AÑO,CVU,NOBILIS,NOMBRE DEL INVESTIGADOR,NIVEL,FECHA DE INICIO DE VIGENCIA,FECHA DE FIN DE VIGENCIA,ÁREA DEL CONOCIMIENTO,DISCIPLINA,SUBDISCIPLINA,ESPECIALIDAD,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ENTIDAD FEDERATIVA,PAÍS
2006,15353,DR.,"BA, KHALIDOU MAMADOU",1,2005-01-01,2008-12-31,VII.- INGENIERÍAS ,INGENIERIA CIVIL,PLANEACION Y SISTEMAS,HIDROLOGIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,FACULTAD DE INGENIERIA,MÉXICO,MÉXICO
2006,121574,DR.,"BABAII KOCHEKSERAII, SADEGH",C,2005-01-01,2007-12-31,VII.- INGENIERÍAS ,INGENIERIA MECANICA,MECANICA DE MATERIALES,MODELLING AND APPLIED MECHANICS OF MATERIALS AND COMPONENTS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS ESTADO DE MEXICO,MÉXICO,MÉXICO
2006,3100,DR.,"BACA CASTILLO, GUSTAVO ADOLFO DE JESUS",2,2004-01-01,2007-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,EDAFOLOGIA,CULTIVOS HIDROPONICOS,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,INSTITUTO DE RECURSOS NATURALES,MÉXICO,MÉXICO
2006,8862,DR.,"BACA DEL MORAL, JULIO",1,2004-01-01,2007-12-31,V.- CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA RURAL,DESARROLLO RURAL Y ESTUDIO REGIONAL DE LA AGRICULTURA,UNIVERSIDAD AUTONOMA CHAPINGO,DIRECCION DE CENTROS REGIONALES,MÉXICO,MÉXICO
2006,13010,DRA.,"BACARDI GASCON, MONTSERRAT",1,2004-01-01,2006-12-31,III.- MEDICINA Y CIENCIAS DE LA SALUD,MEDICINA,OTRAS SUBDISCIPLINAS DE MEDICINA,NUTRICION,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,FACULTAD DE MEDICINA,BAJA CALIFORNIA,MÉXICO
2006,123512,DRA.,"BACARLETT PEREZ, MARIA LUISA",C,2006-01-01,2008-12-31,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,FILOSOFIA,FILOSOFIA DE LA CIENCIA,FILOSOFIA DE LAS CIENCIAS DE LA VIDA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,FACULTAD DE HUMANIDADES,MÉXICO,MÉXICO
2006,22402,DR.,"BACILIO JIMENEZ, MACARIO",1,2006-01-01,2009-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,BIOTECNOLOGIA AMBIENTAL,MICROBIOLOGIA,"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NORESTE, S.C. (CIBNOR)",DIVISION DE BIOLOGIA EXPERIMENTAL,BAJA CALIFORNIA SUR,MÉXICO
2006,10102,DR.,"BACKHOFF ESCUDERO, EDUARDO",2,2006-01-01,2010-12-31,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,EDUCACION,PSICOLOGIA EDUCATIVA,EVALUACION,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,INSTITUTO DE INVESTIGACIONES Y DESARROLLO EDUCATIVO,BAJA CALIFORNIA,MÉXICO
2006,77,DR.,"BADAN DANGON, ANTOINE",2,2006-01-01,2009-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,OCEANOGRAFIA,OCEANOGRAFIA FISICA,CIRCULACION OCEANICA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C., A.C. (CICESE)",DIVISION DE OCEANOLOGIA,BAJA CALIFORNIA,MÉXICO
2006,6498,DR.,"BADII ZABEH, MOHAMMAD HOSEIN",1,2004-01-01,2006-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,ECOLOGIA,CONTROL BIOLOGICO Y MANEJO INTEGRADO DE PLAGAS (MIP),UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS BIOLOGICAS,NUEVO LEÓN,MÉXICO
2006,121402,DRA.,"BADILLO ALMARAZ, VERONICA ELIZABETH",C,2005-01-01,2007-12-31,II.- BIOLOGÍA Y QUÍMICA,QUIMICA,OTRAS SUBDISCIPLINAS DE LA QUIMICA,RADIOQUIMICA,UNIVERSIDAD AUTONOMA DE ZACATECAS  FRANCISCO GARCIA SALINAS ,CENTRO REGIONAL DE ESTUDIOS NUCLEARES,ZACATECAS,MÉXICO
2006,15434,DRA.,"BAENA PAZ, GUILLERMINA MARIA EUGENIA",2,2005-01-01,2008-12-31,V.- CIENCIAS SOCIALES,CIENCIA POLITICA,ADMINISTRACION PUBLICA,PROSPECTIVA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,CIUDAD DE MÉXICO,MÉXICO
2006,6892,DRA.,"BAEZ GONZALEZ, ALMA DELIA",1,2004-01-01,2007-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,AGRICULTURA EN ZONAS ARIDAS,MODELAJE DE SISTEMAS AGROPECURIOS Y RECURSOS NATURALES,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL NORTE-CENTRO (AGS.),AGUASCALIENTES,MÉXICO
2006,10014,DR.,"BAEZ JORGE, FELIX",2,2006-01-01,2010-12-31,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,ANTROPOLOGIA SOCIAL,SOCIAL,UNIVERSIDAD VERACRUZANA,INSTITUTO DE INVESTIGACIONES HISTORICO-SOCIALES,VERACRUZ DE IGNACIO DE LA LLAVE,MÉXICO
2006,15937,DR.,"BAEZ JUAREZ, MARIA GABRIELA",C,2004-01-01,2006-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,FISICA TEORICA,CAOS CUANTICO,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS BASICAS E INGENIERIA. AZCAPOTZALCO,CIUDAD DE MÉXICO,MÉXICO
