NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,NOMBRE_INVESTIGADOR_NORM,NOMBRE_PATENTE_NORM,ES_MISMA_PERSONA,SCORE,DETALLES
"ALCANTAR CAMARENA,VICTOR ALFONSO","ALCANTAR CAMARENA,VICTOR ALFONSO",100.0,"ALCANTAR CAMARENA,VICTOR ALFONSO","ALCANTAR CAMARENA,VICTOR ALFONSO",False,40.0,Similitud Nombre (100%)
"GALINDO ALCANTARA,ADALBERTO","ALCANTARA,ALBERTO",7.8,"GALINDO ALCANTARA,ADALBERTO","ALCANTARA,ALBERTO",False,60.0,Institución
"HERRERA ALCANTARA,OSCAR","ALCANTARA,OSCAR M",7.6,"HERRERA ALCANTARA,OSCAR","ALCANTARA,OSCAR M",False,37.6,Similitud Nombre (94%)
"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARITZ",100.0,"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARITZ",False,60.0,Institución
"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARTIZ",95.0,"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARTIZ",False,60.0,Institución
"PAYAN ALEJO,JORGE","ALEJO,JORGE",81.2,"PAYAN ALEJO,JORGE","ALEJO,JORGE",False,60.0,Institución
"ALEKSANDROV,VLADIMIR","ALEKSANDROV,VLADIMIR",100.0,"ALEKSANDROV,VLADIMIR","ALEKSANDROV,VLADIMIR",False,60.0,Institución
"ALEMAN VAZQUEZ,LAURA OLIVIA","ALEMAN VAZQUEZ,LAURA OLIVIA",100.0,"ALEMAN VAZQUEZ,LAURA OLIVIA","ALEMAN VAZQUEZ,LAURA OLIVIA",False,60.0,Institución
"ALEXANDROVA,LARISSA","ALEXANDROVA,LARISSA",100.0,"ALEXANDROVA,LARISSA","ALEXANDROVA,LARISSA",False,60.0,Institución
"ALMEIDA LOYA,SERGIO FABIAN","ALMEIDA LOYA,SERGIO FABIAN",100.0,"ALMEIDA LOYA,SERGIO FABIAN","ALMEIDA LOYA,SERGIO FABIAN",False,60.0,Fecha
"ALONSO GARCIA,ANA LUCIA","ALONSO GARCIA,ANA LUCIA",100.0,"ALONSO GARCIA,ANA LUCIA","ALONSO GARCIA,ANA LUCIA",False,40.0,Similitud Nombre (100%)
"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FERNANDO",100.0,"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FERNANDO",True,80.0,"Institución, Fecha"
"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FRENANDO",93.7,"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FRENANDO",True,80.0,"Institución, Fecha"
"ALONSO NUNEZ,GABRIEL","ALONSO NUNEZ,GABRIEL",100.0,"ALONSO NUNEZ,GABRIEL","ALONSO NUNEZ,GABRIEL",False,40.0,Sin coincidencias
"DIAZ ALONSO,DANIELA","ALONSO,DANIELA",8.5,"DIAZ ALONSO,DANIELA","ALONSO,DANIELA",False,60.0,Fecha
"ALONSO NUNEZ,GABRIEL","ALONSO,GABRIEL",8.3,"ALONSO NUNEZ,GABRIEL","ALONSO,GABRIEL",False,40.0,Sin coincidencias
"ALTAGRACIA MARTINEZ,MARINA","ALTAGRACIA MARTINEZ,MARINA",100.0,"ALTAGRACIA MARTINEZ,MARINA","ALTAGRACIA MARTINEZ,MARINA",False,60.0,Institución
"ALTAMIRANO BUSTAMANTE,MYRIAM MARLENNE","ALTAMIRANO BUSTAMANTE,MYRIAM MARLENE",9.8,"ALTAMIRANO BUSTAMANTE,MYRIAM MARLENNE","ALTAMIRANO BUSTAMANTE,MYRIAM MARLENE",False,60.0,Institución
"ALUJA SCHUNEMAN HOFER,MARTIN RAMON","ALUJA SCHUNEMAN,MARTIN RAMON",9.1,"ALUJA SCHUNEMAN HOFER,MARTIN RAMON","ALUJA SCHUNEMAN,MARTIN RAMON",False,40.0,Similitud Nombre (100%)
"ALVAREZ CONTRERAS,LORENA","ALVAREZ CONTRERAS,LORENA",100.0,"ALVAREZ CONTRERAS,LORENA","ALVAREZ CONTRERAS,LORENA",False,40.0,Sin coincidencias
"ALVAREZ GAYOSSO,CARLOS ANDRES","ALVAREZ GAYOSSO,CARLOS ANDRES",100.0,"ALVAREZ GAYOSSO,CARLOS ANDRES","ALVAREZ GAYOSSO,CARLOS ANDRES",False,60.0,Institución
"ALVAREZ MAJMUTOV,ANTON","ALVAREZ MAJMUTOV,ANTON",100.0,"ALVAREZ MAJMUTOV,ANTON","ALVAREZ MAJMUTOV,ANTON",False,60.0,Institución
"ALVAREZ MEJIA,ANA LAURA","ALVAREZ MEJIA,ANA LAURA",100.0,"ALVAREZ MEJIA,ANA LAURA","ALVAREZ MEJIA,ANA LAURA",False,60.0,Institución
"ALVAREZ RAMIREZ,FERNANDO","ALVAREZ RAMIREZ,FERNANDO",100.0,"ALVAREZ RAMIREZ,FERNANDO","ALVAREZ RAMIREZ,FERNANDO",False,60.0,Institución
"ALVAREZ MOYA,CARLOS","ALVAREZ,CARLOS",8.6,"ALVAREZ MOYA,CARLOS","ALVAREZ,CARLOS",False,60.0,Institución
"ALVAREZ GUZMAN,EDUARDO","ALVAREZ,EDUARDO",8.3,"ALVAREZ GUZMAN,EDUARDO","ALVAREZ,EDUARDO",False,60.0,Institución
"ALVAREZ PEREZ,JOSE","ALVAREZ,JOSE",85.0,"ALVAREZ PEREZ,JOSE","ALVAREZ,JOSE",False,60.0,Institución
"ALVAREZ LOPEZ,JUAN","ALVAREZ,JUAN J",75.0,"ALVAREZ LOPEZ,JUAN","ALVAREZ,JUAN J",False,36.8,Similitud Nombre (92%)
"ALVAREZ,MARIO MOISES","ALVAREZ,MARIO MOISES",100.0,"ALVAREZ,MARIO MOISES","ALVAREZ,MARIO MOISES",False,60.0,Institución
"ALZATE GAVIRIA,LILIANA MARIA","ALZATE GAVIRIA,LILIANA MARIA",100.0,"ALZATE GAVIRIA,LILIANA MARIA","ALZATE GAVIRIA,LILIANA MARIA",False,40.0,Similitud Nombre (100%)
"AMBROSIO LAZARO,ROBERTO CARLOS","AMBROSIO LAZARO,ROBERTO CARLOS",100.0,"AMBROSIO LAZARO,ROBERTO CARLOS","AMBROSIO LAZARO,ROBERTO CARLOS",False,60.0,Institución
"AMEZAGA MADRID,PATRICIA","AMEZAGA MADRID,PATRICIA",100.0,"AMEZAGA MADRID,PATRICIA","AMEZAGA MADRID,PATRICIA",False,40.0,Sin coincidencias
"AMEZCUA ALLIERI,MYRIAM ADELA","AMEZCUA ALLIERI,MYRIAM ADELA",100.0,"AMEZCUA ALLIERI,MYRIAM ADELA","AMEZCUA ALLIERI,MYRIAM ADELA",False,60.0,Institución
"ANCHEYTA JUAREZ,JORGE","ANCHEYTA JUAREZ,JORGE",100.0,"ANCHEYTA JUAREZ,JORGE","ANCHEYTA JUAREZ,JORGE",False,60.0,Institución
