patent_number,patent_title,patent_date,inventor_city,inventor_country,inventor_first_name,inventor_first_seen_date,inventor_id,inventor_last_name,inventor_last_seen_date,inventor_lastknown_city,inventor_lastknown_country,inventor_sequence,inventor_state,inventor_state_fips,inventor_total_num_patents
D740660,Cap for cosmetic and fragrance bottles,2015-10-13,Naucalpan,MX,Ana Maria,2014-09-02,fl:an_ln:urrea-1,Urrea,2015-10-13,Naucalpan,MX,1,,,3
D741132,Power tool,2015-10-20,Elgin,US,Philip,2015-10-20,fl:ph_ln:branker-1,Branker,2016-09-06,Elgin,US,3,IL,17,2
D741132,Power tool,2015-10-20,Saukville,US,Dale Selsor,2002-12-03,fl:da_ln:dilulio-1,Di lulio,2017-05-23,Saukville,US,4,WI,55,3
D741132,Power tool,2015-10-20,Wood Dale,US,Jon Michael J.,2015-10-20,fl:jo_ln:zasiebida-1,Zasiebida,2015-10-20,Wood Dale,US,2,IL,17,1
D741132,Power tool,2015-10-20,Mexicali,MX,Arturo,2015-10-20,fl:ar_ln:castro-1,Castro,2016-09-06,Mexicali,MX,1,,,2
D741132,Power tool,2015-10-20,Downers Grove,US,Kevin,2009-10-13,fl:ke_ln:wasielewski-2,Wasielewski,2018-11-27,Downers Grove,US,0,IL,17,14
D741132,Power tool,2015-10-20,Cedarburg,US,Scott H.,1991-05-28,fl:sc_ln:micoley-3,Micoley,2024-01-30,Plymouth,US,5,WI,55,63
D742731,Stackable clamp,2015-11-10,Arroyo Seco,MX,David Ernesto,2015-11-10,fl:da_ln:zedan-1,Zedan,2015-11-10,Arroyo Seco,MX,0,,,1
D742731,Stackable clamp,2015-11-10,Monterrey,MX,Rolando Enrique,2015-11-10,fl:ro_ln:salazar-5,Salazar,2015-11-10,Monterrey,MX,1,,,1
D743195,Table cover,2015-11-17,Bucerias,MX,Michael Shawn,2015-11-17,fl:mi_ln:mcquaid-1,McQuaid,2016-06-28,Bucerias,MX,0,,,2
D743783,Food container,2015-11-24,Kingsbury,US,David C.,1981-03-17,fl:da_ln:shaver-2,Shaver,2015-12-01,Kingsbury,US,2,TX,48,23
D743783,Food container,2015-11-24,San Antonio,US,J. Michael,2014-01-21,fl:j._ln:joergensen-1,Joergensen,2019-07-16,San Antonio,US,1,TX,48,11
D743783,Food container,2015-11-24,San Antonio,US,Keith,2015-11-24,fl:ke_ln:kandt-1,Kandt,2015-12-01,San Antonio,US,4,TX,48,2
D743783,Food container,2015-11-24,San Antonio,US,Bryant P.,2007-07-24,fl:br_ln:ambelang-2,Ambelang,2016-12-27,San Antonio,US,0,TX,48,21
D743783,Food container,2015-11-24,Zapopan,MX,Emilio,2014-03-18,fl:em_ln:fuentes-1,Fuentes,2015-12-01,Zapopan,MX,3,,,6
D744274,Head of a machine for making tortillas,2015-12-01,Guadalupe,MX,Roberto,2001-11-27,fl:ro_ln:contreras-7,Contreras,2023-06-13,Monterrey,MX,1,,,16
D744274,Head of a machine for making tortillas,2015-12-01,Guadalupe,MX,Felipe A.,2003-10-28,fl:fe_ln:rubio-1,Rubio,2023-06-13,Edinburg,US,0,,,17
