NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"GARCIA LOPEZ,RODRIGO","ALDANA LOPEZ,RODRIGO",83.33333333333334
"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARITZ",100.0
"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARTIZ",95.0
"MACHAIN CASTILLO,MARIA LUISA","ALEJO CASTILLO,MARIA LUCIA",78.78787878787878
"PAYAN ALEJO,JORGE","ALEJO,JORGE",81.25
"ALEKSANDROV,VLADIMIR","ALEKSANDROV,VLADIMIR",100.0
"ALEMAN VAZQUEZ,LAURA OLIVIA","ALEMAN VAZQUEZ,LAURA OLIVIA",100.0
"ALEXANDROVA,LARISSA","ALEXANDROVA,LARISSA",100.0
"BLANCO CASTANEDA,FERNANDO","ALFARO CASTANEDA,JOSE FERNANDO",78.7202380952381
"ALFARO AYALA,JORGE ARTURO","ALFARO LUNA,JORGE ALBERTO",79.13043478260869
"AGUILAR ROMERO,FRANCISCO","ALGUACIL PRIEGO,FRANCISCO JOSE",70.16491754122939
"SALGADO VEGA,MARIA CARMEN","ALMANZA VEGA,MARIA CARMEN",83.33333333333334
"AVILA PAZ,JOSE","ALMARAZ,JOSE L",71.25
"ALMEIDA LOYA,SERGIO FABIAN","ALMEIDA LOYA,SERGIO FABIAN",100.0
"ALONSO GARCIA,ANA LUCIA","ALONSO GARCIA,ANA LUCIA",100.0
"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FERNANDO",100.0
"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FRENANDO",93.75
"ALONSO NUNEZ,GABRIEL","ALONSO NUNEZ,GABRIEL",100.0
"GUIZADO RODRIGUEZ,MARISOL","ALONSO RODRIGUEZ,MARISOL",86.36363636363637
"ROJAS VELAZQUEZ,LILIANA","ALONSO VAZQUEZ,LILIANA",84.48275862068965
"DIAZ ALONSO,DANIELA","ALONSO,DANIELA",85.29411764705881
"ALONSO NUNEZ,GABRIEL","ALONSO,GABRIEL",83.33333333333334
"ALTAGRACIA MARTINEZ,MARINA","ALTAGRACIA MARTINEZ,MARINA",100.0
"ALTAMIRANO BUSTAMANTE,MYRIAM MARLENNE","ALTAMIRANO BUSTAMANTE,MYRIAM MARLENE",98.27586206896552
"ALUJA SCHUNEMAN HOFER,MARTIN RAMON","ALUJA SCHUNEMAN,MARTIN RAMON",91.66666666666667
"SACRISTAN GOMEZ,MARIA CRISTINA","ALVARADO GOMEZ,SANDRA CRISTINA",72.41379310344828
"VALDES ALVARADO,EMMANUEL","ALVARADO,EMMANUEL",84.78260869565217
"ALVARADO NANDO,MARITZA","ALVARADO,MARIA",78.03030303030303
"ALVAREZ VILLALOBOS,NERI ALEJANDRO","ALVAREZ ALONSO,DIEGO ALEJANDRO",75.43103448275862
"ALVAREZ CARDENAS,SERGIO","ALVAREZ BADILLO,SERGIO",82.25806451612902
"ALVAREZ GALLEGOS,JOAQUIN","ALVAREZ BRENA,JOAQUIN",81.0344827586207
"ALVAREZ CONTRERAS,LORENA","ALVAREZ CONTRERAS,LORENA",100.0
"AZUELA DE LA CUEVA,ANTONIO","ALVAREZ DE LA CADENA,ANTONIO",84.21052631578948
"ALVAREZ GAYOSSO,CARLOS ANDRES","ALVAREZ GAYOSSO,CARLOS ANDRES",100.0
"GONZALEZ GONZALEZ,JORGE","ALVAREZ GONZALEZ,JORGE A",81.06060606060606
"MARQUEZ BECERRA,HERIBERTO","ALVAREZ IBARRA,RIGOBERTO",69.92337164750958
"ALVAREZ MAJMUTOV,ANTON","ALVAREZ MAJMUTOV,ANTON",100.0
"ALVAREZ MEJIA,ANA LAURA","ALVAREZ MEJIA,ANA LAURA",100.0
"ALVAREZ RAMIREZ,FERNANDO","ALVAREZ RAMIREZ,FERNANDO",100.0
"ALVAREZ TOSTADO SANCHEZ,JUAN MANUEL","ALVAREZ SANCHES,JUAN MANUEL",86.84210526315789
"ALVAREZ GONZALEZ,CARLOS ALFONSO","ALVAREZ SOLLEIRO,LEON ALFONSO",72.83653846153845
"LARA VELAZQUEZ,PEDRO","ALVAREZ VAZQUEZ,PEDRO",87.93103448275862
"ALCARAZ ROMERO,VICTOR MANUEL","ALVAREZ VIVEROS,VICTOR MANUEL",81.0344827586207
"ALVAREZ VALLEJO,ALBERTO","ALVAREZ ZAVALA,ALBERTO",87.93103448275862
"ARROYO ALVAREZ,ANGELICA","ALVAREZ,ANGEL",71.7948717948718
"ALVAREZ MOYA,CARLOS","ALVAREZ,CARLOS",86.84210526315789
"ALVAREZ GUZMAN,EDUARDO","ALVAREZ,EDUARDO",83.33333333333334
"SOSA ALVAREZ,IGNACIO","ALVAREZ,IGNACIO",86.84210526315789
"ALVAREZ PEREZ,JOSE","ALVAREZ,JOSE",85.0
"ALVAREZ LOPEZ,JUAN","ALVAREZ,JUAN J",75.0
