NOMBRE DEL INVESTIGADOR,NOMBRE_INVENTOR,Ratio
"RODRIGUEZ FIGUEROA,JOSE CARLOS","RODRIGUEZ FIGUEROA,JOSE CARLOS",100.0
"GONZALEZ CORDOVA,AARON FERNANDO","GONZALEZ CORDOVA,AARON FERNANDO",100.0
"AQUINO OLIVOS,MARCO ANTONIO","AQUINO OLIVOS,MARCO ANTONIO",100.0
"CAMACHO PEREZ,JOSE RODRIGO","CAMACHO PEREZ,JOSE RODRIGO",100.0
"LOPEZ MEYER,PAULO","LOPEZ MEYER,PAULO",100.0
"GARCIA MARTINEZ,MOISES","GARCIA MARTINEZ,MOISES",100.0
"CAMPOS CANTON,ERIC","CAMPOS CANTON,ERIC",100.0
"CISNEROS DEVORA,RODOLFO","CISNEROS DEVORA,RODOLFO",100.0
"PONS JIMENEZ,MIRNA","PONS JIMENEZ,MIRNA",100.0
"LUNA ROJERO,ERICK EMANUEL","LUNA ROJERO,ERICK EMANUEL",100.0
"MORALES ROJAS,HUGO","MORALES ROJAS,HUGO",100.0
"DOMINGUEZ CHAVEZ,JORGE GUILLERMO","DOMINGUEZ CHAVEZ,JORGE GUILLERMO",100.0
"MONDRAGON VASQUEZ,KARINA","MONDRAGON VASQUEZ,KARINA",100.0
"HERRERA RUIZ,DEA","HERRERA RUIZ,DEA",100.0
"CEVADA MAYA,ENRIQUE","CEVADA MAYA,ENRIQUE",100.0
"HERNANDEZ CARBAJAL,EDGAR IVAN","HERNANDEZ CARBAJAL,EDGAR IVAN",100.0
"GONZALEZ ROMERO,ADRIAN","GONZALEZ ROMO,ADRIAN",95.23809523809524
"BEAS BUJANOS,JOAQUIN","BEAS BUJANOS,JOAQUIN",100.0
"VERA MONTENEGRO,REMEDIOS YOLANDA","VERA MONTENEGRO,REMEDIOS YOLANDA",100.0
"HERNANDEZ CAMPOS,MARIA ALICIA","HERNANDEZ CAMPOS,MARIA ALICIA",100.0
"CASTILLO BOCANEGRA,RAFAEL","CASTILLO BOCANEGRA,RAFAEL",100.0
"FLORES RAMOS,MIGUEL ANGEL","FLORES RAMOS,MIGUEL ANGEL",100.0
"IBARRA VELARDE,OSVALDO FROYLAN","IBARRA VELARDE,OSVALDO FROYLAN",100.0
"SALDIVAR GUERRA,ENRIQUE","SALDIVAR GUERRA,ENRIQUE",100.0
"INFANTE MARTINEZ,JOSE RAMIRO","INFANTE MARTINEZ,JOSE RAMIRO",100.0
"AGUILAR PLIEGO,JULIA","AGUILAR PLIEGO,JULIA",100.0
"GUTIERREZ ARZALUZ,MIRELLA","GUTIERREZ ARZALUZ,MIRELLA",100.0
"SEGURA PACHECO,BLANCA ANGELICA","SEGURA PACHECO,BLANCA ANGELICA",100.0
"CABRERA AQUINO,JOSE GUSTAVO","CABRERA AQUINO,JOSE GUSTAVO",100.0
"RONICKE,STEPHAN","RONICKE,STEPHAN",100.0
"HODGKINS,ROBERT PETER","HODGKINS,ROBERT PETER",100.0
"RIVERA SOLORIO,CARLOS IVAN","RIVERA SOLORIO,CARLOS IVAN",100.0
"CARRILLO FUENTEVILLA,ROBERTO","CARRILLO FUENTEVILLA,ROBERTO",100.0
"RIOS JARA,DAVID","RIOS JARA,DAVID",100.0
"ALEXANDROVA,LARISSA","ALEXANDROVA,LARISSA",100.0
"ASTUDILLO DE LA VEGA,HORACIO","ASTUDILLO DE LA VEGA,HORACIO",100.0
"OLGUIN LORA,PATRICIA","OLGUIN LORA,PATRICIA",100.0
"CASTORENA CORTES,GLADYS TERESA","CASTORENA CORTES,GLADYS TERESA",100.0
"ROLDAN CARRILLO,TERESA GUADALUPE","ROLDAN CARRILLO,TERESA GUADALUPE",100.0
"GOMEZ GUTIERREZ,DAVID","GOMEZ GUTIERREZ,DAVID",100.0
"CEDENO VIVEROS,LUIS DANIEL","CEDENO VIVEROS,LUIS DANIEL",100.0
"LEON ROVIRA,NOEL","LEON ROVIRA,NOEL",100.0
"CARBAJAL DE NOVA,CAROLINA","CARBAJAL DE NOVA,CAROLINA",100.0
"HERNANDEZ BELTRAN,FRANCISCO JAVIER","HERNANDEZ BELTRAN,FRANCISCO JAVIER",100.0
