NOMBRE_INVENTOR
"Siller Gonzalez,Andrea"
"Galaz Mendez,Ramses"
"Araujo Padilla,Marco Antonio"
"Martinez Ilescas,Antonio"
"Ronquillo Melendez,Francisco"
"Granell Peniche,Enrique"
"Deng,Zhibing"
"Molina Bernal,Alberto"
"Patel,Deepak"
"Erasala,Shekar Prabhakar"
"Madrigal Carmona,Jose Ramon"
"Ruiz Lara,Oscar"
"Luevano Gonzalez,Patricia"
"Beltran Conde,Hiram Isaac"
"Zamudio Rivera,Luis Silvestre"
"Dominguez Aguilar,Marco Antonio"
"Estrada Buendia,Aristeo"
"Martinez Viramontes,Jaquelin"
"Mena Cervantes,Violeta Yasmin"
"Hernandez Altamirano,Raul"
"Martinez,Cynthia Cantu"
"Giraud,William Julius McPhil"
"Franco Romo,Giovanna Monserrat"
"Dominguez,Flavio Ramos"
"Jacobs,Joseph Patrick"
"Rubens,Jeremy"
"Porchas,Fernando"
"Moreno,Jaime"
"Ovokaitys,Todd Frank"
"Strachan,John Scott"
"Segura,Raul Mendez"
"Vela,Veronica Elizabeth"
"Villarreal,Salvador"
"Lopez,Yeremi Adair"
"Vilchis,Berenice"
"Kessie,Andrew Scott"
"Elias,Tomas Eduardo"
"Blomgren,Kyle Dean"
"Maletta,Paul Anthony"
"Carpenter,John Sherrill"
"Escobar,Oscar Ernesto"
"Clements,Brian"
"Maggard,Daniel John"
"Sadekar,Varsha"
"Vazquez Flores,Fausto Eleazar"
"Rychlinski,Mark J"
"Vyas,Rajeev"
"Namuduri,Chandra S"
"Garcia,Cesar"
"Blauwet,Bryan D"
"Becker,Shawn J"
"Merkle,Jerry R"
"Nefzger,Jeremy"
"Janelle,Luc"
"Steinlage,David L"
"Aragon,Carlos Armando Fuentes"
"Almaguer,Roberto Munoz"
"Guzman,Roberto Zitzumbo"
"Ruiz,Fernando Chico"
"Medina,Ramon Alberto Ayala"
"Guerrero,Constantino Vidal"
"Lobato Franco,Linda Paola"
"Gil Alonso,Juan Pedro"
"Perdigon Rodriguez,Angelo Antonio"
"Fernandez de Cordova Shore,Daniel"
"Serrano Echeverria,Henry"
"Zoller Chesler,Frederic"
"Peralta Orta,Lina"
"Melendez,Francisco Ronquillo"
"Pavon,Omar Antonio Ramirez"
"Loera,Jose Alfredo Peregrina"
"Lannoy,Mario Garcia"
"Gallardo Almiray,Juan Manuel"
"Vega Velazquez,Sergio Alberto"
"Barrera Munoz,Dario Jesus"
"Diaz,Jose Osawa"
"Xu,Yong"
"Kultgen,Steven G"
"Liu,Xiaohui"
"Ho,Koc Kan"
"Brenning,Benjamin Gary"
"Saunders,Michael David"
"Vazquez Moreno,Flavio Salvador"
"LOPEZ ORTEGA,Alfonso"
"Alvarez Ramirez,Fernando"
"Hernandez Cortez,Jose Gonzalo"
"Castro Sotelo,Laura Veronica"
"FLORES SANDOVAL,Cesar Andres"
"Flores Oropeza,Eugenio Alejandro"
"Reyes Martinez,Reyna"
"Plata Amarillas,Santiago Alonso"
"Merino Cervantes,Ramon"
"Loza Guerrero,Omar"
"Ramos Coria,Daniel Andres"
"Magana,Artemio"
"Felix,Rodrigo"
"Sanchez Perez,Arturo del Refugio"
"Schreiner,George"
"Reyes,Guillermo M Ceballos"
"Maisel,Alan"
"Taub,Pam"
"Villarreal,Francisco"
"Macias,Enrique Delgado"
"Chiu,Aaron"
"Padilla Haro,Rene Javier"
"Boardman,Amy M"
"Hernandez Hernandez,Hector"
"Cuevas Vega,Alfredo"
"Armitage,Robert Ralph"
"Muzquiz,Guillermo"
"Chavez,Cesar C"
"Garcia Tellez,Edgar M"
"de la Garza Fernandez,Gerardo Edel"
"Gonzalez Reyes,Carlos Alberto"
"Ramirez Gordillo,Jose R"
"Tovar Hernandez,Martin S"
"Grimaldo Perez,Juan F"
"Rawlins,Benjamin K"
"Lara,Damian"
"Maya Flores,Etel"
"SANCHEZ VALENTE,Jaime"
"RODRIGUEZ HERNANDEZ,Andrea"
