Inventor,inventor_id,a
David Hugo Carrillo-Cantu,fl:da_ln:carrillocantu-1,
David K. Gonzalez Bojorges,fl:da_ln:gonzalezbojorges-1,
David Ross MACKAY PETT,fl:da_ln:mackaypett-1,
Edgar Antonio Martinez,fl:ed_ln:martinez-12,
Edgar Javier Ortega,fl:ed_ln:ortega-1,
Edgar M. Garcia Tellez,fl:ed_ln:garciatellez-1,
Edgar Salazar Fabian,fl:ed_ln:fabian-1,
Edgard Wolf,fl:ed_ln:wolf-12,
Edna Sanchez-Castrejon,fl:ed_ln:sanchezcastrejon-1,
Eduardo Peña Cabrera,fl:ed_ln:penacabrera-1,
Eduardo Rodriguez de Anda,fl:ed_ln:rodriguezdeanda-1,
Eduardo Sanchez,fl:ed_ln:sanchez-6,
Edvige Galeazzi Toscani,fl:ed_ln:toscani-1,
Efren Solis,fl:ef_ln:solis-1,
Elías Aurelio Romero Saldívar,fl:el_ln:saldivar-1,
Elias Marquez,fl:el_ln:marquez-1,
Elizabeth Quintana Romero,fl:el_ln:romero-2,
Elsa L. Delgado,fl:el_ln:delgado-3,
Emilio Jose Miquilena,fl:em_ln:miquilena-1,
Emilio Robledo,fl:em_ln:robledo-1,
Emilio Ruiz,fl:em_ln:ruiz-1,
Enrique M. Acevedo Arizpe,fl:en_ln:acevedoarizpe-1,
Enrique R. M. Vera,fl:en_ln:vera-2,
Enrique Ramirez Magaña,fl:en_ln:magana-1,
Enrique Valencia Garcia,fl:en_ln:valenciagarcia-1,
Erick Flores Islas,fl:er_ln:islas-1,
Ernesto Heliodoro Escobedo Hernandez,fl:er_ln:escobedohernandez-1,
Esmeralda Ruiz Pacheco,fl:es_ln:pacheco-1,
Esmeralda Soto,fl:es_ln:soto-1,
Esther Orozco Orozco,fl:es_ln:orozcoorozco-1,
Estuardo Aguilar Cordova,fl:es_ln:aguilarcordova-1,
Eunice Cheng,fl:eu_ln:cheng-1,
Ever Hernandez,fl:ev_ln:hernandez-1,
Ezequiel Salas,fl:ez_ln:salas-1,
Fabiola Irene Lopez Vallejo,fl:fa_ln:lopezvallejo-1,
Farhan Ahmed Omer,fl:fa_ln:omer-3,
Federico Castro Munozledo,fl:fe_ln:munozledo-1,
Fernando Burciaga,fl:fe_ln:burciaga-1,
Fernando Gonzalez Lenero,fl:fe_ln:gonzalezlenero-1,
Fernando Ruiz,fl:fe_ln:ruiz-3,
Florencia Marina Moran Pineda,fl:fl_ln:moranpineda-1,
Francisco Fuentes,fl:fr_ln:fuentes-3,
Francisco Guevara Arreola,fl:fr_ln:guevaraarreola-1,
Francisco Javier Curiel,fl:fr_ln:curiel-1,
Francisco Javier Marichi Rodriguez,fl:fr_ln:marichirodriguez-1,
Francisco Javier Moreno Moncada,fl:fr_ln:morenomoncada-1,
Francisco Javier Ramirez Aldana,fl:fr_ln:aldana-1,
Francisco Javier Tovar Lopez,fl:fr_ln:tovarlopez-1,
Francisco Oblea,fl:fr_ln:oblea-1,
Francisco Robles Gil Daellenbach,fl:fr_ln:roblesgildaellenbach-1,
