Inventor,inventor_id,a
Sergio Antonio Delon Canseco,fl:se_ln:deloncanseco-1,
Sergio Cardoza,fl:se_ln:cardoza-1,
Sergio Joaquin Gonzalez Flores,fl:se_ln:gonzalezflores-1,
Sergio Moctezuma-Espiricueto,fl:se_ln:moctezumaespiricueto-1,
Sergio Moreno Liñan,fl:se_ln:morenolinan-1,
Sergio Ramirez Amador,fl:se_ln:ramirezamador-1,
Sergio Sanchez Garcia,fl:se_ln:sanchezgarcia-1,
Sergio Serna-Saldivar,fl:se_ln:sernasaldivar-2,
Serguei Miridonov,fl:se_ln:miridonov-1,
Soraya C. Mendoza,fl:so_ln:mendoza-1,
Sven Mierswa,fl:sv_ln:mierswa-1,
Swaminathan Iyer,fl:sw_ln:iyer-4,
Tanya A. Camacho-Villegas,fl:ta_ln:camachovillegas-1,
Tara Sanzone,fl:ta_ln:sanzone-1,
Teodoro Martinez,fl:te_ln:martinez-5,
Teresa Antillon,fl:te_ln:antillon-1,
Teresa Guadalupe Roldan Carrillo,fl:te_ln:roldancarrillo-1,
Tito G. Perez,fl:ti_ln:perez-2,
Trevor Williams,fl:tr_ln:williams-5,
Tzitzijani del Carmen Silva Rodriguez,fl:tz_ln:rodriguez-1,
Ulises Eladio Pérez Hinojosa,fl:ul_ln:perezhinojosa-2,
Uriel Torres Davalos,fl:ur_ln:torresdavalos-1,
Valeri Kontorovich Mazover,fl:va_ln:kontorovichmazover-1,
Vasilii V. Spirin,fl:va_ln:spirin-1,
Veronica Elizabeth Vela,fl:ve_ln:vela-1,
Vicente Garibay Febles,fl:vi_ln:garibayfebles-1,
Victor Alfonso Gonzalez Tellez,fl:vi_ln:gonzaleztellez-1,
Victor Antonio Lopez Villamar,fl:vi_ln:lopezvillamar-1,
Victor Castro,fl:vi_ln:castro-2,
Victor Cisneros,fl:vi_ln:cisneros-1,
Victor Daniel Espinosa Gutierrez,fl:vi_ln:espinosagutierrez-1,
Victor Gomez,fl:vi_ln:gomez-3,
Victor Gonzalez,fl:vi_ln:gonzalez-6,
Victor Hugo Salinas Fox,fl:vi_ln:salinasfox-2,
Victor Ilizaliturri,fl:vi_ln:ilizaliturri-1,
Victor Manuel Viesca,fl:vi_ln:viesca-1,
Victor Negrete Cortes,fl:vi_ln:negretecortes-1,
Victor Pagaza-Melero,fl:vi_ln:pagazamelero-1,
Victor Perez Moreno,fl:vi_ln:perezmoreno-1,
Vladimir Garcia Hernandez,fl:vl_ln:garciahernandez-1,
Vladimir Garcia Saavedra,fl:vl_ln:garciasaavedra-1,
Wesley Mendez,fl:we_ln:mendez-1,
Wilfredo Marquez Rios,fl:wi_ln:rios-2,
William L. Booth,fl:wi_ln:booth-3,
Zenón Rodríguez-Juárez,fl:ze_ln:rodriguezjuarez-1,
Adrian Aguirre,fl:ad_ln:aguirre-2,
Adriana Montalvo Urbano,fl:ad_ln:montalvourbano-1,
Agustin Monroy,fl:ag_ln:monroy-1,
Alan Harvey,fl:al_ln:harvey-12,
Alan Sampson,fl:al_ln:sampson-3,
Alberto Osio Sancho,fl:al_ln:sancho-1,
Alejandro Becker Del Río,fl:al_ln:beckerdelrio-1,
Alejandro Claudio Esquivel de la Garza,fl:al_ln:esquiveldelagarza-1,
Alejandro Gomez,fl:al_ln:gomez-16,
Alejandro Gómez Caudillo,fl:al_ln:gomezcaudillo-1,
Alejandro Guzman,fl:al_ln:guzman-4,
Alejandro Perez,fl:al_ln:perez-13,
Alfredo Aguilar Elguezabal,fl:al_ln:elguezabal-1,
Alfredo Cuevas Vega,fl:al_ln:cuevasvega-1,
América Elizabeth Mendoza Aguilar,fl:am_ln:mendozaaguilar-1,
Amit Sachdev,fl:am_ln:sachdev-1,
Ana Katia Silva,fl:an_ln:silva-1,
Ana Katia Silva Jiménez,fl:an_ln:jimenez-16,
Anthony Kyung Guzman Leguel,fl:an_ln:guzmanleguel-1,
Antonio Alvarez De La Cadena,fl:an_ln:alvarezdelacadena-1,
Antonio Domit,fl:an_ln:domit-1,
Antonio Lugo Trejo,fl:an_ln:lugotrejo-1,
Ariel Esaul Gómez Martínez,fl:ar_ln:gomezmartinez-1,
Ariel Santamaria,fl:ar_ln:santamaria-1,
Armando Garcia Luna,fl:ar_ln:garcialuna-1,
Artemio Josue Aguilar,fl:ar_ln:aguilar-2,
Arturo ZUNIGA,fl:ar_ln:zuniga-1,
Benjamin Duenas,fl:be_ln:duenas-1,
Benjamin Gary Brenning,fl:be_ln:brenning-1,
Bernardo Velázquez Navarro,fl:be_ln:velazqueznavarro-1,
Bernhard M. Janitzki,fl:be_ln:janitzki-1,
Blanca Lucia Medellin Rivera,fl:bl_ln:medellinrivera-1,
Boris Fridman-Mintz,fl:bo_ln:fridmanmintz-1,
Carlos A. Ordonez,fl:ca_ln:ordonez-3,
Carlos Baltazar Castro Maciel,fl:ca_ln:castromaciel-1,
Carlos F. Becerra,fl:ca_ln:becerra-1,
Carlos Humberto Felix Frias,fl:ca_ln:felixfrias-1,
Carlos Mendoza,fl:ca_ln:mendoza-2,
Carlos Munoz Carrillo,fl:ca_ln:munozcarrillo-1,
Carlos Ochoa,fl:ca_ln:ochoa-3,
Carlos Tenorio Gutierrez,fl:ca_ln:gutierrez-7,
Carlos Vargas,fl:ca_ln:vargas-1,
Carlos Vega Velazquez,fl:ca_ln:velazquez-2,
Carmen Hernandez-Brenes,fl:ca_ln:hernandezbrenes-1,
Cecilia de los Ángeles Durán Valencia,fl:ce_ln:duranvalencia-1,
Cecilia Espinoza Diaz,fl:ce_ln:espinozadiaz-1,
Ceferino Garcia,fl:ce_ln:garcia-2,
Cesar Aguilera,fl:ce_ln:aguilera-2,
Cesar Alejandro de los Santos Campos,fl:ce_ln:delossantoscampos-1,
Cesar G. Ortiz,fl:ce_ln:ortiz-1,
Cesar Padilla,fl:ce_ln:padilla-1,
Cesar Rodriguez Cedillo,fl:ce_ln:rodriguezcedillo-1,
Concepcion Isidro Olán,fl:co_ln:isidroolan-1,
Daniel Felipe Heredia Saucedo,fl:da_ln:herediasaucedo-1,
Daniel Herrera Vazquez,fl:da_ln:vazquez-1,
Daniel Murillo,fl:da_ln:murillo-2,
Dante Manuel Hernandez,fl:da_ln:hernandez-1,
David Bueno Nunez,fl:da_ln:buenonunez-1,
David Mercado,fl:da_ln:mercado-2,
David Reyes Lopez,fl:da_ln:lopez-4,
Demófilo Maldonado-Cortés,fl:de_ln:maldonadocortes-1,
Diego Ivan Garcia Escobedo,fl:di_ln:garciaescobedo-1,
Edgar Benedicto Zamora Guerrero,fl:ed_ln:zamoraguerrero-1,
Edgar Iván Hernández Carbajal,fl:ed_ln:hernandezcarbajal-1,
Edith Meneses Ruiz,fl:ed_ln:menesesruiz-1,
Eduardo Estrada de Leon,fl:ed_ln:estradadeleon-1,
Eduardo Ruiz Esparza Flores,fl:ed_ln:flores-2,
Eduardo Serrano,fl:ed_ln:serrano-2,
Elias Rigoberto Ledesma-Orozco,fl:el_ln:ledesmaorozco-2,
Emanuel Ruelas Cabrera,fl:em_ln:cabrera-1,
Emmanuel B. Gonzalez,fl:em_ln:gonzalez-3,
Emmanuel Garcia Ruiz,fl:em_ln:garciaruiz-1,
Emmanuel Saucedo-Flores,fl:em_ln:saucedoflores-1,
Enrique Chavez,fl:en_ln:chavez-1,
Enrique Chávez Fernández,fl:en_ln:fernandez-1,
Enrique Granell Peniche,fl:en_ln:granellpeniche-1,
Enrique Saldivar Guerra,fl:en_ln:saldivarguerra-1,
Eric Campos Canton,fl:er_ln:camposcanton-1,
Erick Higashi,fl:er_ln:higashi-2,
Esau Aguinaga,fl:es_ln:aguinaga-1,
Esteban Figueroa Ortiz,fl:es_ln:ortiz-2,
Estefania Rojas Silva,fl:es_ln:rojassilva-1,
Etel Maya Flores,fl:et_ln:mayaflores-1,
Fabiola Patricia Villanueva Tavares,fl:fa_ln:villanuevatavares-1,
Federico Villalobos,fl:fe_ln:villalobos-1,
Felipe Antonio Martinez Rodriguez,fl:fe_ln:martinezrodriguez-1,
Felix Rodriguez Perfino,fl:fe_ln:rodriguezperfino-1,
Fermin Marquez Arzate,fl:fe_ln:arzate-1,
Fernando Alonso Martínez,fl:fe_ln:alonsomartinez-1,
Fernando Chacon,fl:fe_ln:chacon-1,
Fernando Garcia,fl:fe_ln:garcia-9,
Fernando Ramos,fl:fe_ln:ramos-1,
Fidencio Hernandez Perez,fl:fi_ln:hernandezperez-1,
Florentino Leyte Guerrero,fl:fl_ln:leyteguerrero-1,
Florentino Rafael Murrieta Guevara,fl:fl_ln:murrietaguevara-1,
Francisco Bates-Hurtado,fl:fr_ln:bateshurtado-1,
Francisco Javier Ferreira Yanez,fl:fr_ln:ferreirayanez-1,
Francisco Mondragon Sarmiento,fl:fr_ln:mondragonsarmiento-1,
Francisco Ronquillo,fl:fr_ln:ronquillo-1,
Gabriel A. Ruelas,fl:ga_ln:ruelas-1,
Gabriel Arturo Carpio Aragon,fl:ga_ln:carpioaragon-1,
Gabriel Cendejas Santana,fl:ga_ln:cendejassantana-1,
Gabriel Gojon-Romanillos,fl:ga_ln:gojonromanillos-1,
Gabriel Hernández Zamora,fl:ga_ln:hernandezzamora-2,
Gabriela Isabel Rubio Barraza,fl:ga_ln:barraza-1,
Genaro Neri,fl:ge_ln:neri-1,
Gerardo Angel Gonzalez Chapa,fl:ge_ln:gonzalezchapa-1,
Gerardo Pagaza-Melero,fl:ge_ln:pagazamelero-1,
Gerardo Rodriguez Garay,fl:ge_ln:rodriguezgaray-1,
German Romero Legorreta,fl:ge_ln:romerolegorreta-1,
Gohar Gevorgyan,fl:go_ln:gevorgyan-1,
Gonzalo Espindola,fl:go_ln:espindola-1,
Gregorio Gutierrez,fl:gr_ln:gutierrez-3,
Guillermo Gonzalez,fl:gu_ln:gonzalez-2,
Guillermo Hernandez Gallegos,fl:gu_ln:gallegos-2,
Guillermo Morales Barrios,fl:gu_ln:barrios-2,
Hector Altuve-Ferrer,fl:he_ln:altuveferrer-1,
Héctor de Jesús Velez-Rivera,fl:he_ln:velezrivera-2,
Hedy H. Morales Bolaños,fl:he_ln:moralesbolanos-1,
Irving Morales Rodriguez,fl:ir_ln:moralesrodriguez-1,
J. Fernando Ramirez,fl:j._ln:ramirez-1,
Jacques Nault,fl:ja_ln:nault-1,
James Hill Brogoitti,fl:ja_ln:brogoitti-1,
Janet Alejandra Gutierrez-Uribe,fl:ja_ln:gutierrezuribe-2,
Javier Carpio Garcia,fl:ja_ln:carpiogarcia-1,
Javier Garza,fl:ja_ln:garza-3,
Jesus Alfonso Alarcon Hernandez,fl:je_ln:alarconhernandez-1,
Jesus Antonio Marin Bello,fl:je_ln:bello-1,
Jesus Ernesto Ibarra Hernandez,fl:je_ln:ibarrahernandez-1,
Jesus Marin Cruz,fl:je_ln:marincruz-1,
Jesus Omar Ponce,fl:je_ln:ponce-1,
Joaquín Fernández Baumeister,fl:jo_ln:baumeister-2,
Johan Gomez Martinez,fl:jo_ln:martinez-3,
Jorge Abraham Gonzalez Villarreal,fl:jo_ln:gonzalezvillarreal-1,
Jorge Cano,fl:jo_ln:cano-4,
Jorge Fernando Ramirez Solis,fl:jo_ln:ramirezsolis-1,
Jorge Froylan Palomeque Santiago,fl:jo_ln:palomequesantiago-1,
Jorge Gonzalez,fl:jo_ln:gonzalez-19,
Jorge J. Campos,fl:jo_ln:campos-10,
Jorge Luis Rios Almanza,fl:jo_ln:riosalmanza-1,
Jorge Manuel Rodriguez Vazquez,fl:jo_ln:rodriguezvazquez-1,
Jorge Romero,fl:jo_ln:romero-11,
Jorge Sotelo,fl:jo_ln:sotelo-3,
Jose A. De La Fuente,fl:jo_ln:delafuente-2,
Jose Alberto Gastelum Moreno,fl:jo_ln:moreno-18,
Jose Alvaro Barba Villanueva,fl:jo_ln:villanueva-3,
Jose Antonio Aguilar Mendez,fl:jo_ln:aguilarmendez-1,
José Antonio Bivián Balanzario,fl:jo_ln:bivianbalanzario-1,
Jose Antonio Ortiz Niembro,fl:jo_ln:ortizniembro-1,
Jose Cordero,fl:jo_ln:cordero-3,
Jose Filiberto Escamilla Canedo,fl:jo_ln:canedo-1,
Jose Formoso,fl:jo_ln:formoso-1,
Jose Francisco Aguilar,fl:jo_ln:aguilar-13,
Jose G. Delgado,fl:jo_ln:delgado-9,
Jose Guadalupe Sanchez De La Rosa,fl:jo_ln:sanchezdelarosa-2,
Jose Luis Garcia Gutierrez,fl:jo_ln:garciagutierrez-1,
Jose Luis Gutierrez Flores,fl:jo_ln:gutierrezflores-1,
Jose Maria Ribot Barroso,fl:jo_ln:ribotbarroso-1,
Jose Mauricio Munoz Fuentes,fl:jo_ln:fuentes-3,
Jose Maurilio Rodriguez Mesa,fl:jo_ln:rodriguezmesa-1,
Jose Nicolas Juarez Espinoza,fl:jo_ln:juarezespinoza-1,
Jose Represas De Almeida,fl:jo_ln:dealmeida-4,
Jose Roberto Frausto Rodriguez,fl:jo_ln:fraustorodriguez-1,
Jose Tamez-Pena,fl:jo_ln:tamezpena-1,
Juan Daniel González,fl:ju_ln:gonzalez-20,
Juan De Jesus,fl:ju_ln:dejesus-2,
Juan de la Cruz Clavel López,fl:ju_ln:clavellopez-1,
Juan Gabriel Gonzalez Juarez,fl:ju_ln:gonzalezjuarez-1,
Juan Manuel Medina,fl:ju_ln:medina-2,
Juan Miguel Gonzalez,fl:ju_ln:gonzalez-18,
Juan Pablo Salgado,fl:ju_ln:salgado-1,
Julian Lopez-Portillo,fl:ju_ln:lopezportillo-1,
Julian Maldonado Valenzuela,fl:ju_ln:maldonadovalenzuela-1,
Karla Janet Aranda Arzaluz,fl:ka_ln:arzaluz-1,
Laura Sanchez,fl:la_ln:sanchez-3,
Laureano Simón Buela,fl:la_ln:buela-1,
Leonardo Felipe Romo Morales,fl:le_ln:romomorales-1,
Leopoldo Urbina,fl:le_ln:urbina-2,
Lorenzo Martinez Gomez,fl:lo_ln:gomez-4,
Luis Adrian Tena Han,fl:lu_ln:tenahan-1,
Luis Alarcon,fl:lu_ln:alarcon-1,
Luis Alberto Garcia Luna,fl:lu_ln:garcialuna-1,
Luis Carlos Castaneda Lopez,fl:lu_ln:castanedalopez-1,
Luis Eduardo Herrera,fl:lu_ln:herrera-2,
Luis Emilio Cruz-Barba,fl:lu_ln:cruzbarba-1,
Luis Francisco Flores Ortiz,fl:lu_ln:floresortiz-1,
Luis Humberto Soni Gutierrez,fl:lu_ln:sonigutierrez-1,
Luis Manuel Quej Ake,fl:lu_ln:quejake-1,
Luis Miguel Lopez Gonzalez,fl:lu_ln:lopezgonzalez-1,
Luis Olmos Gonzalez,fl:lu_ln:olmosgonzalez-1,
Luis Rafael Ibarra Robles,fl:lu_ln:robles-1,
Luis Rodolfo Zamorano Morfín,fl:lu_ln:zamoranomorfin-1,
Luis Talavera,fl:lu_ln:talavera-1,
Magno Alcantara Talavera,fl:ma_ln:alcantaratalavera-1,
Manlio Francisco Barajas Hernandez,fl:ma_ln:barajashernandez-1,
Manuel Antonio Becerra Becerra,fl:ma_ln:becerrabecerra-1,
Manuel Antonio Escamilla Hernandez,fl:ma_ln:escamillahernandez-1,
Marco Ali Curti Espinosa,fl:ma_ln:espinosa-1,
Marcos Moreno Pastor,fl:ma_ln:pastor-1,
Marcos Perez,fl:ma_ln:perez-48,
María del Rosario Socorro Luna Ramírez,fl:er_ln:lunarojero-1,
Maria Paloma Franco Uruñuela,fl:ma_ln:francourunuela-1,
Mario de Aguero Servin,fl:ma_ln:servin-2,
Mario Lopez Ruiz,fl:ma_ln:ruiz-23,
Mario Lorenzana Saucedo,fl:ma_ln:lorenzanasaucedo-1,
Mario Soberon-Chavez,fl:ma_ln:soberonchavez-1,
Mark Vargas Morelli Luna,fl:ma_ln:vargasmorelliluna-1,
Marvin Karpa Feldman,fl:ma_ln:feldman-11,
Merida Sotelo-Lerma,fl:me_ln:sotelolerma-1,
Meytha Marsch-Moreno,fl:me_ln:marschmoreno-1,
Miguel Alvarez,fl:mi_ln:alvarez-6,
Miguel Angel Gallegos,fl:mi_ln:gallegos-1,
Miguel Angel Hernandez,fl:mi_ln:hernandez-5,
Miguel Angel Kiyama-Rodriguez,fl:mi_ln:kiyamarodriguez-1,
Miguel Ángel Leal Cerda,fl:mi_ln:lealcerda-1,
Miguel Angel Silva Rubio,fl:mi_ln:silvarubio-1,
Miguel Enrique Alvarado LICON,fl:mi_ln:licon-1,
Miguel Mendez,fl:mi_ln:mendez-1,
Miguel Perez Luna,fl:mi_ln:perezluna-1,
Missael Bonifacio Romero Escobedo,fl:mi_ln:romeroescobedo-1,
Monica Montserrat Huerta Ruvalcaba,fl:mo_ln:huertaruvalcaba-1,
Natalya Victorovna Likhanova,fl:na_ln:victorovnalikhanova-1,
Norma Icoquih Zapata Peñasco,fl:no_ln:zapatapenasco-1,
Omar Aguilar Macedo,fl:om_ln:aguilarmacedo-1,
Omar Garcia Lopez,fl:om_ln:lopez-1,
Omar Mendoza Vera,fl:om_ln:mendozavera-1,
Omar Rocha,fl:om_ln:rocha-1,
Oscar Eduardo Flores Pantoja,fl:os_ln:florespantoja-1,
Oscar Gloria Bello,fl:os_ln:gloriabello-1,
Oscar Omar Estrada,fl:os_ln:estrada-1,
Oscar Ponte Rivas,fl:os_ln:ponterivas-1,
Oscar Rodriguez,fl:os_ln:rodriguez-7,
Pablo Gonzalez,fl:pa_ln:gonzalez-13,
Pablo Isaac Villalva Sanchez,fl:pa_ln:villalvasanchez-1,
Patricia Pérez Romo,fl:pa_ln:perezromo-1,
Paz Del Angel Vicente,fl:pa_ln:delangelvicente-1,
Pedro Peña Santoyo,fl:pe_ln:penasantoyo-1,
Rafael Garcia,fl:ra_ln:garcia-30,
Rafael Pinto-Negroe,fl:ra_ln:pintonegroe-1,
Raquel Maldonado Cabrera,fl:ra_ln:maldonadocabrera-1,
Raul Arellano MALDONADO,fl:ra_ln:maldonado-4,
Raul Medina-Mora Icaza,fl:ra_ln:icaza-1,
Raul Santillan Galvan,fl:ra_ln:santillangalvan-1,
René Martínez Sierra,fl:re_ln:martinezsierra-1,
Ricardo David Luna Olvera,fl:ri_ln:lunaolvera-1,
Ricardo Hernandez,fl:ri_ln:hernandez-6,
Roberto Betancourt Sanchez,fl:ro_ln:betancourtsanchez-1,
Roberto Camposeco Solis,fl:ro_ln:camposecosolis-1,
Roberto De la Rosa Santamaria,fl:ro_ln:delarosasantamaria-1,
Roberto Hernandez,fl:ro_ln:hernandez-5,
Roberto J. Carrillo Gonzalez,fl:ro_ln:carrillogonzalez-1,
Roberto Krumm Cortes,fl:ro_ln:krummcortes-1,
Roberto QUINTANA SOLORZANO,fl:ro_ln:quintanasolorzano-1,
Roberto Villegas Muriel,fl:ro_ln:villegasmuriel-1,
Rodolfo De La Mora Ramirez,fl:ro_ln:delamoraramirez-1,
Rodrigo Frieventh Cienfuegos,fl:ro_ln:frieventhcienfuegos-1,
Rolando Jesus Alanis Villarreal,fl:ro_ln:alanisvillarreal-1,
Ruben M. Lopez,fl:ru_ln:lopez-4,
Salvador A. Canales,fl:sa_ln:canales-2,
Salvador Alvarez Islas,fl:sa_ln:islas-1,
Sean Zhu,fl:se_ln:zhu-1,
Sergio David Esquivel Álvarez,fl:se_ln:esquivelalvarez-1,
Sergio Garcia de Alba Garcin,fl:se_ln:dealbagarcin-1,
Sergio Octavio Montero Orozco,fl:se_ln:orozco-1,
Teodoro Ortiz Michel,fl:te_ln:michel-2,
Victor Adrian Sosa Herrera,fl:vi_ln:sosaherrera-1,
Victor Palacios Rivera,fl:vi_ln:palaciosrivera-1,
Victoria Juárez,fl:vi_ln:juarez-1,
Violeta Yázmin Mena Cervantes,fl:vi_ln:menacervantes-1,
Virginia Ortega Conde,fl:vi_ln:ortegaconde-1,
Viviano Almonte,fl:vi_ln:almonte-1,
Vladimir Cano Rodriguez,fl:vl_ln:rodriguez-1,
Wesley Mendez Ramirez,fl:we_ln:ramirez-1,
William Martinez Cortes,fl:wi_ln:martinezcortes-1,
Adolfo Mendez Morales,fl:ad_ln:mendezmorales-1,
Agustin Portillo Mercado,fl:ag_ln:mercado-1,
Albert Aguilar,fl:al_ln:aguilar-8,
Alberto Alcocer Ochoa,fl:al_ln:alcocerochoa-1,
Alberto José Pulido Sanchez,fl:al_ln:pulidosanchez-1,
Alfonso González Montiel,fl:al_ln:gonzalezmontiel-1,
Alfonso Medellin,fl:al_ln:medellin-1,
Andrea RODRIGUEZ HERNANDEZ,fl:an_ln:rodriguezhernandez-1,
Annita Tomko,fl:an_ln:tomko-1,
Ari Syrquin Jamson,fl:ar_ln:jamson-1,
Arturo Echanove Hernandez,fl:ar_ln:hernandez-4,
Arturo Garcia,fl:ar_ln:garcia-6,
Arturo Maceda,fl:ar_ln:maceda-1,
Arturo Villalobos Lopez,fl:ar_ln:villaloboslopez-1,
Benito Alvarez,fl:be_ln:alvarez-4,
Carla Cristina Gonzalez Salitrero,fl:ca_ln:salitrero-1,
Carlos Arroyo,fl:ca_ln:arroyo-4,
Carlos Gottfried,fl:ca_ln:gottfried-1,
Carlos Manuel Urzua Hernandez,fl:ca_ln:urzuahernandez-1,
Carlos Ornelas,fl:ca_ln:ornelas-1,
Carlos Vonderwalde Freidberg,fl:ca_ln:freidberg-1,
Carmen Frida Vargas Garcia,fl:ca_ln:vargasgarcia-1,
Daniel Chapa,fl:da_ln:chapa-1,
Daniel Joseph,,
Daniel Joseph Hernandez,fl:da_ln:hernandez-5,
David Castro Duran,fl:da_ln:castroduran-1,
David Morales,fl:da_ln:morales-4,
David Villarreal,fl:da_ln:villarreal-3,
Diego Javier Guzman Lucero,fl:di_ln:guzmanlucero-1,
Edgar Borrayo,fl:ed_ln:borrayo-1,
Edgar Javier Ortega Garcia,fl:ed_ln:ortegagarcia-1,
Eduardo Alva Sanchez,fl:ed_ln:sanchez-5,
Emilio Sacristan,fl:em_ln:sacristan-2,
Emilio Sacristan Rock,fl:em_ln:rock-1,
Enrique Cevada Maya,fl:en_ln:cevadamaya-1,
Enrique Delgado Macias,fl:en_ln:macias-1,
Eric Bryan Arellano Aguilar,fl:er_ln:arellanoaguilar-1,
Ernesto Arias Del Campo,fl:er_ln:ariasdelcampo-1,
Esteban Sandoval Camacho,fl:es_ln:sandovalcamacho-1,
Felix Cruz,fl:fe_ln:cruz-5,
Fernando Villavicencio,fl:fe_ln:villavicencio-1,
Francisco Javier Hernández Beltrán,fl:fr_ln:hernandezbeltran-1,
Francisco Javier Lujan,fl:fr_ln:lujan-1,
Francisco Ronquillo Melendez,fl:fr_ln:ronquillomelendez-1,
Franghie Rubio Khalil,fl:fr_ln:khalil-1,
Genaro Casas Jassan,fl:ge_ln:jassan-1,
Gerardo Gomez Soto,fl:ge_ln:soto-1,
Gerardo Plata Contreras,fl:ge_ln:contreras-1,
Gerardo Rodriguez Najera,fl:ge_ln:rodrigueznajera-1,
Gerardo Zavala Olivares,fl:ge_ln:zavalaolivares-1,
Grant M. Myers,fl:gr_ln:myers-1,
Guillermo Alanis,fl:gu_ln:alanis-1,
Guillermo Castano,fl:gu_ln:castano-1,
Gustavo Morales Cabrera,fl:gu_ln:moralescabrera-1,
Hector Alberto Mendoza Saldivar,fl:he_ln:mendozasaldivar-1,
Henry PENA,fl:he_ln:pena-2,
Herbert Scheffler-Hudlet,fl:he_ln:schefflerhudlet-1,
Isidro MEJIA CENTENO,fl:is_ln:mejiacenteno-1,
Israel Cruz Ruiz,fl:is_ln:ruiz-2,
Jamil Nacif Benavides,fl:ja_ln:nacifbenavides-1,
Jan Crommen,fl:ja_ln:crommen-1,
Javier Gomez,fl:ja_ln:gomez-7,
Jerónimo R. Villarreal Rios,fl:je_ln:villarrealrios-1,
JÉSSICA GALARZA MACÍAS,,
Jorge Angulo Givaudan,fl:jo_ln:givaudan-1,
Jorge Araujo Nieto,fl:jo_ln:araujonieto-1,
Jorge Cervantes Guadarrama,fl:jo_ln:cervantesguadarrama-1,
Jorge D. Berrun-Castanon,fl:jo_ln:berruncastanon-1,
Jorge De La Fuente-Farias,fl:jo_ln:delafuentefarias-2,
Jorge Francisco Ramírez Pérez,fl:jo_ln:ramirezperez-1,
Jorge Morales,fl:jo_ln:morales-18,
Jorge Richard Angulo,fl:jo_ln:angulo-1,
Jorge Sanchez-Gonzalez,fl:jo_ln:sanchezgonzalez-1,
Jose A. Gutierrez,fl:jo_ln:gutierrez-12,
Jose Adalberto Teran Matus,fl:jo_ln:matus-2,
José Angel Avalos-Barcenas,fl:jo_ln:avalosbarcenas-2,
Jose Angel Vilchis Dominguez,fl:jo_ln:dominguez-3,
Jose Arturo Lona Santoyo,fl:jo_ln:lonasantoyo-1,
Jose Cherem Haber,fl:jo_ln:haber-2,
Jose Fernandez,fl:jo_ln:fernandez-49,
José Luis Mendoza De La Cruz,fl:jo_ln:mendozadelacruz-1,
Jose Macias Galarza,fl:jo_ln:maciasgalarza-1,
Jose Oliva,fl:jo_ln:oliva-4,
Jose Osawa Diaz,fl:jo_ln:diaz-15,
Jose Puente,fl:jo_ln:puente-6,
Jose Rodriguez,fl:jo_ln:rodriguez-29,
Juan C. Lozano,fl:ju_ln:lozano-4,
Juan Celada-Gonzalez,fl:ju_ln:celadagonzalez-1,
Juan Manuel Avalos Vega,fl:ju_ln:avalosvega-1,
Julio Cesar Amador Burgoa,fl:ju_ln:burgoa-1,
Karla Morena Guajardo Gonzalez,fl:ka_ln:gonzalez-3,
Kristian Ulyses Flores Aviña,fl:kr_ln:floresavina-1,
Luis A. A. M. Garza,fl:lu_ln:garza-2,
Luis Antonio Hernandez Ortega,fl:lu_ln:hernandezortega-1,
Luis E. Bartol,fl:lu_ln:bartol-1,
Luis Fernando Talavera Abdala,fl:lu_ln:abdala-1,
Luis Gutierrez,fl:lu_ln:gutierrez-6,
LUIS HUMBERTO SÁNCHEZ CABRAL,fl:lu_ln:sanchezcabral-1,
Luis Jesus Chavela Guerra,fl:lu_ln:chavelaguerra-1,
Luis Manuel Garcia,fl:lu_ln:garcia-5,
Luis Miguel Del Pozo Gonzalez,fl:lu_ln:delpozogonzalez-1,
Luis Sanchez Cabral,fl:lu_ln:sanchezcabral-1,
Luis Villasenor,fl:lu_ln:villasenor-1,
Marcelo Enrique Ruiz,fl:ma_ln:ruiz-6,
Marcelo Fernandez,fl:ma_ln:fernandez-38,
Maria Alejandra Noble Colin,fl:ma_ln:noblecolin-1,
Maria del Carmen Martinez Guerrero,fl:ma_ln:martinezguerrero-1,
Maria Elisa Alonso Vilatela,fl:ma_ln:vilatela-1,
Martin Lopez,fl:ma_ln:lopez-33,
Mauricio Coronado,fl:ma_ln:coronado-1,
Miguel Angel Duarte-Vazquez,fl:mi_ln:duartevazquez-1,
Miguel Angel Gomez Angulo,fl:mi_ln:gomezangulo-1,
Miguel Gutierrez,fl:mi_ln:gutierrez-2,
Miguel I. Avila,fl:mi_ln:avila-4,
Miguel Soto,fl:mi_ln:soto-2,
Mohamed Zouhaier Ramadhane,fl:mo_ln:ramadhane-1,
Omar Carrillo Mendoza,fl:om_ln:carrillomendoza-1,
Omar Fernando Carrillo Fernandez,fl:om_ln:carrillofernandez-1,
Oscar Lopez-Torres,fl:os_ln:lopeztorres-1,
Oswaldo Enrique Linares Rivas,fl:os_ln:linaresrivas-1,
Pablo Castellanos Macin,fl:pa_ln:castellanosmacin-1,
Patricia Rayo Mayoral,fl:pa_ln:rayomayoral-1,
Paulo Lopez Meyer,fl:pa_ln:lopezmeyer-1,
Persi Schacht Hernandez,fl:pe_ln:schachthernandez-1,
Rafael Guillermo Ramos Elizondo,fl:ra_ln:elizondo-2,
Rafael Jorge Rojas-Cortes,fl:ra_ln:rojascortes-1,
Rafael Martinez,fl:ra_ln:martinez-7,
Ramiro Ramirez,fl:ra_ln:ramirez-2,
