NOMBRE LIMPIO
"OBREGON DIAZ,OCTAVIO JOSE"
"BARBOZA FLORES,MARCELINO"
"PEREZ ROBLES,JUAN FRANCISCO"
"DAVALOS SOTELO,RAYMUNDO"
"CARDENAS TRIGOS,HUMBERTO FAUSTO"
"DIAZ URIBE,JOSE RUFINO"
"RAMIREZ NIÑO,JOSE TOMAS"
"CAMPOS ENRIQUEZ,JOSE OSCAR"
"DAVALOS OROZCO,LUIS ANTONIO"
"ALVAREZ ICAZA LONGORIA,LUIS AGUSTIN"
"SOULLARD SAINTRAIS,JACQUES ANDRE CLAUDE"
"REYES BARRANCA,MARIO ALFREDO"
"VILLANUEVA URRUTIA,ELBA ELSA"
"SCHUSTER,WILLIAM JOHN"
"BAUER EPHRUSSI,MARIANO VICTOR"
"MIMILA ARROYO,JAIME"
"FUENTES ZURITA,GUSTAVO ARIEL"
"O REILLY TOGNO,FEDERICO JORGE"
"ROMEU CASAJUANA,LUIS DAVID FERNANDO"
"GUZMAN RINCON,JUDITH ISABEL"
"PEREZ GROVAS GARZA,RAUL ANDRES"
"MUTCHINICK BARINGOLTZ,OSVALDO MAXIMO"
"ESTAÑOL VIDAL,BRUNO"
"GONZALEZ EGUIARTE,DIEGO RAYMUNDO"
"GALINA HIDALGO,CARLOS SALVADOR"
"BERISTAIN GUEVARA,CESAR IGNACIO"
"NIETO ANGEL,RAUL"
"ANGULO GUERRERO,JESUS OFELIA"
"GALARRAGA PALACIO,MARIA ELVIRA"
"SCHUNEMANN HOFER,MIRIAM ALINE"
"FERRERA CERRATO,RONALD"
"MASCHER GRAMLICH,DIETER HERMANN"
"HARMONY BAILLET,THALIA"
"OGAWA MURATA,TAKESHI"
"CALDERON AGUILERA,LUIS EDUARDO"
"SERNA SALDIVAR,SERGIO ROMAN OTHON"
"IBARRA VELARDE,OSVALDO FROYLAN"
"SOSA ORTEGA,MARIA VICTORIA"
"CARRANZA Y CASTAÑEDA,OSCAR"
"CANTO ALARCON,GERMINAL JORGE"
"ZARAGOZA CABALLERO,SANTIAGO"
"JUNG COOK,HELGI HELENE"
"HERNANDEZ FERNANDEZ,ROBERTO JOSE RAFAEL"
"HOLGUIN QUIÑONES,OSCAR EFRAIN"
"SOLIS ROSALES,CORINA"
"CARVAJAL MORENO,MAGDA"
"GONZALEZ AMARO,ROBERTO FIDENCIO"
"DEL ANGEL MONTES,GLORIA ALICIA"
"BARBA BEHRENS,NORAH YOLANDA"
"AKCELRAD LERNER DE SCHEINVAR,LEIA"
"MATA ESSAYAG,RACHEL"
"VILLEGAS MONTER,ANGEL"
"SAUCEDO VELOZ,CRESCENCIANO"
"CORREA GIRÓN,EDUARDO PABLO"
"XIMENEZ GARCIA,CECILIA TERESA"
"GALLINA TESSARO,SONIA ANTONIETA"
"EZCURRA REAL DE AZUA,EXEQUIEL MARIA"
"BURGOS VARGAS,RUBEN"
"SALAZAR VALLEJO,SERGIO IGNACIO"
"GARZA OCAÑAS,LOURDES"
"SOTRES RAMOS,DAVID ANTONIO"
"MELLINK BIJTEL,ERIC"
"RICO GRAY,VICTOR"
"ANTARAMIÁN HAROUTIMIÁN,GASPAR EDUARDO"
"ALDANA ARANDA,LUZ MARIA DALILA"
"FALCON VEGA,ROMANA GLORIA"
"ESCOBAR LATAPI,AGUSTIN"
"WINTER,MARCUS COLE"
"SANCHEZ QUINTANAR,SARA MARIA DE LA CONCEPCION"
"CORONA TREVIÑO,LEONEL"
"BRADU CROMIER,FABIENNE SYLVIE"
"DUSSEL AMBROSINI,ENRIQUE DOMINGO"
"LOAEZA TOVAR,MARIA SOLEDAD"
"PRADILLA COBOS,EMILIO"
"GUERRERO OROZCO,BENIGNO OMAR"
"HAM CHANDE,ROBERTO"
"MUNTZEL LUCY,MARTHA CLAIRE"
"KLIMOVSKY BARON,EDITH ALICIA"
"MARTINEZ SALDAÑA,TOMAS"
"BARBA AHUATZIN,BEATRIZ"
"VERDUZCO E IGARTUA,GUSTAVO MANUEL"
"EDER ROZENCWAJG,RITA"
"ARZAPALO MARIN,HEVER RAMON"
"LERNER Y SIGAL,SUSANA"
"SCHMIDT SCHOENBERG,PAUL"
"LEVY BRZEZINSKA,PAULETTE"
"COMPANY COMPANY,CONCEPCION MARIA DEL PILAR"
"SEARA VAZQUEZ,MODESTO"
"DALLAL Y CASTILLO,SAUL ALBERTO"
"SUGIURA YAMAMOTO,YO"
"BARRIGA VILLANUEVA,REBECA"
"BEUCHOT PUENTE,MAURICIO HARDIE"
"TEJERA GAONA,HECTOR"
"LUNA LEDESMA,MATILDE"
"AVILA PALAFOX,RICARDO JACINTO"
"MENEGUS BORNEMANN,MARGARITA"
"GONZALEZ TORRES,LUCRECIA CLEMENTINA YOLOTL"
"GLANTZ SHAPIRO,MARGARITA"
"SEFCHOVICH WASONGARZ,SARA"
"CONNOLLY DIETRICHSEN,PRISCILLA"
"BUBNOVA GULAYA,TATIYANA MIJAILOVNA"
"TUÑON PABLOS,JULIA"
"CORSI CABRERA,MARIA ASUNCION DEL CARMELO"
"BAZANT SANCHEZ,MILADA BLANCA"
"STAPLES DEAN,ANNE FOLGER"
"ASSADOURIAN MARGARIAN,CARLOS SEMPAT"
"BRACHET STAEHLING,VIVIANE"
"LORENZEN SBREGA,DAVID NEAL"
"STERN FEITLER,CLAUDIO MAURICIO"
"PASTOR LLANEZA,MARIA ALBA"
"PARADISE LORING,RUTH MALPAS"
"ROCKWELL RICHMOND,ELSIE"
"MEDINA NUÑEZ,IGNACIO"
"DEL ALIZAL ARRIAGA,LAURA"
"DE IBARROLA NICOLIN,MARIA"
"ACEVEDO VALERIO,VICTOR ANTONIO"
"ECHAVARRIA HERAS,HECTOR ALONSO"
"AGUILERA GRANJA,JUAN FAUSTINO"
"SOLANO SOSA,CRISTINA ELIZABETH"
"CALIXTO CARRERA,SERGIO ARTURO"
"RUIZ DE CHAVEZ SOMOZA,JUAN"
"REYES GASGA,JOSE"
"TAPIA RECILLAS,HORACIO"
"MENDOZA ORTEGA,BLANCA EMMA"
"TORRES LABANSAT,MANUEL"
"ABOITES MANRIQUE,VICENTE"
"CAMPOY GUEREÑA,GERMAN"
"BOHIGAS BOSCH,JOAQUIN IGNACIO AGUSTIN"
"VELA AMIEVA,ALBERTO MARCIAL"
"VILLARREAL RODRIGUEZ,RAFAEL HERACLIO"
"ESPINOSA LUNA,RAFAEL"
"TORRES GUERRA,LETICIA MYRIAM"
"ORDOÑEZ REGIL,EDUARDO"
"LAMOYI VELAZQUEZ,EDMUNDO DE IBIS"
"PANIAGUA MICHEL,JOSE DE JESUS"
"HERNANDEZ SOTOMAYOR,SOLEDAD MARIA TERESA"
"MENDEZ SAMPERIO,PATRICIA"
"FLORES PARRA,MARIA ANGELINA"
"FERNANDEZ VALVERDE,SUILMA MARISELA"
"CASAS VALDEZ,MARIA MARGARITA"
"SANCHEZ CORDERO DAVILA,VICTOR MANUEL GUILLERMO"
"ORTIZ MUÑIZ,ALDA ROCIO"
"BROM KLANNER,SUSANA"
"CRUZ FUENTES,CARLOS SABAS"
"DELGADO SALINAS,ALFONSO OCTAVIO"
"AVALOS DIAZ,ESPERANZA DEL REFUGIO"
"SANDOVAL RAMIREZ,JESUS"
"GASQUE SILVA,LAURA MARIA"
"ARMENDARIZ BORUNDA,JUAN SOCORRO"
"MONTERO MONTOYA,REGINA DORINDA"
"QUIÑONEZ VELAZQUEZ,CASIMIRO"
"ARIAS ALVAREZ,ANA BRIGIDA CLORINDA"
"GALLEGOS MORALES,GABRIEL"
"GARCIA DE ALBA GARCIA,JAVIER EDUARDO"
"VOVIDES PAPALOUKA,ANDREW PETER"
"IBARRA RENDON,JORGE EUGENIO"
"AZIZ NASSIF,ALBERTO"
"BRAVO ARRIAGA,MARIA DE LOS DOLORES JOSEFINA"
"RAMIREZ CARRILLO,LUIS ALFONSO"
"PATAN LOPEZ,FEDERICO"
"BARTOLOME BISTOLETTI,MIGUEL ALBERTO"
"BARABAS REYNA DE BARTOLOME,ALICIA MABEL"
"FERNANDEZ SANTILLAN,JOSE FLORENCIO"
"MALVAGNI GILLY,ADOLFO ATILIO"
"GALLEGOS CAZARES,LETICIA"
"VIQUEIRA ALBAN,JUAN PEDRO"
"BAILON CORRES,MOISES JAIME"
"TAPIA ZUÑIGA,PEDRO CONSTANTINO"
"REYES CORIA,BULMARO ENRIQUE"
"MUÑOZ Y GARCIA,EDUARDO HUMBERTO"
"SANCHEZ SANDOVAL,SALOMON AUGUSTO"
"IZQUIERDO Y DE LA CUEVA,ANA LUISA"
"ARROYO ALEJANDRE,J. JESUS"
"LEAL CARRETERO,FERNANDO MIGUEL"
"DE LA GARZA TOLEDO,ENRIQUE MODESTO"
"ALBRECHTSEN SVENDSEN,KIRSTEN"
"BECERRA RAMIREZ,MANUEL GENEROSO"
"ZABLUDOSKY KUPER,GINA"
"SEGOTA TOMAC,DURDICA"
"BENSUSAN AREOUS,GRACIELA IRMA"
"PI SUÑER LLORENS,ANTONIA"
"ANGULO VILLASEÑOR,JORGE"
"NOVELO OPPENHEIM,VICTORIA FERNANDA MELINA"
"LUDLOW WIECHERS,LEONOR MARIA"
"CUELLAR VAZQUEZ,MA. ANGELICA"
"GARCIA SALORD,SUSANA INES"
"VEGA CANOVAS,GUSTAVO FLORENTINO"
"CONTRERAS Y CRUZ,CARLOS AUGUSTO"
"NEGRETE SALAS,MARIA EUGENIA"
"GORDON RAPOPORT,SARA"
"SCHTEINGART GARFUNKEL,MARTHA ROSA"
"EASTMOND SPENCER,AMARILLA"
"HERRERA ESTRELLA,LUIS RAFAEL"
"CAMPOS MAGAÑA,SANTOS GABRIEL"
"ZAVALETA MEJIA,EMMA"
"CASTILLO TOLEDO,BERNARDINO"
"G. SALMONES BLASQUEZ,JOSE"
"HELENES ESCAMILLA,JAVIER"
"NAVA CAMBEROS,URBANO"
"CEPEDA SILLER,MELCHOR"
"JIMENEZ SANCHEZ,LEOBARDO"
"LIVERA MUÑOZ,MANUEL"
"CARBALLO CARBALLO,AQUILES"
"NOYOLA ROBLES,ADALBERTO"
"MORALES DAVILA,CLEMENTE RODOLFO"
"URQUIZA BELTRAN,GUSTAVO"
"VIVEROS GARCIA,TOMAS"
"ESCOBEDO BOCARDO,JOSE CONCEPCION"
"FOROUGHBAKHCH POURNAVAB,RAHIM"
"BRETON BAEZ,NORA EVA"
"NIETO GARCIA,JUAN ANTONIO"
"ESQUIVEL AVILA,JORGE ALFREDO"
"JIMENEZ MIER Y TERAN,JOSE IGNACIO"
"MORAN ZENTENO,DANTE JAIME"
"PEREYRA PADILLA,PEDRO"
"RECHTMAN SCHRENZEL,RAUL MAURICIO"
"MARTINELL BENITO,JULIO JAVIER"
"SOLTERO MARTINEZ,J. FELIX ARMANDO"
"NUÑEZ ZUÑIGA,DARIO"
"MARTIN DEL POZZO,ANA LILLIAN"
"HARO PONIATOWSKI,EMMANUEL"
"TORRES VEGA,GABINO"
"MALO RIVERA,EDI ALVARO"
"GUARNER LANS,VERONICA"
"JIMENEZ APARICIO,ANTONIO RUPERTO"
"MORAN ANDRADE,JULIO EDUARDO ROQUE"
"ULLOA Y AGUIRRE,ALFREDO ANTONIO"
"BULLOCK RUNQUIST,STEPHEN HOLMES"
"ACEVES VELASCO,CARMEN YOLANDA"
"ALCOCER DURAND,JAVIER"
"GONZALEZ MARISCAL Y MURIEL,LORENZA"
"DURON TORRES,SERGIO MIGUEL"
"SCIUTTO CONDE,EDDA LYDIA"
"PLANCARTE CRESPO,AGUSTIN"
"CANTO CETINA,THELMA ELENA"
"CRUZ MARTIN DEL CAMPO,SILVIA LORENIA"
"MORAN VILLOTA,CARLOS EMIRO"
"VALADEZ MOCTEZUMA,ERNESTINA"
"ARROYO VERASTEGUI,ROSSANA"
"SANTOS PRECIADO,JOSE IGNACIO"
"ZENTENO GALINDO,ARTURO EDGAR"
"ESPEJEL CARBAJAL,MARTHA ILEANA"
"RIVERA BUSTAMANTE,RAFAEL FRANCISCO"
"BYE BOETTLER,ROBERT ARTHUR"
"SANTOS ARGUMEDO,LEOPOLDO"
"GARCIA CARRASCO,MARIO"
"LOPEZ VIDAL,YOLANDA"
"CESAR DACHARY,ALFREDO ARGENTINO"
"ARNAIZ BURNE,STELLA MARIS"
"PLATTS DALEY,MARK DE BRETTON"
"NAHMAD Y SITTON,SALOMON"
"DE LEON ARIAS,ADRIAN"
"HERNANDEZ TRIVIÑO,ASCENSION"
"VAZQUEZ PALACIOS,FELIPE ROBOAM"
"DAVILA FLORES,ALEJANDRO"
"FRENK Y FREUND,MARGARITA ANA MARIA"
"BEHOCARAY FOURNIER,SOLANGE CHRISTINE"
"CASTRO GUTIERREZ,MEDARDO FELIPE"
"UNGER RUBIN,KURT"
"LIDA GARCIA,CLARA EUGENIA"
"MUMMERT FULMER,GAIL ROBERTA"
"SHERIDAN PRIETO,GUILLERMO HUMBERTO"
"HUERTA JARAMILLO,ANA MARIA DOLORES"
"BLANCO ROSENZUAIG,MONICA LAURA"
"ZICCARDI CONTIGIANI,ALICIA ERMELINDA"
"GUEDEA RINCON GALLARDO,VIRGINIA"
"CARRILLO VIVEROS,JORGE HECTOR"
"GALL SONABEND,OLIVIA JOANNA"
"CHAUVET SANCHEZ PRUNEDA,MICHELLE ESTHER"
"TREJO DELARBRE,RAUL"
"GARCIA VALENCIA,ENRIQUE HUGO"
"HERRERA CANALES,INES MARIA"
"ESPEJO DIAZ,BEATRIZ"
"VIZCARRA BORDI,IVONNE"
"RIVERA ARAGON,SOFIA"
"CORRAL JORDA,ROSE AURORE MARIE"
"BOEGE SCHMIDT,ECKART"
"MASFERRER KAN,ELIO ROBERTO"
"CARAVEO Y ANDUAGA,JORGE JAVIER"
"FOLAN HIGGINS,WILLIAM JOSEPH"
"CARRILLO HUERTA,MARIO MIGUEL"
"BIZBERG GUTER,ILAN BARUCH"
"GARDEZI,ABDUL KHALIL"
"GOMEZ MONTIEL,NOEL ORLANDO"
"SEGURA CORREA,JOSE CANDELARIO"
"ORIHUELA TRUJILLO,JOSE AGUSTIN"
"REVAH MOISEEV,SERGIO"
"MANZINI POLI,FABIO LUIGI"
"MARQUEZ BECERRA,HERIBERTO"
"LOPEZ CALLEJAS,REGULO"
"LAREDO SANCHEZ,GEORGINA CECILIA"
"VILLASEÑOR MIR,HECTOR EDUARDO"
"ALMAGUER VARGAS,GUSTAVO"
"FRANCOIS LACOUTURE,JUAN LUIS"
"VEGA CARRILLO,HECTOR RENE"
"CALLEJA ARRIAGA,WILFRIDO"
"SAUCEDO CASTAÑEDA,JESUS GERARDO"
"GARCIA ESTRADA,RAYMUNDO SAUL"
"HIGUERA CIAPARA,INOCENCIO"
"FUJIOKA ROJAS,JORGE"
"BRANDAN SIQUES,MARIA ESTER"
"FLORES MARQUEZ,ELSA LETICIA"
"ALONSO HUITRON,JUAN CARLOS"
"MATOS CHASSIN,TONATIUH"
"LIZANO SOBERON,ESTELA SUSANA"
"ZUÑIGA DAVILA MADRID,FRANCISCO RAMON"
"DEL ANGEL VICENTE,PAZ"
"MILIAN SUAZO,FELICIANO"
"GURROLA BRIONES,GEORGINA"
"VEGA Y SAENZ DE MIERA,MARIA DEL ROSARIO GUADALUPE"
"VADILLO ORTEGA,FELIPE"
"PEREZ FLORES,LAURA JOSEFINA"
"CRUZ SUAREZ,LUCIA ELIZABETH"
"SALINAS STEFANON,EDUARDO MARCOS"
"VAZQUEZ DUHALT,RAFAEL"
"ROSALES CASIAN,JORGE ADRIAN"
"PANDURO CERDA,ARTURO"
"BAROIS BOULLARD,ISABELLE FRANCOISE GUADALUPE"
"RIVERO ESPEJEL,IGNACIO ALFREDO"
"ESTRADA GARCIA,IRIS CITLALI ELVIRA"
"ANGELES ANGELES,ARTURO"
"BASTIDAS RAMIREZ,BLANCA ESTELA"
"PACHECO MENDEZ,TERESA"
"RUSSELL BARNARD,JANE MARGARET"
"SANDOVAL GODOY,SERGIO ALFONSO"
"ROUSSEAU CHAIGNEAU,ISABELLE MARIE CHRISTINE"
"GRAIZBORD ED,BORIS GREGORIO"
"VELASCO AVILA,CUAUHTEMOC JOSE"
"OJEDA DE LA PEÑA,NORMA"
"STANTON MAHER,ANTHONY MICHAEL"
"FUENTES ROJAS,ELIZABETH"
"TECUANHUEY SANDOVAL,ALICIA"
"BARAHONA ECHEVERRIA,ANA ROSA"
"BUENO CASTELLANOS,CARMEN"
"CANSINO ORTIZ,CARMEN SELENE"
"SUAREZ DE LA TORRE,LAURA BEATRIZ"
"MIÑO GRIJALVA,MANUEL EDMUNDO"
"RUIZ MORENO COISSON,LUISA NOEMI"
"LAU JAIVEN,ANA"
"CALVO PONTON,BEATRIZ ESTELA"
"BLOCK SEVILLA,DAVID FRANCISCO"
"WALERSTEIN DERECHIN,EUGENIA"
"MOHAR BETANCOURT,MARIA DE LA LUZ"
"FREY NYMETH,HERBERT"
"MESTRIES BENQUET,FRANCIS"
"KENT SERNA,ROLLIN LINSLEY"
"VILLASEÑOR MARTINEZ,ANA BERTHA"
"SILVA RODRIGO,REBECA"
"SARMIENTO REYES,LIBRADO ARTURO"
"ARCE ESTRADA,ELSA MIRIAM"
"GARCIA OCHOA,ESTEBAN MIGUEL"
"CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO"
"PEDROZA ISLAS,RUTH"
"CANO RIOS,PEDRO"
"PACHECO SOTELO,JOEL OSVALDO"
"SOSSA AZUELA,JUAN HUMBERTO"
"OLGUIN PALACIOS,EUGENIA JUDITH"
"CASILLAS SANTANA,NORBERTO"
"ARREDONDO MORENO,JOSE TULIO"
"ALCANTAR GONZALEZ,ERNESTO GABRIEL"
"HERNANDEZ SUAREZ,CARLOS MOISES"
"PEÑA LOMELI,AURELIANO"
"PALMA LOPEZ,DAVID JESUS"
"KAWAS GARZA,JORGE RAMSY"
"LOMELI BUYOLI,HILDA MARIA"
"CONEJO NAVA,ALBERTO"
"RAMIREZ AMADOR,VELIA AYDEE"
"LOZADA MORALES,ROSENDO LEOVIGILDO"
"MUCIÑO RAYMUNDO,JESUS RUPERTO"
"SOSA VILLANUEVA,VICTOR JOSE"
"TANCK JEWEL,DOROTHY ELIZABETH"
"PARDO VAZQUEZ,JUAN PABLO"
"BOBADILLA SANDOVAL,NORMA ARACELI"
"ARREGUIN ESPINOSA DE LOS MONTEROS,ROBERTO ALEJAND"
"FARRES GONZALEZ SARABIA,AMELIA MARIA DE GUADALUPE"
"JOSE VALENZUELA,GEORGETTE EMILIA"
"TANG XU,YU"
"GALVAN MAGAÑA,FELIPE"
"SALCEDO PINTOS,ROBERTO RENE"
"OCHOA TAPIA,JESUS ALBERTO"
"MORALES CAMPOS,ESTELA MERCEDES"
"PEREZ PONCE DE LEON,GERARDO"
"MONTALDO VALDENEGRO,HUGO HORACIO"
"VILLANUEVA VERDUZCO,CLEMENTE"
"JASSO CANTU,DIANA"
"FANGHANEL SALMON,GUILLERMO"
"SIERRA ESPINOSA,FERNANDO ZENAIDO"
"CASTILLON BARRAZA,FELIPE FRANCISCO"
"RUIZ,FACUNDO"
"CEVALLOS GAOS,MIGUEL ANGEL CARLOS"
"SOLIS MOYA,ERNESTO"
"RAMIREZ REIVICH,ALEJANDRO CUAUHTEMOC"
"CEBALLOS GONZALEZ,GERARDO JORGE"
"FURUYA MEGURO,MARIA ELENA YURIKO"
"PEÑA RODRIGUEZ,LUIS MANUEL"
"PEREZ ORTEGA,JOAQUIN"
"TERAN GILMORE,AMADOR"
"HIRIART URDANIVIA,MARCIA"
"IRIGOYEN CAMACHO,MARIA ESTHER JOSEFINA"
"NAVARRETE BOLAÑOS,JUAN"
"MURPHY ARTEAGA,ROBERTO STACK"
"CERUTTI PIGNAT,MARIO ITALO"
"PERUSQUIA NAVA,MARIA MERCEDES"
"MIRANDA RUVALCABA,RENE"
"MAILEPPALLIL THANKAMMA DE NAIR,SANTHAMMA"
"FIERRO PASTRANA,REYNA CARMEN"
"AGUIRRE RIVERA,JUAN ROGELIO"
"LLORENTE PETERS,LUIS GUILLERMO"
"ARELLANO OSTOA,ROGELIO"
"VALDIVIA ALCALA,RAMON"
"MONTOYA BELLO,LETICIA"
"MUGICA ALVAREZ,VIOLETA"
"RAMIREZ MENDOZA,HUMBERTO"
"ORDOÑEZ DIAZ,MARIA DE JESUS HERMENEGILDA"
"VILLA ROMERO,ANTONIO RAFAEL"
"RAMIREZ WONG,BENJAMIN"
"RODRIGUEZ BUENFIL,INGRID MAYANIN"
"RAMON UGALDE,JULIO PORFIRIO"
"SIMPSON WILLIAMSON,JUNE KILPATRICK"
"LOZOYA GLORIA,EDMUNDO"
"HESS BECHSTEDT,PETER OTTO"
"HIRIART GARCIA,DAVID SALOME"
"SUZAN AZPIRI,HUMBERTO"
"NEGRIN MUÑOZ,EDITH DEL ROSARIO"
"QUINTERO CORTES,LETICIA MARIA GUADALUPE"
"ORGAZ BAQUE,LUIS EMILIO"
"CORONA BERKIN,SARAH"
"KUNZ BOLAÑOS,IGNACIO CARLOS"
"CEDILLO ORTIZ,JOSE ANDRES"
"ROSENBLUETH LAGUETTE,JAVIER FERNANDO"
"PADMANABHAN PANKAJAKSHY,KARUNAKARAN NAIR"
"RZEDOWSKI CALDERON,MARTHA"
"CURIEL DEFOSSE,FERNANDO"
"GONZALBO AIZPURU,PILAR"
"SALAS BRITO,ALVARO LORENZO"
"PUCHET ANYUL,MARTIN CARLOS"
"DUTRENIT BIELOUS,SILVIA ELENA"
"VILLA SALVADOR,GABRIEL DANIEL"
"CAMPS CARVAJAL,EDGAR ENRIQUE"
"CALDIÑO GARCIA,ULISES SINHUE ALEJANDRO"
"BARRAGAN LOPEZ,ESTEVAN"
"ABOITES AGUILAR,LUIS"
"OCHOA SERRANO,ALVARO"
"DOMINGUEZ VILLALOBOS,LILIA MARGARITA"
"COSSIO DIAZ,JOSE RAMON"
"GUILLEN LOPEZ,TONATIUH"
"SOBRINO FIGUEROA,LUIS JAIME"
"DIDOU AUPETIT,SYLVIE ANDREE"
"VERGARA OLIVER,JOSE DAVID"
"SIGNORET POILLON,CARLOS JOSE ENRIQUE"
"PEDRERO Y NIETO,MERCEDES"
"COHEN DABBAH,ESTHER"
"LOSKE MEHLING,ACHIM MAX"
"HEAU LAMBERT,CATHERINE MARIE BENEDICTE"
"WALDMAN MITNICK,GOLDA JASIE"
"GOUTMAN BENDER,ANA ADELA"
"MONTOYA DE LA FUENTE,J. ASCENCION"
"GARROCHO RANGEL,CARLOS FELIX"
"SUAREZ ESCOBAR,MARCELA"
"MUNCH Y GALINDO,GERMAN GUIDO"
"CONCHEIRO BORQUEZ,MARIA ELVIRA"
"RUBIO VEGA,BLANCA AURORA"
"HERS STUTZ,MARIE ARETI LOUISE JOSEPHINE"
"BLOCH,AVITAL HADASSAH"
"CANTO CHAC,SATURNINO MANUEL"
"VILLARREAL LUJAN,CARLOS"
"ZAVALA ALVARADO,LAURO JOSE"
"FUENTES FLORES,NOE ARON"
"GONZALEZ CASANOVA Y DEL VALLE,PABLO"
"GRAJALES Y PORRAS,AGUSTIN GUILLERMO JUAN CONTANT"
"TORRES MALDONADO,EDUARDO JOSE"
"WOLDENBERG KARAKOWSKY,ISAAC JOSE"
"WOO MORALES,OFELIA"
"MARTIN BARAJAS,JESUS ARTURO"
"ROMO TRUJILLO,RANULFO"
"AVENDAÑO REYES,LEONEL"
"SOTELO LERMA,MERIDA"
"BUSTILLOS GUZMAN,JOSE JESUS"
"DELOYA LOPEZ,ARISTEO CUAUHTEMOC"
"GUARDADO ZAVALA,JOSE LEONARDO"
"BARRADAS MIRANDA,VICTOR LUIS"
"BACA DEL MORAL,JULIO"
"FRIAS TREVIÑO,GUSTAVO ALBERTO"
"NAVA ENTZANA,TOBIAS NOEL"
"ORTIZ SOLORIO,CARLOS ALBERTO"
"RUIZ VELAZCO SANCHEZ,ENRIQUE"
"MATSUMOTO KUWABARA,YASUHIRO"
"GONZALEZ ELIZONDO,MARIA DEL SOCORRO"
"NAVARRO SIGUENZA,ADOLFO GERARDO"
"TORRES Y TORRES,NIMBE"
"TOVAR PALACIO,ARMANDO ROBERTO"
"ARROYO CABRALES,JOAQUIN"
"GUZMAN VILLATE,PLINIO ANTONIO"
"LOSADA CUSTARDOY,HERMENEGILDO ROMAN"
"FLORAN GARDUÑO,BENJAMIN"
"VALDEZ CEPEDA,RICARDO DAVID"
"MORENO VILLALOBOS,PABLO"
"LOPEZ GONZALEZ,JOSE SULIVAN"
"OSEGUERA PEÑA,JOAQUIN ESTEBAN"
"BALMORI RAMIREZ,HEBERTO ANTONIO MARCELINO"
"BARRIENTOS PRIEGO,ALEJANDRO FACUNDO"
"BOBADILLA DEL VALLE,JUDITH MIRIAM"
"LANDA PIEDRA,ABRAHAM"
"XOCONOSTLE CAZARES,GUADALUPE BEATRIZ"
"LOPEZ MARISCAL,JUAN MANUEL"
"MENCHACA CAMPOS,ELSA CARMINA"
"SANTILLAN DOHERTY,PATRICIO JAVIER"
"GUERRERO RAMIREZ,GERARDO VICENTE"
"LUNA VEGA,MERCEDES ISOLDA"
"HERMAN Y LARA,ERASMO"
"VALENZUELA BENAVIDES,JOSE"
"GUTIERREZ LOPEZ,GUSTAVO FIDEL"
"PEREZ PACHECO,RAFAEL"
"CAMPOS CASCAREDO,ADOLFO"
"PARRA VEGA,VICENTE"
"MUÑOZ CLARES,ROSARIO ADELAIDA"
"PEÑA SIERRA,RAMON"
"LEMINI GUZMAN,CANDIDA MARIA CRISTINA"
"DOMINGUEZ PEREZ TEJADA,CESAR AUGUSTO"
"FLORESCANO MAYET,ENRIQUE FEDERICO"
"LUCIO LUCIO,ROSA ANGELICA"
"CHIMAL MONROY,JESUS"
"GAMEZ MEZA,NOHEMI"
"RUIZ ACOSTA,SILVIA DEL CARMEN"
"SCHEEL MAYENBERGER,CARLOS"
"WELTI CHANES,JORGE SANTOS"
"SANCHEZ VELASQUEZ,LAZARO RAFAEL"
"GUERRERO OLAZARAN,MARTHA"
"GARDEA BEJAR,ALFONSO ANTERO"
"ALMEIDA ACOSTA,FRANCISCO HUMBERTO EDUARDO"
"GARATUZA PAYAN,JAIME"
"ARELLANO GAULT,DAVID"
"QUEZADA BATALLA,ROBERTO"
"MIRAMONTES VIDAL,PEDRO EDUARDO"
"RAMOS LIRA,LUCIANA ESTHER"
"QUEZADA,SERGIO PRUDENCIO AUGUSTO"
"MRAZ SIKES,JOHN GERALD"
"SOBARZO FIMBRES,HORACIO ENRIQUE"
"PEREZ CHAVELA,ERNESTO"
"NAKAMURA SAVOY,MIGUEL"
"GUTIERREZ ESTUPIÑAN,RAQUEL GRACIELA"
"BAEZ JORGE,FELIX"
"GROLLOVA ORNSTEINOVA,DANIELA"
"PEREZ Y ESPEJO,ROSARIO HAYDEE"
"ZUBILLAGA LUNA,RAFAEL ARTURO"
"BARTOLUCCI INCICO,JORGE ERNESTO"
"NAPSUCIALE MENDIVIL,MAURO"
"PIPITONE,GIUSEPPE UGO"
"MEYENBERG LEYCEGUI,YOLANDA MARGARITA"
"DELGADO WISE,RAUL"
"DIAZ CRUZ,JUSTINIANO LORENZO"
"LARA ZAVALA,MARIA"
"URUÑUELA LADRON DE GUEVARA,MARIA GABRIELA"
"CARRIQUIRY BELTRAN,JOSE DOMINGO"
"QUINTANILLA MONTOYA,ANA LUZ"
"BACKHOFF ESCUDERO,EDUARDO"
"DE TERESA OCHOA,ANA PAULA CARINA"
"DIEGO QUINTANA,ROBERTO SERAFIN"
"VERDUZCO CHAVEZ,BASILIO"
"CONNAUGHTON HANLEY,BRIAN FRANCIS"
"YEE MADEIRA,HERNANI TIAGO"
"DE YTURBE CALVO,CORINA"
"DENMAN CHAMPION,KATHLEEN ANN"
"RODRIGUEZ GOMEZ GUERRA,ROBERTO ANGEL"
