Nombre Buscado,Mejor Coincidencia,Similitud
"ARIAS GALICIA,LUIS FERNANDO","ARIAS GALICIA,LUIS FERNANDO",100.0
"CASTAINGTS TEILLERY,JEAN CLAUDE","CASTAINGTS TEILLERY,JEAN CLAUDE",100.0
"ROMERO GALVAN,JOSE RUBEN","ROMERO GALVAN,JOSE RUBEN",100.0
"HERNANDEZ HERNANDEZ,JUAN DIEGO","HERNANDEZ HERNANDEZ,JUAN DIEGO",100.0
"VIVEROS Y MALDONADO,JOSE GERMAN","VIVEROS Y MALDONADO,JOSE GERMAN",100.0
"SANCHEZ ESQUIVEL,SERGIO","SANCHEZ ESQUIVEL,SERGIO",100.0
"ESPINOSA GARCIA,GUILLERMO CIRANO","ESPINOSA GARCIA,GUILLERMO CIRANO",100.0
"SOCOLOVSKY VAJOVSKY,MIGUEL","SOCOLOVSKY VAJOVSKY,MIGUEL",100.0
"ORTIZ CRUZ,ETELBERTO","ORTIZ CRUZ,ETELBERTO",100.0
"PEÑA CHAPA,JUAN LUIS","PEÑA CHAPA, JUAN LUIS",97.5609756097561
"KURI HARCUCH,WALID","KURI HARCUCH,WALID",100.0
"VIZCARRA MENDOZA,MARIO GONZALO","VIZCARRA MENDOZA,MARIO GONZALO",100.0
"URIAS HERMOSILLO,JESUS","URIAS HERMOSILLO,JESUS",100.0
"GARCIA DIAZ,ALBERTO ALEJANDRO","GARCIA DIAZ,ALBERTO ALEJANDRO",100.0
"CHAMORRO ESCALANTE,JORGE ARTURO","CHAMORRO ESCALANTE,JORGE ARTURO",100.0
"HERREJON PEREDO,CARLOS","HERREJON PEREDO,CARLOS",100.0
"LIRA GONZALEZ,ANDRES","LIRA GONZALEZ,ANDRES",100.0
"ARIAS ROZAS,MARIA PATRICIA","ARIAS ROZAS,MARIA PATRICIA",100.0
"VERNON CARTER,EDUARDO JAIME","VERNON CARTER,EDUARDO JAIME",100.0
"DURAND ARP NISEN,JORGE GUILLERMO","DURAND ARP NISEN,JORGE GUILLERMO",100.0
"MIRANDA GODINEZ,FRANCISCO","MIRANDA GODINEZ,FRANCISCO",100.0
"ACEVES RUIZ,JORGE","ACEVES RUIZ,JORGE",100.0
"SALINAS BRAVO,VICTOR MANUEL","SALINAS BRAVO,VICTOR MANUEL",100.0
"CERVANTES VEGA,CARLOS","CERVANTES VEGA,CARLOS",100.0
"LUGO HUBP,JOSE INOCENTE","LUGO HUBP,JOSE INOCENTE",100.0
"OTERO COLINA,GABRIEL","OTERO COLINA,GABRIEL",100.0
"DE URQUIJO CARMONA,JAIME","DE URQUIJO CARMONA,JAIME",100.0
"URRUTIA RIOS,LUIS FERNANDO","URRUTIA RIOS,LUIS FERNANDO",100.0
"PAZOS RANGEL,RODOLFO ABRAHAM","PAZOS RANGEL,RODOLFO ABRAHAM",100.0
"GALAZ FONTES,JESUS FRANCISCO","GALAZ FONTES,JESUS FRANCISCO",100.0
"SANTILLAN BACA,ROSA LUISA","SANTILLAN BACA,ROSA LUISA",100.0
"FARFAN GARCIA,JOSE NORBERTO","FARFAN GARCIA,JOSE NORBERTO",100.0
"SERRANO GOMEZ,ENRIQUE","SERRANO GOMEZ,ENRIQUE",100.0
"BURILLO AMEZCUA,SOFIA GUILLERMINA","BURILLO AMEZCUA,SOFIA GUILLERMINA",100.0
"DE MICHELI SERRA,ALFREDO ALESSANDRO","DE MICHELI SERRA,ALFREDO ALESSANDRO",100.0
"GOMEZ ROMERO,JOSE RICARDO","GOMEZ ROMERO,JOSE RICARDO",100.0
"DE LOS REYES GARCIA,AURELIO","DE LOS REYES GARCIA,AURELIO",100.0
"SALGADO CERVANTES,MARCO ANTONIO","SALGADO CERVANTES,MARCO ANTONIO",100.0
"BAÑOS RAMIREZ,OTHON","BAÑOS RAMIREZ, OTHON",97.43589743589743
"GONZALEZ OROPEZA,MANUEL","GONZALEZ OROPEZA,MANUEL",100.0
"BARTRA MURIA,ROGER","BARTRA MURIA,ROGER",100.0
"GARCIA GALINDO,HUGO SERGIO","GARCIA GALINDO,HUGO SERGIO",100.0
"MALACARA HERNANDEZ,JUAN MANUEL","MALACARA HERNANDEZ,JUAN MANUEL",100.0
"MC CLUNG HEUMANN,EMILY SEITZ","MC CLUNG HEUMANN,EMILY SEITZ",100.0
