Nombre Buscado,Mejor Coincidencia,Similitud
"MORALI DE LA BRENA,GABRIELA","MORALI DE LA BRENA,GABRIELA",100.0
"VILLALPANDO HERNANDEZ,SALVADOR FRANCISCO","VILLALPANDO HERNANDEZ,SALVADOR FRANCISCO",100.0
IGNACIO MARIO MADRAZO NAVARRO,IGNACIO MARIO MADRAZO NAVARRO,100.0
"KUMATE RODRIGUEZ,JESUS","KUMATE RODRIGUEZ,JESUS",100.0
"ROSADO GARCIA,ADOLFO","ROSADO GARCIA,ADOLFO",100.0
"MARTINEZ MORALES,GUADALUPE IMELDA","MARTINEZ MORALES,GUADALUPE IMELDA",100.0
"ARREGUIN CORTES,FELIPE IGNACIO","ARREGUIN CORTES,FELIPE IGNACIO",100.0
"DE LA TORRE MARTINEZ,MARIA MAYRA","DE LA TORRE MARTINEZ,MARIA MAYRA",100.0
"DIAZ LOVING,ROLANDO","DIAZ LOVING,ROLANDO",100.0
"ESTRADA Y VELASCO,JULIO LUIS","ESTRADA Y VELASCO,JULIO LUIS",100.0
"MARTINEZ PALACIOS,CARLOS ANTONIO","MARTINEZ PALACIOS,CARLOS ANTONIO",100.0
"OLVERA NOVOA,MIGUEL ANGEL","OLVERA NOVOA,MIGUEL ANGEL",100.0
"CHAVEZ ORTIZ,ERNESTO AARON","CHAVEZ ORTIZ,ERNESTO AARON",100.0
"HERNANDEZ SANCHEZ,HUMBERTO","HERNANDEZ SANCHEZ,HUMBERTO",100.0
"MORA ESCOBEDO,ROSALVA","MORA ESCOBEDO,ROSALVA",100.0
"HERRERA SUAREZ,TEOFILO","HERRERA SUAREZ,TEOFILO",100.0
"TELIZ ORTIZ,DANIEL","TELIZ ORTIZ,DANIEL",100.0
"GUZMAN ARENAS,ADOLFO","GUZMAN ARENAS,ADOLFO",100.0
"CHAPA VERGARA,SERGIO VICTOR","CHAPA VERGARA,SERGIO VICTOR",100.0
"FRESAN OROZCO,MARIA MAGDALENA","FRESAN OROZCO,MARIA MAGDALENA",100.0
"MARTIARENA ALAMO,OSCAR ROLANDO","MARTIARENA ALAMO,OSCAR ROLANDO",100.0
"PEÑA SAINT MARTIN,FLORENCIA","PEÑA SAINT MARTIN, FLORENCIA",98.18181818181819
"DE LA PEÑA MENA,JOSE ANTONIO STEPHAN","DE LA PEÑA MENA, JOSE ANTONIO STEPHAN",98.63013698630137
"LOPEZ PERALTA,MARIA CRISTINA GUADALUPE","LOPEZ PERALTA,MARIA CRISTINA GUADALUPE",100.0
"ETCHEVERS BARRA,JORGE DIONISIO","ETCHEVERS BARRA,JORGE DIONISIO",100.0
"EXEBIO GARCIA,ADOLFO ANTENOR","EXEBIO GARCIA, ADOLFO ANTENOR",98.24561403508771
"PALACIOS VELEZ,ENRIQUE","PALACIOS VELEZ,ENRIQUE",100.0
"PEÑA VALDIVIA,CECILIA BEATRIZ","PEÑA VALDIVIA,CECILIA BEATRIZ",100.0
"VOLKE HALLER,VICTOR HUGO","VOLKE HALLER,VICTOR HUGO",100.0
"OLESHKO,KLAVDIYA","OLESHKO , KLAVDIYA",94.11764705882352
"RUIZ GOMEZ,SONIA ELDA","RUIZ GOMEZ,SONIA ELDA",100.0
"ESTEVA MARABOTO,LUIS","ESTEVA MARABOTO,LUIS",100.0
"MALACARA HERNANDEZ,DANIEL","MALACARA HERNANDEZ,DANIEL",100.0
"PEIMBERT SIERRA,MANUEL","PEIMBERT SIERRA,MANUEL",100.0
"MORA Y CELIS,JAIME BIENVENIDO","MORA Y CELIS,JAIME BIENVENIDO",100.0
"PEREZ TAMAYO,RUY","PEREZ TAMAYO,RUY",100.0
"RUDOMIN ZEVNOVATY,PABLO","RUDOMIN ZEVNOVATY,PABLO",100.0
"RUIZ Y HERRERA,JOSE","RUIZ Y HERRERA,JOSE",100.0
"FIX ZAMUDIO,HECTOR","FIX ZAMUDIO,HECTOR",100.0
"LEON Y PORTILLA,MIGUEL LUIS","LEON Y PORTILLA,MIGUEL LUIS",100.0
"URUCHURTU CHAVARIN,JORGE","URUCHURTU CHAVARIN,JORGE",100.0
"MORALES LUNA,GUILLERMO BENITO","MORALES LUNA,GUILLERMO BENITO",100.0
"CERVANTES DE GORTARI,JAIME GONZALO","CERVANTES DE GORTARI,JAIME GONZALO",100.0
"ELIAS HERRERA,MARIANO","ELIAS HERRERA,MARIANO",100.0
"GONZALEZ LAREDO,RUBEN FRANCISCO","GONZALEZ LAREDO,RUBEN FRANCISCO",100.0
"JASSO GASTINEL,CARLOS FEDERICO","JASSO GASTINEL,CARLOS FEDERICO",100.0
"MENDIZABAL MIJARES,EDUARDO","MENDIZABAL MIJARES,EDUARDO",100.0
"RAMIREZ GUZMAN,MARTA ELVA","RAMIREZ GUZMAN,MARTA ELVA",100.0
"JARDON AGUILAR,HILDEBERTO","JARDON AGUILAR,HILDEBERTO",100.0
"COVARRUBIAS ROSALES,DAVID HILARIO","COVARRUBIAS ROSALES,DAVID HILARIO",100.0
"GRACIA Y JIMENEZ,JUSTO MIGUEL","GRACIA Y JIMENEZ,JUSTO MIGUEL",100.0
"FLORES VALDES,JORGE ANDRES","FLORES VALDES,JORGE ANDRES",100.0
"GOMEZ BAROJAS,ESTELA","GOMEZ BAROJAS,ESTELA",100.0
"GONZALEZ HERNANDEZ,JESUS","GONZALEZ HERNANDEZ,JESUS",100.0
"POGGI VARALDO,HECTOR MARIO","POGGI VARALDO,HECTOR MARIO",100.0
"CHAVEZ SEGURA,RENE EFRAIN","CHAVEZ SEGURA,RENE EFRAIN",100.0
"GALEANA SANCHEZ,HORTENSIA","GALEANA SANCHEZ,HORTENSIA",100.0
"CASTAÑO MENESES,VICTOR MANUEL","CASTAÑO MENESES, VICTOR MANUEL",98.30508474576271
"OBREGON DIAZ,OCTAVIO JOSE","OBREGON DIAZ,OCTAVIO JOSE",100.0
"LOPEZ CAMPOS,RAUL GUILLERMO","LOPEZ CAMPOS,RAUL GUILLERMO",100.0
"PERALTA RODRIGUEZ,RENE DARIO","PERALTA RODRIGUEZ,RENE DARIO",100.0
"ARAUZ LARA,BERNARDO JOSE LUIS","ARAUZ LARA,BERNARDO JOSE LUIS",100.0
"BARBOZA FLORES,MARCELINO","BARBOZA FLORES,MARCELINO",100.0
"PEREZ ROBLES,JUAN FRANCISCO","PEREZ ROBLES,JUAN FRANCISCO",100.0
DAVALOS SOTELORAYMUNDO,DAVALOS SOTELORAYMUNDO,100.0
"LLUIS RIERA,EMILIO","LLUIS RIERA,EMILIO",100.0
"CARDENAS TRIGOS,HUMBERTO FAUSTO","CARDENAS TRIGOS,HUMBERTO FAUSTO",100.0
"BOSCH GIRAL,CARLOS","BOSCH GIRAL,CARLOS",100.0
"RODRIGUEZ ZURITA,GUSTAVO","RODRIGUEZ ZURITA,GUSTAVO",100.0
"DIAZ URIBE,JOSE RUFINO","DIAZ URIBE,JOSE RUFINO",100.0
"RAMIREZ NIÑO,JOSE TOMAS","RAMIREZ NIÑO,JOSE TOMAS",100.0
"CAMPOS ENRIQUEZ,JOSE OSCAR","CAMPOS ENRIQUEZ,JOSE OSCAR",100.0
"OLGUIN SALINAS,DANIEL","OLGUIN SALINAS,DANIEL",100.0
"ESCUDERO DERAT,ROBERTO","ESCUDERO DERAT,ROBERTO",100.0
"DAVALOS OROZCO,LUIS ANTONIO","DAVALOS OROZCO,LUIS ANTONIO",100.0
"GONZALEZ CAMPOS,RAFAEL","GONZALEZ CAMPOS, RAFAEL",97.77777777777777
"MENCHACA ROCHA,ARTURO ALEJANDRO","MENCHACA ROCHA,ARTURO ALEJANDRO",100.0
"ROJAS GONZALEZ,EDUARDO","ROJAS GONZALEZ,EDUARDO",100.0
"ALVAREZ ICAZA LONGORIA,LUIS AGUSTIN","ALVAREZ ICAZA LONGORIA,LUIS AGUSTIN",100.0
"BALCAZAR GARCIA,MIGUEL","BALCAZAR GARCIA,MIGUEL",100.0
"SOULLARD SAINTRAIS,JACQUES ANDRE CLAUDE","SOULLARD SAINTRAIS,JACQUES ANDRE CLAUDE",100.0
"PINEDA CORTES,LUIS ALBERTO","PINEDA CORTES,LUIS ALBERTO",100.0
"BARRERA CALVA,ENRIQUE","BARRERA CALVA,ENRIQUE",100.0
"REYES BARRANCA,MARIO ALFREDO","REYES BARRANCA,MARIO ALFREDO",100.0
"VILLANUEVA URRUTIA,ELBA ELSA","VILLANUEVA URRUTIA,ELBA ELSA",100.0
"GARZON SOSA,IGNACIO LUIS","GARZON SOSA,IGNACIO LUIS",100.0
"ALVAREZ NOGUERA,LUIS JAVIER","ALVAREZ NOGUERA,LUIS JAVIER",100.0
"GALAZ FONTES,FERNANDO","GALAZ FONTES,FERNANDO",100.0
"LOPEZ ROMERO,SEBASTIAN","LOPEZ ROMERO,SEBASTIAN",100.0
"SCHUSTER,WILLIAM JOHN","SCHUSTER , WILLIAM JOHN",95.45454545454545
"TOVAR SANCHEZ,LUIS MANUEL","TOVAR SANCHEZ,LUIS MANUEL",100.0
"ALEJANDRE RAMIREZ,J. REYES","ALEJANDRE RAMIREZ,J. REYES",100.0
"BAUER EPHRUSSI,MARIANO VICTOR","BAUER EPHRUSSI,MARIANO VICTOR",100.0
"JIMENEZ RAMIREZ,JOSE LUIS","JIMENEZ RAMIREZ,JOSE LUIS",100.0
"MIMILA ARROYO,JAIME","MIMILA ARROYO,JAIME",100.0
"REYNOSO HERNANDEZ,J. APOLINAR","REYNOSO HERNANDEZ,J. APOLINAR",100.0
"FUENTES ZURITA,GUSTAVO ARIEL","FUENTES ZURITA,GUSTAVO ARIEL",100.0
"O REILLY TOGNO,FEDERICO JORGE","O REILLY TOGNO,FEDERICO JORGE",100.0
"ANDRADE IBARRA,EDUARDO","ANDRADE IBARRA,EDUARDO",100.0
"MONSIVAIS GALINDO,GUILLERMO","MONSIVAIS GALINDO,GUILLERMO",100.0
"RAMOS DE VALLE,LUIS FRANCISCO","RAMOS DE VALLE,LUIS FRANCISCO",100.0
"ROMEU CASAJUANA,LUIS DAVID FERNANDO","ROMEU CASAJUANA,LUIS DAVID FERNANDO",100.0
"GUZMAN RINCON,JUDITH ISABEL","GUZMAN RINCON,JUDITH ISABEL",100.0
"PEREZ GROVAS GARZA,RAUL ANDRES","PEREZ GROVAS GARZA,RAUL ANDRES",100.0
"ROSADO LORIA,JORGE LUIS","ROSADO LORIA,JORGE LUIS",100.0
"GASO PRADA,MARIA ISABEL","GASO PRADA,MARIA ISABEL",100.0
"MUTCHINICK BARINGOLTZ,OSVALDO MAXIMO","MUTCHINICK BARINGOLTZ,OSVALDO MAXIMO",100.0
"RAMIREZ RODRIGUEZ,HOMERO","RAMIREZ RODRIGUEZ,HOMERO",100.0
"ESTAÑOL VIDAL,BRUNO","ESTAÑOL VIDAL, BRUNO",97.43589743589743
"LARES ASEF,ISMAEL ANTONIO","LARES ASEF,ISMAEL ANTONIO",100.0
"VELASCO CAMPOS,FRANCISCO JESUS","VELASCO CAMPOS,FRANCISCO JESUS",100.0
"LARREA GALLO,FERNANDO","LARREA GALLO,FERNANDO",100.0
"GONZALEZ EGUIARTE,DIEGO RAYMUNDO","GONZALEZ EGUIARTE,DIEGO RAYMUNDO",100.0
"GALINA HIDALGO,CARLOS SALVADOR","GALINA HIDALGO,CARLOS SALVADOR",100.0
"BAUTISTA GARFIAS,CARLOS RAMON","BAUTISTA GARFIAS,CARLOS RAMON",100.0
"JIMENEZ ESTRADA,ISMAEL","JIMENEZ ESTRADA,ISMAEL",100.0
"BERISTAIN GUEVARA,CESAR IGNACIO","BERISTAIN GUEVARA,CESAR IGNACIO",100.0
"FERNANDEZ GUASTI,JOSE ALONSO","FERNANDEZ GUASTI,JOSE ALONSO",100.0
"ELIZALDE GONZALEZ,MARIA DE LA PAZ","ELIZALDE GONZALEZ,MARIA DE LA PAZ",100.0
"NAVARRETE TEJERO,JUAN MANUEL","NAVARRETE TEJERO,JUAN MANUEL",100.0
"SANCHEZ VAZQUEZ,JOSE ERNESTO","SANCHEZ VAZQUEZ,JOSE ERNESTO",100.0
"NIETO ANGEL,RAUL","NIETO ANGEL,RAUL",100.0
"RIBES IÑESTA,EMILIO","RIBES IÑESTA, EMILIO",97.43589743589743
"ANGULO GUERRERO,JESUS OFELIA","ANGULO GUERRERO,JESUS OFELIA",100.0
"MARTINEZ FONG,DANIEL","MARTINEZ FONG,DANIEL",100.0
"GALARRAGA PALACIO,MARIA ELVIRA","GALARRAGA PALACIO,MARIA ELVIRA",100.0
"BARGAS DIAZ,JOSE","BARGAS DIAZ,JOSE",100.0
"SCHUNEMANN HOFER,MIRIAM ALINE","SCHUNEMANN HOFER,MIRIAM ALINE",100.0
"OCAMPO CAMBEROS,LUIS","OCAMPO CAMBEROS,LUIS",100.0
"GARCIA PAREDES,JUAN DIEGO","GARCIA PAREDES,JUAN DIEGO",100.0
"MORILLA GONZALEZ,ANTONIO","MORILLA GONZALEZ,ANTONIO",100.0
"FERRERA CERRATO,RONALD","FERRERA CERRATO,RONALD",100.0
"MASCHER GRAMLICH,DIETER HERMANN","MASCHER GRAMLICH,DIETER HERMANN",100.0
"SOTELO MORALES,JULIO EVERARDO","SOTELO MORALES,JULIO EVERARDO",100.0
"HARMONY BAILLET,THALIA","HARMONY BAILLET,THALIA",100.0
"VERDE STAR,MARIA JULIA","VERDE STAR,MARIA JULIA",100.0
"HALFFTER SALAS,GONZALO","HALFFTER SALAS,GONZALO",100.0
"OGAWA MURATA,TAKESHI","OGAWA MURATA,TAKESHI",100.0
"CALDERON AGUILERA,LUIS EDUARDO","CALDERON AGUILERA,LUIS EDUARDO",100.0
"ORTEGA CERRILLA,MARIA ESTHER","ORTEGA CERRILLA,MARIA ESTHER",100.0
"IBARRA NUÑEZ,GUILLERMO","IBARRA NUÑEZ, GUILLERMO",97.77777777777777
"ORTEGA RUBIO,ALFREDO","ORTEGA RUBIO,ALFREDO",100.0
"SERNA SALDIVAR,SERGIO ROMAN OTHON","SERNA SALDIVAR,SERGIO ROMAN OTHON",100.0
"LIRA SALDIVAR,RICARDO HUGO","LIRA SALDIVAR,RICARDO HUGO",100.0
"RAMIREZ DIAZ,JOSE LUIS","RAMIREZ DIAZ,JOSE LUIS",100.0
"IBARRA VELARDE,OSVALDO FROYLAN","IBARRA VELARDE,OSVALDO FROYLAN",100.0
"OSTROSKY SHEJET,MARTHA PATRICIA","OSTROSKY SHEJET,MARTHA PATRICIA",100.0
"LIZARRAGA PARTIDA,MARCIAL LEONARDO","LIZARRAGA PARTIDA,MARCIAL LEONARDO",100.0
"ALVAREZ Y TOLEDANO,CECILIO","ALVAREZ Y TOLEDANO,CECILIO",100.0
"CARREÑO,ANA LUISA","CARREÑO , ANA LUISA",94.44444444444444
"LEYVA MIR,SANTOS GERARDO","LEYVA MIR,SANTOS GERARDO",100.0
"SOSA ORTEGA,MARIA VICTORIA","SOSA ORTEGA,MARIA VICTORIA",100.0
"JIMENEZ OSORNIO,JUAN JOSE MARIA","JIMENEZ OSORNIO,JUAN JOSE MARIA",100.0
"LOPEZ CHARRETON,SUSANA","LOPEZ CHARRETON,SUSANA",100.0
"GONZALEZ FARIAS,FERNANDO ANTONIO","GONZALEZ FARIAS,FERNANDO ANTONIO",100.0
"CARRANZA Y CASTAÑEDA,OSCAR","CARRANZA Y CASTAÑEDA, OSCAR",98.11320754716981
"ROMAN CONTRERAS,RAMIRO","ROMAN CONTRERAS,RAMIRO",100.0
"CANTO ALARCON,GERMINAL JORGE","CANTO ALARCON,GERMINAL JORGE",100.0
"CASTELLANOS RUELAS,ARTURO FRANCISCO","CASTELLANOS RUELAS,ARTURO FRANCISCO",100.0
TELLEZ VALDESOSWALDO,TELLEZ VALDESOSWALDO,100.0
"ZARAGOZA CABALLERO,SANTIAGO","ZARAGOZA CABALLERO,SANTIAGO",100.0
"GONZALEZ GONZALEZ,VIRGILIO ANGEL","GONZALEZ GONZALEZ,VIRGILIO ANGEL",100.0
"VAZQUEZ MORENO,LUZ","VAZQUEZ MORENO,LUZ",100.0
"RODRIGUEZ HERRERA,SERGIO ALFREDO","RODRIGUEZ HERRERA,SERGIO ALFREDO",100.0
"VELAZQUEZ MARTINEZ,DAVID NATANAEL","VELAZQUEZ MARTINEZ, DAVID NATANAEL",98.50746268656717
"LARA FLORES,MIGUEL","LARA FLORES,MIGUEL",100.0
"SERVIN GONZALEZ,LUIS","SERVIN GONZALEZ,LUIS",100.0
"JUNG COOK,HELGI HELENE","JUNG COOK,HELGI HELENE",100.0
HERNANDEZ FERNANDEZROBERTO JOSE RAFAEL,HERNANDEZ FERNANDEZROBERTO JOSE RAFAEL,100.0
"HUERTA VIERA,MIGUEL","HUERTA VIERA,MIGUEL",100.0
"HOLGUIN QUIÑONES,OSCAR EFRAIN","HOLGUIN QUIÑONES, OSCAR EFRAIN",98.30508474576271
"MERCADO SILVA,EDMUNDO MATEO","MERCADO SILVA,EDMUNDO MATEO",100.0
"SOLIS ROSALES,CORINA","SOLIS ROSALES,CORINA",100.0
"CORREA BELTRAN,MARIA DOLORES","CORREA BELTRAN,MARIA DOLORES",100.0
"BERRUECOS VILLALOBOS,JOSE MANUEL","BERRUECOS VILLALOBOS,JOSE MANUEL",100.0
"CARVAJAL MORENO,MAGDA","CARVAJAL MORENO,MAGDA",100.0
"CARDOSO MARTINEZ,JUDITH MARIA DE LOURDES","CARDOSO MARTINEZ,JUDITH MARIA DE LOURDES",100.0
"GONZALEZ AMARO,ROBERTO FIDENCIO","GONZALEZ AMARO,ROBERTO FIDENCIO",100.0
"ONGAY LARIOS,LAURA MARIA","ONGAY LARIOS,LAURA MARIA",100.0
"DEL ANGEL MONTES,GLORIA ALICIA","DEL ANGEL MONTES,GLORIA ALICIA",100.0
"BARBA BEHRENS,NORAH YOLANDA","BARBA BEHRENS,NORAH YOLANDA",100.0
"URIBE ESQUIVEL,MISAEL","URIBE ESQUIVEL,MISAEL",100.0
"MERINO IBARRA,MARTIN","MERINO IBARRA,MARTIN",100.0
"AKCELRAD LERNER DE SCHEINVAR,LEIA","AKCELRAD LERNER DE SCHEINVAR,LEIA",100.0
"MATA ESSAYAG,RACHEL","MATA ESSAYAG,RACHEL",100.0
"VILLEGAS MONTER,ANGEL","VILLEGAS MONTER,ANGEL",100.0
"SAUCEDO VELOZ,CRESCENCIANO","SAUCEDO VELOZ,CRESCENCIANO",100.0
"ZAVALA GARCIA,FRANCISCO","ZAVALA GARCIA,FRANCISCO",100.0
"GRACIA GASCA,ADOLFO","GRACIA GASCA,ADOLFO",100.0
"VIDAL MARTINEZ,VICTOR ANTONIO","VIDAL MARTINEZ,VICTOR ANTONIO",100.0
"CORREA GIRÓN,EDUARDO PABLO","CORREA GIRÓN,EDUARDO PABLO",100.0
"QUIROZ ALFARO,MARCO ANTONIO","QUIROZ ALFARO,MARCO ANTONIO",100.0
"VILLA Y TREVIÑO,SAUL","VILLA Y TREVIÑO, SAUL",97.5609756097561
"CERBON CERVANTES,MARCO ANTONIO","CERBON CERVANTES,MARCO ANTONIO",100.0
"CALVA MERCADO,JUAN JOSE","CALVA MERCADO,JUAN JOSE",100.0
"MUÑOZ MORENO,MARIA DE LOURDES","MUÑOZ MORENO, MARIA DE LOURDES",98.30508474576271
"ZAVALA HURTADO,JOSE ALEJANDRO","ZAVALA HURTADO,JOSE ALEJANDRO",100.0
"GALLINA TESSARO,SONIA ANTONIETA","GALLINA TESSARO,SONIA ANTONIETA",100.0
"GONZALEZ ROMERO,ALBERTO","GONZALEZ ROMERO,ALBERTO",100.0
"EZCURRA REAL DE AZUA,EXEQUIEL MARIA","EZCURRA REAL DE AZUA,EXEQUIEL MARIA",100.0
"BURGOS VARGAS,RUBEN","BURGOS VARGAS,RUBEN",100.0
"GARCIA ESTRADA,JOAQUIN","GARCIA ESTRADA,JOAQUIN",100.0
"RAMIREZ DUEÑAS,MARIA DE LOURDES","RAMIREZ DUEÑAS, MARIA DE LOURDES",98.41269841269842
"GRANADOS SANCHEZ,DIODORO","GRANADOS SANCHEZ,DIODORO",100.0
"SALAZAR VALLEJO,SERGIO IGNACIO","SALAZAR VALLEJO,SERGIO IGNACIO",100.0
"CASTELLANOS CERVANTES,THELMA ROSA","CASTELLANOS CERVANTES, THELMA ROSA",98.50746268656717
"GARZA OCAÑAS,LOURDES","GARZA OCAÑAS, LOURDES",97.5609756097561
"MEDELLIN RODRIGUEZ,FRANCISCO JAVIER","MEDELLIN RODRIGUEZ,FRANCISCO JAVIER",100.0
"SOTRES RAMOS,DAVID ANTONIO","SOTRES RAMOS,DAVID ANTONIO",100.0
"MELLINK BIJTEL,ERIC","MELLINK BIJTEL,ERIC",100.0
"RICO GRAY,VICTOR","RICO GRAY,VICTOR",100.0
"ALDANA ARANDA,LUZ MARIA DALILA","ALDANA ARANDA,LUZ MARIA DALILA",100.0
"HERNANDEZ DIAZ,JORGE","HERNANDEZ DIAZ,JORGE",100.0
"FALCON VEGA,ROMANA GLORIA","FALCON VEGA,ROMANA GLORIA",100.0
"ROMERO FRIZZI,MARIA DE LOS ANGELES","ROMERO FRIZZI,MARIA DE LOS ANGELES",100.0
"ACEVEDO Y VALDES,MARIA ESTHER","ACEVEDO Y VALDES,MARIA ESTHER",100.0
"GONZALEZ DE LA ROCHA,MARIA DE LAS MERCEDES","GONZALEZ DE LA ROCHA,MARIA DE LAS MERCEDES",100.0
"ESCOBAR LATAPI,AGUSTIN","ESCOBAR LATAPI,AGUSTIN",100.0
"WINTER,MARCUS COLE","WINTER , MARCUS COLE",94.73684210526316
"SANCHEZ QUINTANAR,SARA MARIA DE LA CONCEPCION","SANCHEZ QUINTANAR,SARA MARIA DE LA CONCEPCION",100.0
"PIMENTEL ALVAREZ,JULIO","PIMENTEL ALVAREZ,JULIO",100.0
"CORONA TREVIÑO,LEONEL","CORONA TREVIÑO, LEONEL",97.67441860465115
"PIÑERA RAMIREZ,DAVID","PIÑERA RAMIREZ, DAVID",97.5609756097561
"SUAREZ IÑIGUEZ,ENRIQUE","SUAREZ IÑIGUEZ, ENRIQUE",97.77777777777777
"BRADU CROMIER,FABIENNE SYLVIE","BRADU CROMIER,FABIENNE SYLVIE",100.0
"DUSSEL AMBROSINI,ENRIQUE DOMINGO","DUSSEL AMBROSINI,ENRIQUE DOMINGO",100.0
"OLVEDA LEGASPI,JAIME","OLVEDA LEGASPI,JAIME",100.0
"ROJAS RABIELA,MARIA TERESA","ROJAS RABIELA,MARIA TERESA",100.0
"ROJAS Y ALVAREZ GAYOU,MARIA DE LOURDES","ROJAS Y ALVAREZ GAYOU,MARIA DE LOURDES",100.0
"QUIÑONES MELGOZA,JOSE","QUIÑONES MELGOZA,JOSE",100.0
"MENENDEZ SPINA,EDUARDO LUIS","MENENDEZ SPINA,EDUARDO LUIS",100.0
"LOAEZA TOVAR,MARIA SOLEDAD","LOAEZA TOVAR,MARIA SOLEDAD",100.0
"HERRERA ZAPIEN,TARSICIO","HERRERA ZAPIEN,TARSICIO",100.0
"GARCIA FAJARDO,JOSEFINA","GARCIA FAJARDO,JOSEFINA",100.0
"SANCHEZ DIAZ,GERARDO","SANCHEZ DIAZ,GERARDO",100.0
URIBE SALASJOSE ALFREDO,URIBE SALASJOSE ALFREDO,100.0
"CORTES ZAVALA,MARIA TERESA","CORTES ZAVALA,MARIA TERESA",100.0
"DE ALBA GUERRA,ENRIQUE","DE ALBA GUERRA,ENRIQUE",100.0
"MORALES MORENO,ISIDRO","MORALES MORENO,ISIDRO",100.0
"PRADILLA COBOS,EMILIO","PRADILLA COBOS,EMILIO",100.0
"GUERRERO OROZCO,BENIGNO OMAR","GUERRERO OROZCO,BENIGNO OMAR",100.0
"HAM CHANDE,ROBERTO","HAM CHANDE,ROBERTO",100.0
"JACINTO ZAVALA,AGUSTIN","JACINTO ZAVALA,AGUSTIN",100.0
"MUNTZEL LUCY,MARTHA CLAIRE","MUNTZEL LUCY,MARTHA CLAIRE",100.0
"DURAND PONTE,VICTOR MANUEL","DURAND PONTE,VICTOR MANUEL",100.0
"KLIMOVSKY BARON,EDITH ALICIA","KLIMOVSKY BARON,EDITH ALICIA",100.0
"MARTINEZ SALDAÑA,TOMAS","MARTINEZ SALDAÑA, TOMAS",97.77777777777777
"SAENZ GONZALEZ,MARIA OLGA","SAENZ GONZALEZ,MARIA OLGA",100.0
"MARQUEZ MORFIN,ROSA MARIA DE LOURDES","MARQUEZ MORFIN,ROSA MARIA DE LOURDES",100.0
"VERDUZCO E IGARTUA,GUSTAVO MANUEL","VERDUZCO E IGARTUA,GUSTAVO MANUEL",100.0
"GUILLEN ROMO,JUAN ARTURO","GUILLEN ROMO,JUAN ARTURO",100.0
"LEÑERO OTERO,LUIS","LEÑERO OTERO, LUIS",97.14285714285714
"EDER ROZENCWAJG,RITA","EDER ROZENCWAJG,RITA",100.0
"TOMASINI BASSOLS,ALEJANDRO","TOMASINI BASSOLS,ALEJANDRO",100.0
"GARCIA MATA,ROBERTO","GARCIA MATA,ROBERTO",100.0
"SANTOYO VELASCO,CARLOS","SANTOYO VELASCO,CARLOS",100.0
"ARZAPALO MARIN,HEVER RAMON","ARZAPALO MARIN,HEVER RAMON",100.0
"LERNER Y SIGAL,SUSANA","LERNER Y SIGAL,SUSANA",100.0
"PEREZ RANSANZ,ANA ROSA","PEREZ RANSANZ,ANA ROSA",100.0
"RUIZ GUTIERREZ,ROSAURA","RUIZ GUTIERREZ,ROSAURA",100.0
"PEREIRA LLANOS,ARMANDO ANTONIO","PEREIRA LLANOS,ARMANDO ANTONIO",100.0
"GIL VILLEGAS MONTIEL,FRANCISCO BLAS","GIL VILLEGAS MONTIEL,FRANCISCO BLAS",100.0
"TARRES BARRAZA,MARIA LUISA","TARRES BARRAZA,MARIA LUISA",100.0
"LEVY BRZEZINSKA,PAULETTE","LEVY BRZEZINSKA,PAULETTE",100.0
"COMPANY COMPANY,CONCEPCION MARIA DEL PILAR","COMPANY COMPANY,CONCEPCION MARIA DEL PILAR",100.0
"SEARA VAZQUEZ,MODESTO","SEARA VAZQUEZ,MODESTO",100.0
"RUEDAS DE LA SERNA,JORGE ANTONIO","RUEDAS DE LA SERNA,JORGE ANTONIO",100.0
"DALLAL Y CASTILLO,SAUL ALBERTO","DALLAL Y CASTILLO,SAUL ALBERTO",100.0
"RUVALCABA MERCADO,JESUS","RUVALCABA MERCADO,JESUS",100.0
"PIMENTEL ANDUIZA,LUZ AURORA","PIMENTEL ANDUIZA,LUZ AURORA",100.0
"SUGIURA YAMAMOTO,YO","SUGIURA YAMAMOTO,YO",100.0
"VALDIVIA DOUNCE,MARIA DE LOURDES","VALDIVIA DOUNCE,MARIA DE LOURDES",100.0
"CORONADO LOPEZ,JUAN","CORONADO LOPEZ,JUAN",100.0
"BARRIGA VILLANUEVA,REBECA","BARRIGA VILLANUEVA,REBECA",100.0
"BEUCHOT PUENTE,MAURICIO HARDIE","BEUCHOT PUENTE,MAURICIO HARDIE",100.0
"PEREZ FERNANDEZ DEL CASTILLO,GERMAN","PEREZ FERNANDEZ DEL CASTILLO,GERMAN",100.0
"JUAREZ CARCAÑO,MARIA DEL ROSARIO DE FATIMA","JUAREZ CARCAÑO, MARIA DEL ROSARIO DE FATIMA",98.82352941176471
"ALBA HERNANDEZ,FRANCISCO","ALBA HERNANDEZ,FRANCISCO",100.0
"ASTORGA ALMANZA,LUIS ALEJANDRO","ASTORGA ALMANZA,LUIS ALEJANDRO",100.0
"POZAS HORCASITAS,RICARDO","POZAS HORCASITAS,RICARDO",100.0
"LUNA LEDESMA,MATILDE","LUNA LEDESMA,MATILDE",100.0
"CURIEL MENDEZ,GUSTAVO ANTONIO","CURIEL MENDEZ,GUSTAVO ANTONIO",100.0
"AVILA PALAFOX,RICARDO JACINTO","AVILA PALAFOX,RICARDO JACINTO",100.0
