NOMBRE DEL INVESTIGADOR MATCH
"DE LA CRUZ CORDERO,RICARDO ABRAHAM"
"DE LA ROSA SANTAMARIA,ROBERTO"
"DE LANGE,DIRK FREDERIK"
"DEL ANGEL VICENTE,PAZ"
"DELGADO COELLO,BLANCA ALICIA"
"DIAZ DE LA GARZA,ROCIO ISABEL"
"DIAZ DE LEON GOMEZ,RAMON ENRIQUE"
"DIAZ DE LEON HERNANDEZ,JORGE NOE"
"DIAZ FLEISCHER,FRANCISCO"
"DIAZ RUIZ,MARIA DE LOS ANGELES ARACELI"
"DOMINGUEZ AGUILAR,MARCO ANTONIO"
"DOMINGUEZ CHAVEZ,JORGE GUILLERMO"
"DOMINGUEZ ESQUIVEL,JOSE MANUEL"
"DOMINGUEZ MALDONADO,JORGE ARTURO"
"DOUDA,YOURI"
"DUARTE VAZQUEZ,MIGUEL ANGEL"
"DURAN VALENCIA,CECILIA DE LOS ANGELES"
"ELIZALDE GONZALEZ,MARIA DE LA PAZ"
"ELIZALDE SILLER,HUGO RAMON"
"ELIZONDO RIOJAS,GUILLERMO"
"ENRIQUEZ CARREJO,JOSE LUIS"
"ESCOBAR AGUILAR,JOSE"
"ESCOBAR BARRIOS,VLADIMIR ALONSO"
"ESCOBAR HERNANDEZ,DANIEL"
"ESCOBAR VALDERRAMA,GERARDO"
"ESCUDERO URIBE,APOLO ZEUS"
"ESPINO SOLIS,GERARDO PAVEL"
"ESPINOSA ANDREWS,HUGO"
"ESPINOZA GONZALEZ,CARLOS JOSE"
"ESTRADA GUEL,IVANOVICH"
"ESTRADA VARGAS,ANA PAULA"
"FARIAS MANCILLA,JOSE RURIK"
"FEMAT FLORES,ALEJANDRO RICARDO"
"FEREGRINO URIBE,CLAUDIA"
"FERNANDEZ FUENTES,ANTONIO"
"FERNANDEZ TAVIZON,SALVADOR"
"FERRAT TORRES,GERARDO"
"FERREIRA BATISTA,CESAR VICENTE"
"FERRO FLORES,GUILLERMINA"
"FIGUEROA YANEZ,LUIS JOEL"
"FLORES FLORES,RODOLFO"
"FLORES GALLARDO,SERGIO GABRIEL"
"FLORES OROPEZA,EUGENIO ALEJANDRO"
"FLORES RAMOS,MIGUEL ANGEL"
"FLORES SANCHEZ,PATRICIA"
"FLORES SANDOVAL,CESAR ANDRES"
"FLORES SANTOS,LETICIA"
"FLORES VALDEZ,MARIO ALBERTO"
"FLOTA BANUELOS,MANUEL ISRAEL"
"FRAGOSO GONZALEZ,GLADIS DEL CARMEN"
"FUENTES AGUILAR,RITA QUETZIQUEL"
"GALINDO ESQUIVEL,IGNACIO RENE"
"GALINDO SEVILLA,NORMA DEL CARMEN"
"GARCIA CANTU,RIGOBERTO"
"GARCIA CASILLAS,PERLA ELVIA"
"GARCIA CERDA,LUIS ALFONSO"
"GARCIA CRUZ,ISIDORO"
"GARCIA DE LEON,ROBERTO"
"GARCIA FLORES,BLANCA ESTELA"
"GARCIA GARCIA,GUILLERMO"
"GARCIA GONZALEZ,ALEJANDRO"
"GARCIA GONZALEZ,VICTOR GUADALUPE"
"GARCIA LUNA,ARMANDO"
"GARCIA MARQUEZ,ERISTEO"
"GARCIA MARTINEZ,MOISES"
"GARIBAY FEBLES,VICENTE"
"GARNICA GARZA,HECTOR MAURICIO"
"GARZON TIZNADO,JOSE ANTONIO"
"GEVORGYAN,GOHAR"
"GOJON ZORRILLA,GABRIEL"
"GOMEZ ALDAPA,CARLOS ALBERTO"
"GOMEZ GOMEZ,ISABEL"
"GOMEZ GUTIERREZ,DAVID"
"GOMEZ RAMIREZ,MARLENNE"
"GONGORA CASTILLO,ELSA BEATRIZ"
"GONZALEZ CORDOVA,AARON FERNANDO"
"GONZALEZ HERNANDEZ,CARLOS"
"GONZALEZ HERNANDEZ,GLORIA ANGELICA"
"GONZALEZ HERNANDEZ,JESUS"
"GONZALEZ HERRERA,IRMA GABRIELA"
"GONZALEZ JIMENEZ,LUIS ENRIQUE"
"GONZALEZ MONTIEL,ALFONSO"
"GONZALEZ RIOS,HUMBERTO"
"GONZALEZ VILLARREAL,JOSE ALEJANDRO"
"GORDILLO MOSCOSO,JOSE LUIS"
"GOSSET LAGARDA,GUILLERMO"
"GRANADOS COVARRUBIAS,EVIN HAZAEL"
"GUERRA ZUBIAGA,DAVID APOLINAR"
"GUERRERO SANCHEZ,WUIYEVALDO FERMIN"
"GUERRERO SANTOS,RAMIRO"
"GURROLA BRIONES,GEORGINA"
"GUTIERREZ ALEJANDRE,AIDA"
"GUTIERREZ ARZALUZ,MIRELLA"
"GUTIERREZ MEDINA,BRAULIO"
"GUTIERREZ URIBE,JANET ALEJANDRA"
"GUTIERREZ,LUIS"
"GUZMAN CASTILLO,MARIA DE LOURDES ALEJANDRA"
"GUZMAN LUCERO,DIEGO JAVIER"
"GUZMAN PANTOJA,JAVIER"
"HERNANDEZ ALTAMIRANO,RAUL"
"HERNANDEZ AVALOS,PEDRO AARON"
"HERNANDEZ BELLO,ROMEL"
"HERNANDEZ BELTRAN,FRANCISCO JAVIER"
"HERNANDEZ BELTRAN,NORMA ALICIA"
"HERNANDEZ BRENES,CARMEN"
"HERNANDEZ CAMPOS,MARIA ALICIA"
"HERNANDEZ CARBAJAL,EDGAR IVAN"
"HERNANDEZ CORTEZ,JOSE GONZALO"
"HERNANDEZ GAMA,REGINA"
"HERNANDEZ GONZALEZ,GUILLERMO"
"HERNANDEZ LUIS,FRANCISCO"
"HERNANDEZ MAYA,ROBERTO CARLOS"
"HERNANDEZ MUNOZ,ROLANDO EFRAIN"
"HERNANDEZ ROJO,MARCO ANTONIO"
"HERNANDEZ ROMERO,YANET MICAHELA"
"HERNANDEZ SUAREZ,ROGELIO"
"HERNANDEZ,DANIEL"
"HERRERA ESTRELLA,ALFREDO HERIBERTO"
"HERRERA ESTRELLA,LUIS RAFAEL"
"HERRERA GOMEZ,ALBERTO"
"HERRERA RUIZ,DEA"
"HODGKINS,ROBERT PETER"
"HUERTA BERISTAIN,GERARDO"
"IBARRA GAYTAN,PABLO JESUS"
"IBARRA LACLETTE,ENRIQUE"
"IBARRA VELARDE,OSVALDO FROYLAN"
"INFANTE MARTINEZ,JOSE RAMIRO"
"ISLAS ANDRADE,SERGIO AGUSTIN"
"ITURRIAGA DE LA FUENTE,GABRIEL"
"JIMENEZ CISNEROS,BLANCA ELENA"
"JIMENEZ CRUZ,FEDERICO JESUS"
"JIMENEZ GARCIA,LUIS FELIPE"
"JIMENEZ MANCILLA,NALLELY PATRICIA"
"JUAREZ RUIZ,JUAN MANUEL"
"KEER RENDON,ARTURO"
"KONTOROVICH MAZOVER,VALERI"
"KURI HARCUCH,WALID"
"KUSSUL,ERNST"
"LARA MARTINEZ,REYNA"
"LARA OCHOA,JOSE MANUEL FRANCISCO"
"LARA ROSANO,FELIPE DE JESUS"
"LAREDO SANCHEZ,GEORGINA CECILIA"
"LEAL CHAVEZ,DANIEL ARTURO"
"LEDESMA OROZCO,ELIAS RIGOBERTO"
"LEON ROVIRA,NOEL"
"LEYVA INZUNZA,ZENAIDA CAROLINA"
"LICEA NAVARRO,ALEXEI FEDOROVISH"
"LIKHANOVA,NATALYA VICTOROVNA"
"LOPEZ BUCIO,JOSE"
"LOPEZ CANOVAS,LILIA"
"LOPEZ CERVANTES,JAIME"
"LOPEZ CUEVAS,JORGE"
"LOPEZ DE HARO,MARIANO"
"LOPEZ GOERNE,TESSY MARIA"
"LOPEZ GOMEZ,RONALD VICTOR MANUEL"
"LOPEZ LAGUNAS,ABELARDO"
"LOPEZ LIMA,JOSE DANIEL"
"LOPEZ MACIAS,CONSTANTINO III ROBERTO"
"LOPEZ MEYER,PAULO"
"LOPEZ ORTIZ,ALEJANDRO"
"LOPEZ RAMIREZ,SIMON"
"LOPEZ SALINAS,ESTEBAN"
"LOPEZ SERRANO RAMOS,FRANCISCO"
"LOPEZ VIDAL,YOLANDA"
"LOPEZ ZAVALA,MIGUEL ANGEL"
"LOPEZ,JUAN"
"LORIA BASTARRACHEA,MARIA ISABEL DE LOS DOLORES"
"LOZADA Y CASSOU,MARCELO"
"LUJAN MONTELONGO,JESUS ARMANDO"
"LUNA AGUILAR,ESTEBAN ANTOLIN"
"LUNA GARCIA,JESUS"
"LUNA GUTIERREZ,MYRNA ALEJANDRA"
"LUNA PINEDA,VICTOR MANUEL"
"LUNA PIZARRO,DANIEL"
"LUNA ROJERO,ERICK EMANUEL"
"MALDONADO CORTES,DEMOFILO"
"MALDONADO RODRIGUEZ,ROGELIO"
"MANUCHARYAN,KAREN"
"MAR JUAREZ,ELIZABETH"
"MARIN CRUZ,JESUS"
"MARIN ROSAS,CELIA"
"MARINO MARMOLEJO,ERIKA NAHOMY"
"MARQUEZ LUCERO,ALFREDO"
"MARROQUIN SANCHEZ,GUSTAVO JESUS"
"MARTIN DEL CAMPO LOPEZ,FABIOLA"
"MARTINEZ ALANIS,MAURICIO"
"MARTINEZ BUSTOS,FERNANDO"
"MARTINEZ CASTANON,GABRIEL ALEJANDRO"
"MARTINEZ CHAPA,SERGIO OMAR"
"MARTINEZ GOMEZ,ALVARO DE JESUS"
"MARTINEZ GOMEZ,LORENZO"
"MARTINEZ JARQUIN,SANDRA"
"MARTINEZ JIMENEZ,ALFREDO"
"MARTINEZ MAGADAN,JOSE MANUEL"
"MARTINEZ PALOU,RAFAEL"
"MARTINEZ ROMERO,OSCAR"
"MARTINEZ TELLEZ,MIGUEL ANGEL"
"MAS OLIVA,JAIME"
"MASCORRO GALLARDO,JOSE OSCAR"
"MAYA FLORES,ETEL"
"MEAS VONG,YUNNY"
"MEDINA MENDOZA,ANA KARINA"
"MEJIA CENTENO,ISIDRO"
"MEJIA PEREZ,GUSTAVO"
"MELGAR FERNANDEZ,ROBERTO CARLOS"
"MENA CERVANTES,VIOLETA YASMIN"
"MENDEZ TENORIO,ALFONSO"
"MENDOZA DE LA CRUZ,JOSE LUIS"
"MENDOZA DUARTE,MONICA ELVIRA"
"MENDOZA,CARLOS"
"MENESES RUIZ,EDITH"
"MIJAREZ CASTRO,RITO"
"MIKI YOSHIDA,MARIO"
"MIRANDA GUERRERO,ROBERTO"
"MIRANDA OLVERA,ALMA DELIA"
"MIRIDONOV,SERGUEI"
"MOCTEZUMA BERTHIER,ANDRES EDUARDO"
"MOLINA TORRES,JORGE"
"MONDRAGON GONZALEZ,RICARDO"
"MONDRAGON VASQUEZ,KARINA"
"MONTESINOS GOMEZ,ROSA DEL CARMEN"
"MONTIEL SANCHEZ,LUISA ELENA"
"MORA VALLEJO,RODOLFO JUVENTINO"
"MORALES CORONA,JUAN"
"MORALES GUADARRAMA,JUAN CARLOS AXAYACATL"
"MORALES REYES,ALICIA"
"MORALES ROJAS,HUGO"
"MORALES VILLAGRAN,ALBERTO"
"MORAN PINEDA,FLORENCIA MARINA"
"MOUSATOV,ALEKSANDR"
"MUNOZ ARROYO,JOSE ANTONIO"
"MURRIETA GUEVARA,FLORENTINO RAFAEL"
"NAGAMEDIANOVA,ZOULFIA"
"NAKAMURA LABASTIDA,EDGAR KIYOSHI"
"NAVA DOMINGUEZ,PORFIRIO"
"NAVA LARA,MARIA DEL ROCIO"
"NAVARRETE BOLANOS,JUAN"
"NEIRA VELAZQUEZ,MARIA GUADALUPE"
"OCAMPO GARCIA,BLANCA ELI"
"OGURA,TETSUYA"
"OJEDA CASTANEDA,JORGE"
"OLAYO GONZALEZ,MARIA GUADALUPE"
"OLAYO GONZALEZ,ROBERTO"
"OLGUIN LORA,PATRICIA"
"OLIVARES LECONA,JOSE ALBERTO"
"OLIVARES XOMETL,CRESCENCIO OCTAVIO"
"OLVERA RODRIGUEZ,ALEJANDRO"
"ORDONEZ PALACIOS,JOSE MARIO"
"ORDUNA REYES,ERNESTO"
"ORNELAS DAVILA,OMAR"
"ORNELAS GUTIERREZ,CARLOS ELIAS"
"ORRANTIA BORUNDA,ERASMO"
"ORTEGA BORGES,RAUL MARTIN"
"ORTEGA GARCIA,BEATRIZ"
"ORTEGA GARCIA,FELIPE DE JESUS"
"ORTEGA RODRIGUEZ,ALEJANDRO"
"OVIEDO ROA,RAUL"
"PACHECO PACHECO,MARQUIDIA JOSSELINE"
"PACHECO Y ALCALA,UBALDO SADOTT"
"PALACIOS GONZALEZ,EDUARDO"
"PALAFOX RAMOS,JORGE"
"PALOMEQUE SANTIAGO,JORGE FROYLAN"
"PANIAGUA CHAVEZ,CARMEN GUADALUPE"
"PANIAGUA SOLIS,JORGE FERNANDO"
"PARDO LOPEZ,LILIANA"
"PARIONA MENDOZA,NICOLAZA"
"PARRA SALDIVAR,ROBERTO"
"PAZ MICHEL,BRENDA ASTRID"
"PEDRAZA ESCALONA,MARIA MARTHA"
"PEDROZA ISLAS,RUTH"
"PENA CABRERA,EDUARDO"
"PENA CAMPOS,FERNANDO"
"PENA DUQUE,MARCO ANTONIO"
"PENA PARAS,LAURA"
"PERAZA ECHEVERRIA,SANTY"
"PERCINO ZACARIAS,MARIA JUDITH"
"PEREIRA SANTANA,ALEJANDRO"
"PERERA MERCADO,YIBRAN ARGENIS"
"PEREZ GALLARDO,ALFONSO"
"PEREZ GONZALEZ,RAUL"
"PEREZ LUNA,MIGUEL"
"PEREZ MORENO,VICTOR"
"PEREZ PEREZ,GABRIEL"
"PEREZ ROBLES,JUAN FRANCISCO"
"PEREZ ROMO,PATRICIA"
"PEREZ SANCHEZ,ALFONSO"
"PEREZ TAPIA,SONIA MAYRA"
"PEREZ TORRES,ARMANDO"
"PEREZ TORRES,CLAUDIA ANAHI"
"PEZZOTTI ROBLETO,FABIO"
"PINEDA HERRERA,MARIBEL"
"PIZA RUIZ,PEDRO"
"PLASCENCIA MORA,HECTOR"
"PLIEGO CARRILLO,ADRIANA CRISTINA"
"PONCE PEDRAZA,ARTURO"
"PONS JIMENEZ,MIRNA"
"PORTALES MARTINEZ,BENJAMIN"
"POSSANI POSTAY,LOURIVAL DOMINGOS"
"QUEJ AKE,LUIS MANUEL"
"QUEZADA RIVERA,JESUS JOSAFATH"
"QUINTANA SOLORZANO,ROBERTO"
"QUIROZ MERCADO,HUGO"
"RAMIREZ AMADOR,SERGIO"
"RAMIREZ DE SANTIAGO,MARIO"
"RAMIREZ GARNICA,MARCO ANTONIO"
"RAMIREZ PEREZ,JORGE FRANCISCO"
"RAMIREZ SABAG,JETZABETH"
"RAMIREZ SALGADO,JOEL"
"RAMIREZ SOLIS,JORGE FERNANDO"
"RAMIREZ VERDUZCO,LUIS FELIPE"
"RAMOS MURILLO,MANUEL ANTONIO"
"RAMOS ORTIZ,GABRIEL"
"RANA,MOHAN SINGH"
"RANGEL MENDEZ,JOSE RENE"
"RAYO MAYORAL,PATRICIA"
"RAZO FLORES,ELIAS"
"REYES ESPARZA,JORGE ALBERTO"
"REYES MARTINEZ,REYNA"
"REYES VIDAL,MARIA YOLANDA"
"RIANO UMBARILA,LIDIA"
"RIOS CASTANEDA,LUIS CAMILO"
"RIOS JARA,DAVID"
"RITO PALOMARES,MARCO ANTONIO"
"RIVAS CACERES,RAYMUNDO RENE"
"RIVERA SOLORIO,CARLOS IVAN"
"RIVERON ROJAS,ANA MARIA"
"RIVILLAS ACEVEDO,LINA ANDREA"
"RODRIGUEZ ALCAZAR,JORGE"
"RODRIGUEZ DE ANDA,EDUARDO"
"RODRIGUEZ DOMINGUEZ,JOSE MANUEL"
"RODRIGUEZ FERNANDEZ,OLIVERIO SANTIAGO"
"RODRIGUEZ FIGUEROA,JOSE CARLOS"
"RODRIGUEZ GONZALEZ,CLAUDIA ALEJANDRA"
"RODRIGUEZ GUADARRAMA,LUIS ANTONIO"
"RODRIGUEZ LEAL,ERNESTO"
"RODRIGUEZ LELIS,JOSE MARIA"
"RODRIGUEZ LOPEZ,CARLOS EDUARDO"
"RODRIGUEZ RODRIGUEZ,JOAQUIN HECTOR"
"RODRIGUEZ SALINAS,JUAN JOSE"
"RODRIGUEZ SANCHEZ,DARIANA GRACIELA"
"RODRIGUEZ ZAPATA,LUIS CARLOS"
"ROJAS AVELIZAPA,NORMA GABRIELA"
"ROJAS GARCIA,JOSE MANUEL"
"ROJAS GEORGE,GABRIEL"
"ROLDAN CARRILLO,TERESA GUADALUPE"
"ROMAN AGUIRRE,MANUEL"
"ROMERO GARCIA,JORGE"
"RONICKE,STEPHAN"
"ROSADO LORIA,JORGE LUIS"
"RUELAS LEPE,RUBEN"
"RUIZ CRUZ,RIEMANN"
"RUIZ MORALES,YOSADARA"
"RUIZ RUIZ,FEDERICO AUGUSTO"
"RUIZ SCHNEIDER,ELFEGO GUILLERMO"
"SALAS CASALES,LUIS"
"SALDIVAR GUERRA,ENRIQUE"
"SALGADO CEBALLOS,HERMELINDA"
"SALMON SALAZAR,MANUEL DE JESUS"
"SANCHEZ CAMPOS,LILIANA NOEMI"
"SANCHEZ CANTU,MANUEL"
"SANCHEZ CASTREJON,EDNA"
"SANCHEZ GARCIA,SERGIO"
"SANCHEZ GARCIA,VERONICA"
"SANCHEZ LLAMAZARES,JOSE LUIS"
"SANCHEZ LOPEZ,ROSANA"
"SANCHEZ MACHADO,DALIA ISABEL"
"SANCHEZ MIRANDA,MANUEL DE JESUS"
"SANCHEZ PARDO,MARIA ELENA"
"SANCHEZ SCHMITZ,GUZMAN GERARDO ALFONSO"
"SANCHEZ SINENCIO,FELICIANO"
"SANCHEZ VALDES,CESAR FIDEL"
"SANCHEZ VALENTE,JAIME"
"SANCHEZ,JOHN EDER"
"SANIGER BLESA,JOSE MANUEL"
"SANTIAGO GARCIA,JOSE LUIS"
"SANTILLAN GODINEZ,ORLANDO"
"SANTOS CUEVAS,CLARA LETICIA"
"SANTOS ZEA,LILIANA"
"SAUCEDO FLORES,EMMANUEL"
"SCHACHT HERNANDEZ,PERSI"
"SCIUTTO CONDE,EDDA LYDIA"
"SEGOVIA QUINTERO,MANUEL ALBERTO"
"SEGURA PACHECO,BLANCA ANGELICA"
"SEGURA VELAZQUEZ,RENE ALVARO"
"SERNA SALDIVAR,SERGIO ROMAN OTHON"
"SMOLENTSEVA,ELENA"
"SOBERON CHAVEZ,MARIO"
"SOSA BLANCO,CESAR ALBERTO"
"SOTELO LERMA,MERIDA"
"SOTO EGUIBAR,ENRIQUE"
"SOTO PEREDO,CLAUDIA ANGELICA"
"SUAREZ DOMINGUEZ,EDGARDO JONATHAN"
"TALAMANTES SILVA,JOSE"
"TERRES ROJAS,EDUARDO"
"TERRONES MALDONADO,HUMBERTO"
"TERRONES MALDONADO,MAURICIO"
"TERVEN SALINAS,JUAN RAMON"
"TOLEDO ANTONIO,JOSE ANTONIO"
"TORRES CISNEROS,MIGUEL"
"TORRES GARCIA,ENELIO"
"TORRES MANCERA,LEON PABLO"
"TORRES MARAVILLA,EDGAR"
"TORRES OLGUIN,RAYMUNDO ENRIQUE"
"TOVAR LOPEZ,FRANCISCO JAVIER"
"TREJO CORDOVA,GABRIEL"
"TREJO RODRIGUEZ,ARTURO"
"URIBE SALAS,ALEJANDRO"
"UTRILLA CARRERI,JOSE"
"VACAS JACQUES,PAULINO"
"VALDEZ CRUZ,NORMA ADRIANA"
"VALDEZ FERNANDEZ,ANDRES ALEJANDRO"
"VALDIVIA BARRIENTOS,RICARDO"
"VALDIVIEZO MIJANGOS,OSCAR CERAPIO"
"VALENCIA GALLEGOS,JESUS ANGEL"
"VALLEJO CARDONA,ALBA ADRIANA"
"VALLEJO GALLAND,BELINDA"
"VALTIERRA GALLARDO,SALVADOR"
"VARGAS ARISPURO,IRASEMA DEL CARMEN"
"VARGAS ESCUDERO,ALFREDO"
"VARGAS GUTIERREZ,GREGORIO"
"VARGAS MAGANA,MARCOS CESAR"
"VASILIEVNA KHARISSOVA,OXANA"
"VAZQUEZ CASTILLO,JAVIER"
"VAZQUEZ DUHALT,RAFAEL"
"VAZQUEZ DURAN,ALMA GUADALUPE"
"VAZQUEZ GUEVARA,MIGUEL ANGEL"
"VAZQUEZ MORENO,FLAVIO SALVADOR"
"VAZQUEZ NAVA,NIMROD"
"VAZQUEZ OVIEDO,ERICK ISRAEL"
"VAZQUEZ VILLEGAS,OLGA PATRICIA"
"VEGA MERINO,PEDRO MARTIN"
"VEGA PAZ,ARACELI"
"VEGA Y SAENZ DE MIERA,MARIA DEL ROSARIO GUADALUPE"
"VELA GARCIA,LUIS RENE"
"VELASCO TELLEZ,ABRAHAM"
"VELEZ ARGUMEDO,CATALINA MARIA"
"VERA MONTENEGRO,REMEDIOS YOLANDA"
"VILCHIS GONZALEZ,ADRIANA HERLINDA"
"VILLAGOMEZ IBARRA,JOSE ROBERTO"
"VILLANUEVA PONCE,RODRIGO"
"VILLARREAL GUERRA,BLANCA LORENA"
"VIRAMONTES BROWN,RICARDO"
"VITE VALLEJO,ODON"
"WINKLER,ROBERT"
"WONG RAMIREZ,CARLOS"
"XICOHTENCATL CORTES,JUAN"
"YANEZ LIMON,JOSE MARTIN"
"YANEZ SOTO,BERNARDO"
"ZAMUDIO RIVERA,LUIS SILVESTRE"
"ZAMUDIO ZUNIGA,FERNANDO"
"ZAPATA PENASCO,NORMA ICOQUIH"
"ZAPATA RENDON,BEATRIZ"
"ZARAGOZA CONTRERAS,ERASTO ARMANDO"
"ZAVALA OLIVARES,GERARDO"
"ZENTENO RAMIREZ,ANTONIO"
"ZEPEDA PARTIDA,TRINO ARMANDO"
"ZOLOTUKHIN,MIKHAIL"
