NOMBRE_INVENTOR,NOMBRE DEL INVESTIGADOR,Ratio,inventor_id,CVU
"FLORES,JOSE MANUEL","FLORES LOPEZ,JOSE MANUEL",83.0,,174386.0
"FLORES,RAUL","FLORES MEJIA,RAUL",83.0,,217715.0
"FUENTES,SERGIO","FUENTES MOYADO,SERGIO",83.0,,370.0
"GARCIA,ARTURO","GARCIA GOMEZ,ARTURO",83.0,fl:ar_ln:garcia-6,261385.0
"GARCIA,GUADALUPE","GARCIA LOPEZ,GUADALUPE",83.0,fl:gu_ln:garcia-19,215316.0
"GARCIA,GUSTAVO","GARCIA CONDE,GUSTAVO",83.0,fl:gu_ln:garcia-6,334990.0
"GARCIA,JOSE","GARCIA GOMEZ,JOSE",83.0,,82941.0
"GARCIA,LUIS MANUEL","GARCIA FERIA,LUIS MANUEL",83.0,fl:lu_ln:garcia-5,98872.0
"GARCIA,MIGUEL","GARCIA ROCHA,MIGUEL",83.0,,10777.0
"GARCIA,RUBEN","GARCIA GARZA,RUBEN",83.0,,332805.0
"GARCIA,SERGIO","GARCIA AVILA,SERGIO",83.0,fl:se_ln:dealbagarcin-1,122596.0
"GOMEZ,JAIME","GOMEZ RUIZ,JAIME",83.0,,202797.0
"GOMEZ,JAVIER","GOMEZ DIAZ,JAVIER",83.0,fl:ja_ln:gomez-7,263819.0
"GOMORA,ARTURO","GOMEZ ORTEGA,ARTURO",83.0,,30095.0
"GUTIERREZ,LUIS FERNANDO","GUTIERREZ PRECIADO,LUIS FERNANDO",83.0,,227524.0
"HERNANDEZ,MARCELINO","HERNANDEZ VALENCIA,MARCELINO",83.0,fl:ma_ln:hernandez-48,19257.0
"JARAMILLO,DAVID","JARAMILLO VIGUERAS,DAVID",83.0,,6235.0
"JIMENEZ,RICARDO","JIMENEZ MENDEZ,RICARDO",83.0,fl:ri_ln:jimenez-1,87455.0
"LOPEZ,LUIS","LOPEZ SOSA,LUIS",83.0,fl:lu_ln:lopezmoreno-1,436110.0
