NOMBRE_INVENTOR,NOMBRE DEL INVESTIGADOR,Ratio,inventor_id,CVU
"COLLINS MARTINEZ,VIRGINIA HIDOLINA","COLLINS MARTINEZ,VIRGINIA HIDALINA",97.05882353,,31298.0
"HERNANDEZ GONZALES,RUTILIA MARISELA","HERNANDEZ GONZALEZ,RUTILIA MARISELA",97.14285714,,19850.0
"LOPEZ CANOVA,LILIA","LOPEZ CANOVAS,LILIA",97.2972973,,306084.0
"FUENTES MOYADOS,SERGIO","FUENTES MOYADO,SERGIO",97.6744186,,370.0
"MIRELES JR GARCIA,JOSE","MIRELES JR. GARCIA,JOSE",97.77777778,,121491.0
"ALTAMIRANO BUSTAMANTE,MYRIAM MARLENE","ALTAMIRANO BUSTAMANTE,MYRIAM MARLENNE",98.63013699,,11335.0
"VAZQUEZ GUEVARA,MIGUEL ANGEL","VAZQUEZ GUEVARA,MIGUEL ANGEL",100.0,,36519.0
"DOMINGUEZ ESQUIVEL,JOSE MANUEL","DOMINGUEZ ESQUIVEL,JOSE MANUEL",100.0,fl:jo_ln:dominguezesquivel-1,472.0
"MIRANDA OLVERA,ALMA DELIA","MIRANDA OLVERA,ALMA DELIA",100.0,,42976.0
"FLORES SANCHEZ,PATRICIA","FLORES SANCHEZ,PATRICIA",100.0,,6909.0
"ABURTO ANELL,JORGE ARTURO","ABURTO ANELL,JORGE ARTURO",100.0,fl:jo_ln:aburtoanell-1,21717.0
"REYES VIDAL,MARIA YOLANDA","REYES VIDAL,MARIA YOLANDA",100.0,,98389.0
"ASAFF TORRES,ALI","ASAFF TORRES,ALI JESUS",100.0,,122558.0
"MARIN CRUZ,JESUS","MARIN CRUZ,JESUS",100.0,fl:je_ln:marincruz-1,37228.0
"VEGA PAZ,ARACELI","VEGA PAZ,ARACELI",100.0,,92144.0
"MONTIEL SANCHEZ,LUISA ELENA","MONTIEL SANCHEZ,LUISA ELENA",100.0,,205149.0
"MARTINEZ PALOU,RAFAEL","MARTINEZ PALOU,RAFAEL",100.0,fl:ra_ln:martinezpalou-1,26346.0
"QUEJ AKE,LUIS MANUEL","QUEJ AKE,LUIS MANUEL",100.0,fl:lu_ln:quejake-1,100796.0
"SANCHEZ GARCIA,VERONICA","SANCHEZ GARCIA,VERONICA",100.0,,275185.0
"BENITEZ AGUILAR,JOSE LUIS RODOLFO","BENITEZ AGUILAR,JOSE LUIS RODOLFO",100.0,fl:jo_ln:benitezaguilar-1,15505.0
"CASTILLO CERVANTES,SALVADOR","CASTILLO CERVANTES,SALVADOR",100.0,fl:sa_ln:castillocervantes-1,10589.0
"HERNANDEZ GONZALEZ,GUILLERMO","HERNANDEZ GONZALEZ,GUILLERMO",100.0,,1098457.0
"MEJIA CENTENO,ISIDRO","MEJIA CENTENO,ISIDRO",100.0,fl:is_ln:mejiacenteno-1,130241.0
"VARGAS ESCUDERO,ALFREDO","VARGAS ESCUDERO,ALFREDO",100.0,,200962.0
"MORAN PINEDA,FLORENCIA MARINA","MORAN PINEDA,FLORENCIA MARINA",100.0,fl:fl_ln:moranpineda-1,10591.0
"CAMPOSECO SOLIS,ROBERTO","CAMPOSECO SOLIS,ROBERTO",100.0,fl:ro_ln:camposecosolis-1,336258.0
"NAVARRETE BOLANOS,JUAN","NAVARRETE BOLANOS,JUAN",100.0,fl:ju_ln:navarretebolanos-1,8000.0
"GOMEZ RAMIREZ,MARLENNE","GOMEZ RAMIREZ,MARLENNE",100.0,,216884.0
"GARCIA DE LEON,ROBERTO","GARCIA DE LEON,ROBERTO",100.0,,30555.0
"ROJAS AVELIZAPA,NORMA GABRIELA","ROJAS AVELIZAPA,NORMA GABRIELA",100.0,,19524.0
"HERNANDEZ GAMA,REGINA","HERNANDEZ GAMA,REGINA",100.0,,174732.0
"SANCHEZ GARCIA,SERGIO","SANCHEZ GARCIA,SERGIO",100.0,fl:se_ln:sanchezgarcia-1,42971.0
"VILLANUEVA PONCE,RODRIGO","VILLANUEVA PONCE,RODRIGO",100.0,,322167.0
"MEJIA PEREZ,GUSTAVO","MEJIA PEREZ,GUSTAVO",100.0,,332480.0
"ANCHEYTA JUAREZ,JORGE","ANCHEYTA JUAREZ,JORGE",100.0,fl:jo_ln:ancheytajuarez-1,12077.0
"RAMIREZ SOLIS,JORGE FERNANDO","RAMIREZ SOLIS,JORGE FERNANDO",100.0,fl:jo_ln:ramirezsolis-1,1651.0
"RAYO MAYORAL,PATRICIA","RAYO MAYORAL,PATRICIA",100.0,fl:pa_ln:rayomayoral-1,80479.0
"CENTENO NOLASCO,GUILLERMO","CENTENO NOLASCO,GUILLERMO",100.0,fl:gu_ln:centenonolasco-1,253434.0
"MARROQUIN SANCHEZ,GUSTAVO JESUS","MARROQUIN SANCHEZ,GUSTAVO JESUS",100.0,fl:gu_ln:marroquinsanchez-1,202165.0
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISAAC",100.0,fl:hi_ln:beltranconde-2,30127.0
"ZAMUDIO RIVERA,LUIS SILVESTRE","ZAMUDIO RIVERA,LUIS SILVESTRE",100.0,fl:lu_ln:zamudiorivera-1,26241.0
"DOMINGUEZ AGUILAR,MARCO ANTONIO","DOMINGUEZ AGUILAR,MARCO ANTONIO",100.0,fl:ma_ln:dominguezaguilar-1,122986.0
"MENA CERVANTES,VIOLETA YASMIN","MENA CERVANTES,VIOLETA YASMIN",100.0,fl:vi_ln:menacervantes-2,170728.0
"HERNANDEZ ALTAMIRANO,RAUL","HERNANDEZ ALTAMIRANO,RAUL",100.0,fl:ra_ln:hernandezaltamirano-1,131289.0
"VAZQUEZ MORENO,FLAVIO SALVADOR","VAZQUEZ MORENO,FLAVIO SALVADOR",100.0,fl:fl_ln:vazquezmoreno-1,16165.0
"ALVAREZ RAMIREZ,FERNANDO","ALVAREZ RAMIREZ,FERNANDO",100.0,fl:fe_ln:alvarezramirez-1,26371.0
"HERNANDEZ CORTEZ,JOSE GONZALO","HERNANDEZ CORTEZ,JOSE GONZALO",100.0,fl:jo_ln:hernandezcortez-1,30357.0
"CASTRO SOTELO,LAURA VERONICA","CASTRO SOTELO,LAURA VERONICA",100.0,fl:la_ln:castrosotelo-1,90812.0
"FLORES SANDOVAL,CESAR ANDRES","FLORES SANDOVAL,CESAR ANDRES",100.0,,25427.0
"FLORES OROPEZA,EUGENIO ALEJANDRO","FLORES OROPEZA,EUGENIO ALEJANDRO",100.0,fl:eu_ln:floresoropeza-1,19448.0
"REYES MARTINEZ,REYNA","REYES MARTINEZ,REYNA",100.0,fl:re_ln:reyesmartinez-2,163265.0
"HERNANDEZ HERNANDEZ,HECTOR","HERNANDEZ HERNANDEZ,HECTOR ALFREDO",100.0,fl:he_ln:hernandezhernandez-1,270766.0
"MAYA FLORES,ETEL","MAYA FLORES,ETEL",100.0,fl:et_ln:mayaflores-1,373228.0
"SANCHEZ VALENTE,JAIME","SANCHEZ VALENTE,JAIME",100.0,fl:ja_ln:sanchezvalente-2,21916.0
"QUINTANA SOLORZANO,ROBERTO","QUINTANA SOLORZANO,ROBERTO",100.0,fl:ro_ln:quintanasolorzano-1,84014.0
"DEL ANGEL VICENTE,PAZ","DEL ANGEL VICENTE,PAZ",100.0,,6428.0
"ARMENDARIZ HERRERA,HECTOR","ARMENDARIZ HERRERA,HECTOR",100.0,fl:he_ln:armendarizherrera-1,6194.0
"GUZMAN CASTILLO,MARIA DE LOURDES ALEJANDRA","GUZMAN CASTILLO,MARIA DE LOURDES ALEJANDRA",100.0,fl:ma_ln:guzmancastillo-1,8786.0
"SANCHEZ,JOHN EDER","SANCHEZ,JOHN EDER",100.0,,895130.0
"PONCE PEDRAZA,ARTURO","PONCE PEDRAZA,ARTURO",100.0,,121653.0
"JOSE YACAMAN,MIGUEL","JOSE Y YACAMAN,MIGUEL",100.0,,114.0
"HERNANDEZ SUAREZ,ROGELIO","HERNANDEZ SUAREZ,ROGELIO",100.0,fl:ro_ln:hernandezsuarez-1,201421.0
"JIMENEZ CRUZ,FEDERICO JESUS","JIMENEZ CRUZ,FEDERICO JESUS",100.0,fl:fe_ln:jimenezcruz-1,18867.0
"MARIN ROSAS,CELIA","MARIN ROSAS,CELIA",100.0,,216832.0
"CASTANEDA LOPEZ,LUIS CARLOS","CASTANEDA LOPEZ,LUIS CARLOS",100.0,fl:lu_ln:castanedalopez-1,216827.0
"MURRIETA GUEVARA,FLORENTINO RAFAEL","MURRIETA GUEVARA,FLORENTINO RAFAEL",100.0,fl:fl_ln:murrietaguevara-1,202131.0
"LOPEZ LIMA,JOSE DANIEL","LOPEZ LIMA,JOSE DANIEL",100.0,,350758.0
"CARRION VILLARNOVO,GLORIA LUZ LAURA","CARRION VILLARNOVO,GLORIA LUZ LAURA",100.0,,111220.0
"ALEMAN VAZQUEZ,LAURA OLIVIA","ALEMAN VAZQUEZ,LAURA OLIVIA",100.0,fl:la_ln:alemanvazquez-1,122808.0
"ZENTENO RAMIREZ,ANTONIO","ZENTENO RAMIREZ,ANTONIO",100.0,fl:an_ln:zentenoramirez-1,123310.0
"LEDESMA OROZCO,ELIAS RIGOBERTO","LEDESMA OROZCO,ELIAS RIGOBERTO",100.0,,200911.0
"ALCANTAR CAMARENA,VICTOR ALFONSO","ALCANTAR CAMARENA,VICTOR ALFONSO",100.0,,294973.0
"VALLEJO GALLAND,BELINDA","VALLEJO GALLAND,BELINDA",100.0,fl:be_ln:vallejogalland-1,15447.0
"RODRIGUEZ FIGUEROA,JOSE CARLOS","RODRIGUEZ FIGUEROA,JOSE CARLOS",100.0,fl:jo_ln:rodriguezfigueroa-1,211592.0
"GONZALEZ CORDOVA,AARON FERNANDO","GONZALEZ CORDOVA,AARON FERNANDO",100.0,fl:aa_ln:gonzalezcordova-1,145125.0
"AQUINO OLIVOS,MARCO ANTONIO","AQUINO OLIVOS,MARCO ANTONIO",100.0,fl:ma_ln:aquinoolivos-2,68302.0
"CAMACHO PEREZ,JOSE RODRIGO","CAMACHO PEREZ,JOSE RODRIGO",100.0,fl:jo_ln:camachoperez-2,46302.0
"LOPEZ MEYER,PAULO","LOPEZ MEYER,PAULO",100.0,fl:pa_ln:lopezmeyer-1,49474.0
"GARCIA MARTINEZ,MOISES","GARCIA MARTINEZ,MOISES",100.0,,266013.0
"CAMPOS CANTON,ERIC","CAMPOS CANTON,ERIC",100.0,fl:er_ln:camposcanton-1,121080.0
"CISNEROS DEVORA,RODOLFO","CISNEROS DEVORA,RODOLFO",100.0,fl:ro_ln:cisnerosdevora-1,169672.0
"PONS JIMENEZ,MIRNA","PONS JIMENEZ,MIRNA",100.0,fl:mi_ln:ponsjimenez-1,252584.0
"LUNA ROJERO,ERICK EMANUEL","LUNA ROJERO,ERICK EMANUEL",100.0,fl:er_ln:lunarojero-1,18934.0
"CORDOURIER MARURI,HECTOR","CORDOURIER MARURI,HECTOR ALFONSO",100.0,fl:he_ln:cordouriermaruri-1,167179.0
"ZAMORA ESQUIVEL,JULIO","ZAMORA ESQUIVEL,JULIO CESAR",100.0,fl:ju_ln:zamoraesquivel-1,39887.0
"MORALES ROJAS,HUGO","MORALES ROJAS,HUGO",100.0,,121418.0
"DOMINGUEZ CHAVEZ,JORGE GUILLERMO","DOMINGUEZ CHAVEZ,JORGE GUILLERMO",100.0,,167227.0
"MONDRAGON VASQUEZ,KARINA","MONDRAGON VASQUEZ,KARINA",100.0,,48341.0
"HERRERA RUIZ,DEA","HERRERA RUIZ,DEA",100.0,,121852.0
"CEVADA MAYA,ENRIQUE","CEVADA MAYA,ENRIQUE",100.0,fl:en_ln:cevadamaya-1,252873.0
"HERNANDEZ CARBAJAL,EDGAR IVAN","HERNANDEZ CARBAJAL,EDGAR IVAN",100.0,fl:ed_ln:hernandezcarbajal-1,391601.0
"BEAS BUJANOS,JOAQUIN","BEAS BUJANOS,JOAQUIN",100.0,fl:jo_ln:beasbujanos-1,101336.0
"VERA MONTENEGRO,REMEDIOS YOLANDA","VERA MONTENEGRO,REMEDIOS YOLANDA",100.0,,7041.0
"HERNANDEZ CAMPOS,MARIA ALICIA","HERNANDEZ CAMPOS,MARIA ALICIA",100.0,,14829.0
"CASTILLO BOCANEGRA,RAFAEL","CASTILLO BOCANEGRA,RAFAEL",100.0,,2805.0
"FLORES RAMOS,MIGUEL ANGEL","FLORES RAMOS,MIGUEL ANGEL",100.0,,267703.0
"IBARRA VELARDE,OSVALDO FROYLAN","IBARRA VELARDE,OSVALDO FROYLAN",100.0,,3620.0
"NORENA FRANCO,LUIS","NORENA FRANCO,LUIS ENRIQUE",100.0,,120683.0
"SALDIVAR GUERRA,ENRIQUE","SALDIVAR GUERRA,ENRIQUE",100.0,fl:en_ln:saldivarguerra-1,18854.0
"INFANTE MARTINEZ,JOSE RAMIRO","INFANTE MARTINEZ,JOSE RAMIRO",100.0,,38598.0
"AGUILAR PLIEGO,JULIA","AGUILAR PLIEGO,JULIA",100.0,,51794.0
"GUTIERREZ ARZALUZ,MIRELLA","GUTIERREZ ARZALUZ,MIRELLA",100.0,,245748.0
"SEGURA PACHECO,BLANCA ANGELICA","SEGURA PACHECO,BLANCA ANGELICA",100.0,fl:bl_ln:segurapacheco-1,123577.0
"CABRERA AQUINO,JOSE GUSTAVO","CABRERA AQUINO,JOSE GUSTAVO",100.0,fl:jo_ln:cabreraaquino-1,121916.0
"RONICKE,STEPHAN","RONICKE,STEPHAN",100.0,fl:st_ln:ronicke-1,886567.0
"SMITH,MICHAEL","SMITH,MICHAEL WILLIAM",100.0,,730326.0
"HODGKINS,ROBERT PETER","HODGKINS,ROBERT PETER",100.0,,509790.0
"RIVERA SOLORIO,CARLOS IVAN","RIVERA SOLORIO,CARLOS IVAN",100.0,,121148.0
"CARRILLO FUENTEVILLA,ROBERTO","CARRILLO FUENTEVILLA,ROBERTO",100.0,fl:ro_ln:carrillofuentevilla-1,16034.0
"SANTANA RODRIGUEZ,GUILLERMO","SANTANA RODRIGUEZ,GUILLERMO LORENZO",100.0,,121356.0
"RIOS JARA,DAVID","RIOS JARA,DAVID",100.0,,1094.0
"ALEXANDROVA,LARISSA","ALEXANDROVA,LARISSA",100.0,,14706.0
"ASTUDILLO DE LA VEGA,HORACIO","ASTUDILLO DE LA VEGA,HORACIO",100.0,,31711.0
"OLGUIN LORA,PATRICIA","OLGUIN LORA,PATRICIA",100.0,fl:pa_ln:olguinlora-1,21310.0
"CASTORENA CORTES,GLADYS TERESA","CASTORENA CORTES,GLADYS TERESA",100.0,fl:gl_ln:castorenacortes-1,70335.0
"ROLDAN CARRILLO,TERESA GUADALUPE","ROLDAN CARRILLO,TERESA GUADALUPE",100.0,fl:te_ln:roldancarrillo-1,25434.0
"CAMPOS MACIAS,LEOBARDO","CAMPOS MACIAS,LEOBARDO EMMANUEL",100.0,fl:le_ln:camposmacias-1,543862.0
"GOMEZ GUTIERREZ,DAVID","GOMEZ GUTIERREZ,DAVID",100.0,fl:da_ln:gomezgutierrez-1,205631.0
"CEDENO VIVEROS,LUIS DANIEL","CEDENO VIVEROS,LUIS DANIEL",100.0,,662531.0
"LEON ROVIRA,NOEL","LEON ROVIRA,NOEL",100.0,,15640.0
"CARBAJAL DE NOVA,CAROLINA","CARBAJAL DE NOVA,CAROLINA",100.0,,101186.0
"HERNANDEZ BELTRAN,FRANCISCO JAVIER","HERNANDEZ BELTRAN,FRANCISCO JAVIER",100.0,fl:fr_ln:hernandezbeltran-1,5081.0
"PEREZ ROMO,PATRICIA","PEREZ ROMO,PATRICIA",100.0,fl:pa_ln:perezromo-1,21919.0
"ZAPATA PENASCO,NORMA ICOQUIH","ZAPATA PENASCO,NORMA ICOQUIH",100.0,fl:no_ln:zapatapenasco-1,89968.0
"GARIBAY FEBLES,VICENTE","GARIBAY FEBLES,VICENTE",100.0,fl:vi_ln:garibayfebles-1,20304.0
"PACHECO Y ALCALA,UBALDO SADOTT","PACHECO Y ALCALA,UBALDO SADOTT",100.0,,20619.0
"CASTANO MENESES,VICTOR MANUEL","CASTANO MENESES,VICTOR MANUEL",100.0,,3211.0
"LIKHANOVA,NATALYA VICTOROVNA","LIKHANOVA,NATALYA VICTOROVNA",100.0,fl:na_ln:victorovnalikhanova-1,121084.0
"MOCTEZUMA BERTHIER,ANDRES EDUARDO","MOCTEZUMA BERTHIER,ANDRES EDUARDO",100.0,,254705.0
"OLIVARES XOMETL,CRESCENCIO OCTAVIO","OLIVARES XOMETL,CRESCENCIO OCTAVIO",100.0,,87639.0
"RODRIGUEZ SALINAS,JUAN JOSE","RODRIGUEZ SALINAS,JUAN JOSE",100.0,fl:ju_ln:rodriguezsalinas-1,37308.0
"ORTEGA GARCIA,FELIPE DE JESUS","ORTEGA GARCIA,FELIPE DE JESUS",100.0,,120174.0
"SCHACHT HERNANDEZ,PERSI","SCHACHT HERNANDEZ,PERSI",100.0,fl:pe_ln:schachthernandez-1,123241.0
"MAR JUAREZ,ELIZABETH","MAR JUAREZ,ELIZABETH",100.0,,26202.0
"VELEZ ARGUMEDO,CATALINA MARIA","VELEZ ARGUMEDO,CATALINA MARIA",100.0,fl:ca_ln:velezargumedo-1,445986.0
"REALPE QUINTERO,MAURICIO","REALPE QUINTERO,MAURICIO ALBERTO",100.0,,178366.0
"ARMENDARIZ BORUNDA,JUAN SOCORRO","ARMENDARIZ BORUNDA,JUAN SOCORRO",100.0,fl:ju_ln:armendarizborunda-1,4539.0
"RUELAS LEPE,RUBEN","RUELAS LEPE,RUBEN",100.0,,241117.0
"GEVORGYAN,GOHAR","GEVORGYAN,GOHAR",100.0,fl:go_ln:gevorgyan-1,16196.0
"MANUCHARYAN,KAREN","MANUCHARYAN,KAREN",100.0,fl:ka_ln:manucharyan-1,16195.0
"CERON CAMACHO,RICARDO","CERON CAMACHO,RICARDO",100.0,,173997.0
"RAMIREZ DE SANTIAGO,MARIO","RAMIREZ DE SANTIAGO,MARIO",100.0,,51862.0
"VALLEJO CARDONA,ALBA ADRIANA","VALLEJO CARDONA,ALBA ADRIANA",100.0,,50109.0
"ALMEIDA LOYA,SERGIO FABIAN","ALMEIDA LOYA,SERGIO FABIAN",100.0,,666669.0
"CRUZ MORALES,PABLO","CRUZ MORALES,PABLO",100.0,,219769.0
"BARONA GOMEZ,FRANCISCO","BARONA GOMEZ,FRANCISCO",100.0,,82338.0
"NAVA LARA,MARIA DEL ROCIO","NAVA LARA,MARIA DEL ROCIO",100.0,,35126.0
"HERNANDEZ GARCIA,JUAN","HERNANDEZ GARCIA,JUAN ALFREDO",100.0,,369256.0
"RAMIREZ PEREZ,JORGE FRANCISCO","RAMIREZ PEREZ,JORGE FRANCISCO",100.0,fl:jo_ln:ramirezperez-1,429320.0
"MARTINEZ MAGADAN,JOSE MANUEL","MARTINEZ MAGADAN,JOSE MANUEL",100.0,fl:jo_ln:martinezmagadan-1,12790.0
"LOPEZ RAMIREZ,SIMON","LOPEZ RAMIREZ,SIMON",100.0,fl:si_ln:lopezramirez-2,21164.0
"DURAN VALENCIA,CECILIA DE LOS ANGELES","DURAN VALENCIA,CECILIA DE LOS ANGELES",100.0,fl:ce_ln:duranvalencia-1,26209.0
"OVIEDO ROA,RAUL","OVIEDO ROA,RAUL",100.0,fl:ra_ln:oviedoroa-1,15382.0
"ORTEGA RODRIGUEZ,ALEJANDRO","ORTEGA RODRIGUEZ,ALEJANDRO",100.0,fl:al_ln:ortegarodriguez-1,200933.0
"VAZQUEZ DUHALT,RAFAEL","VAZQUEZ DUHALT,RAFAEL",100.0,,6525.0
"MARTIN DEL CAMPO LOPEZ,FABIOLA","MARTIN DEL CAMPO LOPEZ,FABIOLA",100.0,,244360.0
"GARCIA GARCIA,GUILLERMO","GARCIA GARCIA,GUILLERMO",100.0,,205351.0
"SANCHEZ SCHMITZ,GUZMAN GERARDO ALFONSO","SANCHEZ SCHMITZ,GUZMAN GERARDO ALFONSO",100.0,,401006.0
"CHAUVIN,ANNE LAURE PATRICIA","CHAUVIN,ANNE LAURE PATRICIA",100.0,,293046.0
"ORDUNA REYES,ERNESTO","ORDUNA REYES,ERNESTO",100.0,,88285.0
"MARTINEZ SANCHEZ,JOSE","MARTINEZ SANCHEZ,JOSE FRANCISCO",100.0,fl:jo_ln:sanchez-26,351298.0
"MARTINEZ SANCHEZ,JOSE","MARTINEZ SANCHEZ,JOSE LUIS",100.0,fl:jo_ln:sanchez-26,120967.0
"BENAVIDES LOZANO,JORGE ALEJANDRO","BENAVIDES LOZANO,JORGE ALEJANDRO",100.0,,216664.0
"RODRIGUEZ SANCHEZ,DARIANA GRACIELA","RODRIGUEZ SANCHEZ,DARIANA GRACIELA",100.0,,274371.0
"GUTIERREZ URIBE,JANET ALEJANDRA","GUTIERREZ URIBE,JANET ALEJANDRA",100.0,,274602.0
"HERNANDEZ BRENES,CARMEN","HERNANDEZ BRENES,CARMEN",100.0,,26334.0
"MIKI YOSHIDA,MARIO","MIKI YOSHIDA,MARIO",100.0,,13539.0
"NAGAMEDIANOVA,ZOULFIA","NAGAMEDIANOVA,ZOULFIA",100.0,,121690.0
"PIZA RUIZ,PEDRO","PIZA RUIZ,PEDRO",100.0,,173073.0
"VEGA BECERRA,OSCAR","VEGA BECERRA,OSCAR EDGARDO",100.0,,97249.0
"AMEZAGA MADRID,PATRICIA","AMEZAGA MADRID,PATRICIA",100.0,,79433.0
"LOPEZ CERVANTES,JAIME","LOPEZ CERVANTES,JAIME",100.0,,121311.0
"GUTIERREZ MEDINA,BRAULIO","GUTIERREZ MEDINA,BRAULIO",100.0,,202918.0
"SANCHEZ MIRANDA,MANUEL DE JESUS","SANCHEZ MIRANDA,MANUEL DE JESUS",100.0,,229826.0
"CARTAS ROSADO,ANA ROCIO","CARTAS ROSADO,ANA ROCIO",100.0,,36894.0
"SOBERON CHAVEZ,MARIO","SOBERON CHAVEZ,MARIO",100.0,,5415.0
"BRAVO DE LA PARRA,MARIA ALEJANDRA","BRAVO DE LA PARRA,MARIA ALEJANDRA",100.0,,7465.0
"PARDO LOPEZ,LILIANA","PARDO LOPEZ,LILIANA",100.0,,122256.0
"GARCIA MARQUEZ,ERISTEO","GARCIA MARQUEZ,ERISTEO",100.0,,204553.0
"ESPINOSA ANDREWS,HUGO","ESPINOSA ANDREWS,HUGO",100.0,,101254.0
"PATINO,JUAN","PATINO,JUAN CARLOS",100.0,,213973.0
"GONZALEZ JIMENEZ,LUIS ENRIQUE","GONZALEZ JIMENEZ,LUIS ENRIQUE",100.0,,172488.0
"RUIZ CRUZ,RIEMANN","RUIZ CRUZ,RIEMANN",100.0,,40326.0
"RAMOS MURILLO,MANUEL ANTONIO","RAMOS MURILLO,MANUEL ANTONIO",100.0,,222146.0
"ENRIQUEZ CARREJO,JOSE LUIS","ENRIQUEZ CARREJO,JOSE LUIS",100.0,,355799.0
"AMBROSIO LAZARO,ROBERTO CARLOS","AMBROSIO LAZARO,ROBERTO CARLOS",100.0,,36102.0
"RODRIGUEZ GONZALEZ,CLAUDIA ALEJANDRA","RODRIGUEZ GONZALEZ,CLAUDIA ALEJANDRA",100.0,,69183.0
"DOMINGUEZ MALDONADO,JORGE ARTURO","DOMINGUEZ MALDONADO,JORGE ARTURO",100.0,,42214.0
"FLOTA BANUELOS,MANUEL ISRAEL","FLOTA BANUELOS,MANUEL ISRAEL",100.0,,41289.0
"ALZATE GAVIRIA,LILIANA MARIA","ALZATE GAVIRIA,LILIANA MARIA",100.0,,201638.0
"CONTRERAS MASSE,ROBERTO ANTONIO","CONTRERAS MASSE,ROBERTO ANTONIO",100.0,,954640.0
"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDRO RICARDO",100.0,,18907.0
"VAZQUEZ OVIEDO,ERICK ISRAEL","VAZQUEZ OVIEDO,ERICK ISRAEL",100.0,,423695.0
"VAZQUEZ NAVA,NIMROD","VAZQUEZ NAVA,NIMROD",100.0,,121948.0
"ZAVALA OLIVARES,GERARDO","ZAVALA OLIVARES,GERARDO",100.0,fl:ge_ln:zavalaolivares-1,26145.0
"TORRES MANCERA,LEON PABLO","TORRES MANCERA,LEON PABLO",100.0,,36458.0
"ORTEGA BORGES,RAUL MARTIN","ORTEGA BORGES,RAUL MARTIN",100.0,,15336.0
"MEAS VONG,YUNNY","MEAS VONG,YUNNY",100.0,,584.0
"TREJO CORDOVA,GABRIEL","TREJO CORDOVA,GABRIEL",100.0,,20030.0
"MARINO MARMOLEJO,ERIKA NAHOMY","MARINO MARMOLEJO,ERIKA NAHOMY",100.0,,48632.0
"DAVILA VAZQUEZ,GUSTAVO","DAVILA VAZQUEZ,GUSTAVO",100.0,,100409.0
"CONTRERAS RAMOS,SILVIA MARIBEL","CONTRERAS RAMOS,SILVIA MARIBEL",100.0,,38756.0
"AVILA VILCHIS,JUAN CARLOS","AVILA VILCHIS,JUAN CARLOS",100.0,,59656.0
"VILCHIS GONZALEZ,ADRIANA HERLINDA","VILCHIS GONZALEZ,ADRIANA HERLINDA",100.0,,121524.0
"CASTRO ROSAS,JAVIER","CASTRO ROSAS,JAVIER",100.0,fl:ja_ln:castrorosas-1,26198.0
"GOMEZ ALDAPA,CARLOS ALBERTO","GOMEZ ALDAPA,CARLOS ALBERTO",100.0,fl:ca_ln:gomezaldapa-1,20051.0
"GOJON ZORRILLA,GABRIEL","GOJON ZORRILLA,GABRIEL",100.0,,1518.0
"HERRERA ESTRELLA,LUIS RAFAEL","HERRERA ESTRELLA,LUIS RAFAEL",100.0,,4867.0
"AMEZCUA ALLIERI,MYRIAM ADELA","AMEZCUA ALLIERI,MYRIAM ADELA",100.0,,121541.0
"RAMIREZ VERDUZCO,LUIS FELIPE","RAMIREZ VERDUZCO,LUIS FELIPE",100.0,,83762.0
"PEREZ GALLARDO,ALFONSO","PEREZ GALLARDO,ALFONSO",100.0,,160052.0
"LEAL CHAVEZ,DANIEL ARTURO","LEAL CHAVEZ,DANIEL ARTURO",100.0,,483872.0
"BELTRAN CHACON,RICARDO","BELTRAN CHACON,RICARDO",100.0,,175522.0
"CORONA GALVAN,SERGIO","CORONA GALVAN,SERGIO",100.0,,9123.0
"RODRIGUEZ GUADARRAMA,LUIS ANTONIO","RODRIGUEZ GUADARRAMA,LUIS ANTONIO",100.0,,61797.0
"ESCUDERO URIBE,APOLO ZEUS","ESCUDERO URIBE,APOLO ZEUS",100.0,,31206.0
"SANTOS CUEVAS,CLARA LETICIA","SANTOS CUEVAS,CLARA LETICIA",100.0,,171596.0
"OCAMPO GARCIA,BLANCA ELI","OCAMPO GARCIA,BLANCA ELI",100.0,,309879.0
"AZORIN VEGA,ERIKA PATRICIA","AZORIN VEGA,ERIKA PATRICIA",100.0,,49309.0
"LUNA GUTIERREZ,MYRNA ALEJANDRA","LUNA GUTIERREZ,MYRNA ALEJANDRA",100.0,,265081.0
"JIMENEZ MANCILLA,NALLELY PATRICIA","JIMENEZ MANCILLA,NALLELY PATRICIA",100.0,,279152.0
"FERRO FLORES,GUILLERMINA","FERRO FLORES,GUILLERMINA",100.0,,19581.0
"DE LA ROSA SANTAMARIA,ROBERTO","DE LA ROSA SANTAMARIA,ROBERTO",100.0,fl:ro_ln:delarosasantamaria-1,96556.0
"MENDOZA,CARLOS","MENDOZA,CARLOS",100.0,fl:ca_ln:mendoza-2,11755.0
"RODRIGUEZ LOPEZ,CARLOS EDUARDO","RODRIGUEZ LOPEZ,CARLOS EDUARDO",100.0,,388322.0
"DIAZ DE LA GARZA,ROCIO ISABEL","DIAZ DE LA GARZA,ROCIO ISABEL",100.0,,39462.0
"AVALOS GARCIA,JAVIER","AVALOS GARCIA,JAVIER",100.0,,200110.0
"PENA DUQUE,MARCO ANTONIO","PENA DUQUE,MARCO ANTONIO",100.0,,345373.0
"VILLAGOMEZ IBARRA,JOSE ROBERTO","VILLAGOMEZ IBARRA,JOSE ROBERTO",100.0,,11592.0
