NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,ES_MISMA_PERSONA,DETALLES,UBICACION_DATAF,UBICACION_INVENTOR,AÑO_PATENTE,PERIODOS_VALIDOS
"ASTUDILLO DE LA VEGA,HORACIO","ASTUDILLO DE LA VEGA,HORACIO",100,True,Fecha [patente 2019] válida en: 2018-2020,"CIUDAD DE MEXICO,MEXICO","CUAUHTEMOC,MX",2019,2018-2020
"AVALOS GARCIA,JAVIER","AVALOS GARCIA,JAVIER",100,True,Sin coincidencias,"JALISCO,MEXICO","ZAPOPAN,MX",2021,
"AVILA VILCHIS,JUAN CARLOS","AVILA VILCHIS,JUAN CARLOS",100,True,Fecha [patente 2020] válida en: 2020-2022,"MEXICO,MEXICO","TOLUCA,MX",2020,2020-2022
"AVILA ORTIZ,RAUL","AVILA,RAUL",81.25,True,Fecha [patente 2023] válida en: 2020-2023,"TLAXCALA,MEXICO","MEXICO CITY,MX",2023,2020-2023
"AVILES CRUZ,CARLOS","AVILES,CARLOS",8.529.411.764.705.880,True,Fecha [patente 2014] válida en: 2013-2015,"CIUDAD DE MEXICO,MEXICO","LA Y GRIEGA,MX",2014,2013-2015
"AZORIN VEGA,ERIKA PATRICIA","AZORIN VEGA,ERIKA PATRICIA",100,True,Fecha [patente 2021] válida en: 2020-2023,"MEXICO,MEXICO","ESTADO DE MEXICO,MX",2021,2020-2023
"BAEZA RAMIREZ,MARIA ISABEL","BAEZA RAMIREZ,MARIA ISABEL",100,True,Similitud Nombre (100%),,,,
"BANUELOS SANCHEZ,PEDRO","BANUELOS SANCHEZ,PEDRO",100,True,Similitud Nombre (100%),,,,
"BARAJAS RAMIREZ,JUAN GONZALO","BARAJAS RAMIREZ,JUAN GONZALO",100,True,Fecha [patente 2014] válida en: 2011-2014,"BAJA CALIFORNIA,MEXICO","SAN LUIS POTOSI,MX",2014,2011-2014
"BARCENAS CASTANEDA,MARIANA","BARCENAS CASTANEDA,MARIANA",100,True,"Fecha [patente 2015] válida en: 2013-2017, 2013-2016","MEXICO,MEXICO","MEXICO CITY,MX",2015,"2013-2017, 2013-2016"
"BARONA GOMEZ,FRANCISCO","BARONA GOMEZ,FRANCISCO",100,True,Fecha [patente 2019] válida en: 2018-2020,"MORELOS,MEXICO","GUANAJUATO,MX",2019,2018-2020
"BARREIRO RODRIGUEZ,GUADALUPE","BARREIRO RODRIGUEZ,GUADALUPE",100,True,Sin coincidencias,"QUERETARO,MEXICO","QUERETARO,MX",2013,
"BARRIOS PEREZ,JOSE ANTONIO","BARRIOS PEREZ,JOSE ANTONIO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2017,
"BARROSO VILLA,JUAN GERARDO","BARROSO VILLA,JUAN GERARDO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","LA MARQUESA,MX",2022,
"BARZANA GARCIA,EDUARDO","BARZANA,EDUARDO",8.333.333.333.333.330,True,Fecha [patente 2002] válida en: 2002-2006,"CIUDAD DE MEXICO,MEXICO","MORELIA,MX",2002,2002-2006
"BAYDYK,TETYANA","BAYDYK,TETYANA",100,True,Fecha [patente 2014] válida en: 2014-2016,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2014,2014-2016
"BEAS BUJANOS,JOAQUIN","BEAS BUJANOS,JOAQUIN",100,True,Sin coincidencias,"NUEVO LEON,MEXICO","EJIDO PRIMERO DE MAYO,MX",2019,
"BECERRIL LUJAN,BALTAZAR","BECERRIL LUJAN,BALTAZAR",100,True,Fecha [patente 2008] válida en: 2004-2008,"MORELOS,MEXICO","CUERNAVACA,MX",2008,2004-2008
"BECERRIL LUJAN,BALTAZAR","BECERRIL,BALTAZAR",8.636.363.636.363.630,True,Fecha [patente 2004] válida en: 2004-2008,"MORELOS,MEXICO","TLALTIZAPAN,MX",2004,2004-2008
"BELTRAN CHACON,RICARDO","BELTRAN CHACON,RICARDO",100,True,Fecha [patente 2021] válida en: 2020-2023,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2021,2020-2023
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISAAC",100,True,Fecha [patente 2018] válida en: 2015-2019,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2015-2019
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISSAC",9.545.454.545.454.540,True,Fecha [patente 2015] válida en: 2015-2019,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2015,2015-2019
"BENAVIDES LOZANO,JORGE ALEJANDRO","BENAVIDES LOZANO,JORGE ALEJANDRO",100,True,Fecha [patente 2012] válida en: 2011-2013,"NUEVO LEON,MEXICO","MONTERREY,MX",2012,2011-2013
"BENITEZ AGUILAR,JOSE LUIS RODOLFO","BENITEZ AGUILAR,JOSE LUIS RODOLFO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,
"BERNAD BERNAD,MARIA JOSEFA","BERNAD BERNAD,MARIA JOSEFA",100,True,Fecha [patente 2017] válida en: 2014-2017,"CIUDAD DE MEXICO,MEXICO","EAST WEARE ROAD,MX",2017,2014-2017
"BERNAL PONCE,LUIS ARTURO","BERNAL,LUIS ALBERTO",7.246.376.811.594.200,True,"Fecha [patente 2022] válida en: 2020-2023, 2020-2024","JALISCO,MEXICO","PUEBLA,MX",2022,"2020-2023, 2020-2024"
"BORBOLLA ESCOBOZA,JOSE RAFAEL","BORBOLLA ESCOBOZA,JOSE RAFAEL",100,True,Fecha [patente 2015] válida en: 2014-2017,"NUEVO LEON,MEXICO","MONTERREY,MX",2015,2014-2017
"BOSQUES PADILLA,FRANCISCO JAVIER","BOSQUES PADILLA,FRANCISCO JAVIER",100,True,Fecha [patente 2012] válida en: 2011-2014,"NUEVO LEON,MEXICO","MONTERREY,MX",2012,2011-2014
"BOTELLO MENDEZ,ANDRES RAFAEL","BOTELLO MENDEZ,ANDRES RAFAEL",100,True,Similitud Nombre (100%),,,,
"BOUDA,JAN","BOUDA,JAN",100,True,Fecha [patente 2001] válida en: 2001-2004,"CIUDAD DE MEXICO,MEXICO","ACAPULCO,MX",2001,2001-2004
"BRAVO DE LA PARRA,MARIA ALEJANDRA","BRAVO DE LA PARRA,MARIA ALEJANDRA",100,True,Fecha [patente 2020] válida en: 2015-2024,"MORELOS,MEXICO","CUERNAVACA,MX",2020,2015-2024
"BRUCE DAVIDSON,NEIL CHARLES","BRUCE DAVIDSON,NEIL CHARLES",100,True,Fecha [patente 2014] válida en: 2010-2014,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2014,2010-2014
"BUENABAD CHAVEZ,JORGE","BUENABAD CHAVEZ,JORGE",100,True,Similitud Nombre (100%),,,,
"BUENROSTRO GONZALEZ,EDUARDO","BUENROSTRO GONZALEZ,EDUARDO",100,True,Fecha [patente 2014] válida en: 2011-2014,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2014,2011-2014
"CABANILLAS LOPEZ,RAFAEL ENRIQUE","CABANILLAS LOPEZ,RAFAEL ENRIQUE",100,True,"Fecha [patente 2021] válida en: 2019-2023, 2019-2022","SONORA,MEXICO","HERMOSILLO,MX",2021,"2019-2023, 2019-2022"
"CABELLO ROBLES,JUAN JOSE","CABELLO,JUAN JOSE",8.333.333.333.333.330,True,Fecha [patente 2019] válida en: 2017-2019,"CIUDAD DE MEXICO,MEXICO","QUERETARO,MX",2019,2017-2019
"CABRERA AQUINO,JOSE GUSTAVO","CABRERA AQUINO,JOSE GUSTAVO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2019,
"CABRERA LLANOS,ROBERTO MARCOS","CABRERA LLANOS,ROBERTO MARCOS",100,True,Similitud Nombre (100%),,,,
"CADENA NAVA,RUBEN DARIO","CADENA NAVA,RUBEN D",8.888.888.888.888.880,True,Similitud Nombre (94%),,,,
"CADENAS PLIEGO,GREGORIO","CADENA PLIEGO,GREGORIO",9.814.814.814.814.810,True,Similitud Nombre (98%),,,,
"CADENAS PLIEGO,GREGORIO","CADENAS PLIEGO,GREGORIO",100,True,Similitud Nombre (100%),,,,
"CAMACHO LOPEZ,MIGUEL ANGEL","CAMACHO LOPEZ,MIGUEL ANGEL",100,True,Similitud Nombre (100%),,,,
"CAMACHO LOPEZ,SANTIAGO","CAMACHO LOPEZ,SANTIAGO",100,True,Similitud Nombre (100%),,,,
"CAMACHO PEREZ,JOSE RODRIGO","CAMACHO PEREZ,JOSE RODRIGO",100,True,Fecha [patente 2018] válida en: 2018-2020,"JALISCO,MEXICO","IXTLAHUACAN DEL RIO,MX",2018,2018-2020
"CAMPORREDONDO SAUCEDO,JESUS EMILIO","CAMPORREDONDO SAUCEDO,JESUS EMILIO",100,True,Similitud Nombre (100%),,,,
"CAMPOS CANTON,ERIC","CAMPOS CANTON,ERIC",100,True,Similitud Nombre (100%),,,,
"CAMPOS CANTON,ISAAC","CAMPOS CANTON,ISAAC",100,True,"Fecha [patente 2013] válida en: 2011-2014, 2011-2013","SAN LUIS POTOSI,MEXICO","GUANAJUATO,MX",2013,"2011-2014, 2011-2013"
"CAMPOSECO SOLIS,ROBERTO","CAMPOSECO SOLIS,ROBERTO",100,True,Fecha [patente 2018] válida en: 2016-2018,"SAN LUIS POTOSI,MEXICO","MEXICO CITY,MX",2018,2016-2018
"CANTO IBANEZ,JORGE JOAQUIN","CANTO IBANEZ,JORGE JOAQUIN",100,True,Similitud Nombre (100%),,,,
"CARBAJAL ARIZAGA,GREGORIO GUADALUPE","CARBAJAL ARIZAGA,GREGORIO GUADALUPE",100,True,Fecha [patente 2021] válida en: 2018-2022,"BAJA CALIFORNIA,MEXICO","JALISCO,MX",2021,2018-2022
"CARBAJAL DE NOVA,CAROLINA","CARBAJAL DE NOVA,CAROLINA",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2019,
