Nombre Inventor
"Valenzuela Grado,Jaime"
"Cruz Lopez,Jairo Abraham"
"Martinez Viramontes,Jaquelin"
"Aranda Cotero,Javier"
"Castro Rosas,Javier"
"Ramirez,Javier"
"Ramirez,Jeronimo"
"FUENTES SANTIAGO,Jessica Valeria"
"Alejandro Tule,Jesus"
"Fernandez Grandizo Martinez,Jesus"
"Marini Parissi,Jesus"
"Vazquez,Jesus"
"Villanueva,Jesus"
"Sanches Castillo,Joaquin"
"Aldebaran Salazar,Joel"
"Corben,John"
"Kaleb Jalpa,Jonathan"
"Ortiz Flores,Jorge Arturo"
"Cantu,Jorge"
"Tellez Valdes,Jorge Carlos"
"D Viesca,Jorge"
"de la Cruz Clavel Lopez,Juan"
"Gonzalez Diaz,Jorge E"
"Garza Montemayor,Jorge Eugenio"
"Gonzalez Canudas,Jorge"
"Hinojosa,Jorge"
"Escamilla Rodriguez,Jorge I"
"Jara Zambrano,Jorge"
"Canto Ibanez,Jorge Joaquin"
"Del Pozo Gonzalez,Luis Miguel"
"Lopez Cuevas,Jorge"
"GUZMAN CASTILLO,Maria de Lourdes Alejandra"
"Villar Kuri,Jorge Octavio"
"Lozada Ramirez,Jorge Rafael"
"Santisteban,Jorge"
"Asaff Arancibia,Jorge Selim"
"Guerra Meza,Jorge Silvestre"
"Davila Aleman,Jose Alberto"
"Avalos Barcenas,Jose Angel"
"Munoz Moya,Jose Antonio D"
"Lona Santoyo,Jose Arturo"
"Camarena Villasenor,Jose De Jesus"
"Pena Martinez,Jose Eduardo"
"GARZA MONTEMAYOR,Jose Guadalupe"
"Guerra,Jose"
"Cabrera Aquino,Jose Gustavo"
"J Galicia,Jose"
"Salazar Loera,Jose Jonathan"
"L Sandoval,Jose"
"Landa,Jose"
"Cano Dominguez,Jose Luis"
"Luis Lorente Adame,Jose"
"Martinez Carballido,Jose Luis"
"Morales Martinez,Jose Luis"
"Benitez Aguilar,Jose Luis Rodolfo"
"Tavares Cortes,Jose Luis"
"Guzman Colin,Jose Manuel"
"Julien Fripiat,Jose Marie Maurice"
"Martinez Sanchez,Jose"
"Medina,Jose"
"Miguel Lazcano Seres,Jose"
"SANCHEZ RODRIGUEZ,Jose Octavio"
"Oscar Mascorro Gallardo,Jose"
"Rafael Gomez,Jose"
"Gachuz Navarro,Jose Ramon"
"Garcia Martinez,Jose Ramon"
"Martinez Ramirez,Jose Ramon"
"Rene Linan,Jose"
"Trolle Lara,Jose Ricardo"
"Aguilar Ante,Jose Roberto"
"Velazquez,Jose"
"Teran Matus,Jose Adalberto"
"Juarez Garcia,Juan Alberto"
"Leon Navarro,Juan Antonio"
"Carlos Catana,Juan"
"Martinez Laurent,Juan Carlos"
"Reyes Martinez,Juan Carlos"
"Cruz,Juan"
"Beckmann Legorreta,Juan Domingo"
"Garcia Navarro,Juan Francisco"
"Francisco Mojica Briseno,Juan"
"Hernandez,Juan"
"Javier Gaytan,Juan"
"Rodriguez Salinas,Juan Jose"
"De Silanes,Juan Lopez"
"Avila Barriga,Juan Manuel"
"Cruz Alcaraz,Juan Manuel"
"Navarrete Bolanos,Juan"
"Rios Rendon,Juan Pablo"
"Ruiz Estrella,Juan"
"Rangel Mata,Julio Cesar"
"ROETS,Karen"
"Morales,Karla"
