Nombre Inventor
"SANCHEZ CABRAL,LUIS HUMBERTO"
"Chavela Guerra,Luis Jesus"
"Manuel Garcia,Luis"
"Villasenor,Luis"
"Enrique Ruiz,Marcelo"
"Fernandez,Marcelo"
"Noble Colin,Maria Alejandra"
"Lopez,Martin"
"Coronado,Mauricio"
"Angel Duarte Vazquez,Miguel"
"Gomez Angulo,Miguel Angel"
"Gutierrez,Miguel"
"I Avila,Miguel"
"Soto,Miguel"
"Zouhaier Ramadhane,Mohamed"
"Carrillo Mendoza,Omar"
"Carrillo Fernandez,Omar Fernando"
"Lopez Torres,Oscar"
"Linares Rivas,Oswaldo Enrique"
"Castellanos Macin,Pablo"
"Rayo Mayoral,Patricia"
"Lopez Meyer,Paulo"
"Schacht Hernandez,Persi"
"Magana Castro,Jose Agustin Rogelio"
"Jorge Rojas Cortes,Rafael"
"Martinez,Rafael"
"Ramirez,Ramiro"
"Gerardo Quintero Flores,Raul"
"Oviedo Roa,Raul"
"Lien Chang,Raymundo Juan"
"Reyes Martinez,Reyna"
"Garcia,Ricardo"
"Cabrera Botello,Roberto"
"Chavez,Rocio"
"Diaz,Rocio"
"MORA VALLEJO,Rodolfo Juventino"
"Felix,Rodrigo"
"FELIX HERNANDEZ,RODRIGO"
"Villalobos Gonzalez,Sahira"
"La Garza,Sanjuana Garza de"
"Beaulac,Sebastien"
"Cazares Mendez,Sergio Francisco"
"Gonzalez Granados,Sergio"
"K Lewis,Sheldon A"
"Ronicke,Stephan"
"N Mustoe,Trevor"
"Osornio,Victor"
"GARCIA UBBELOHDE,WALTER JAKOB"
"Ruiz Morales,Yosadara"
"Cazes,Abraham"
"Veyna Hernandez,Alejandro Gerardo"
"C Weber,Alexis"
"Hickman Guevara,Alfonso"
"Perez Sanchez,Alfonso"
"Cuevas Morales,Alfredo"
"Vazquez Gastellu,Alma Rosa"
"Mendez,Antonio"
"Garcia Ramirez,Arturo Alberto"
"Caballero De Ita,Carlos Alberto"
"Arroyo Gonzalez,Carlos"
"Mora Curiel,Celsa"
"Santillan Figueroa,Claudia"
"Nurko Elliot,Dan"
"Esqueda,Daniel"
"Gomez Romo,Daniel Francisco"
"Schmitz,Daniel"
"Lopez Rubio,David Franco"
"Adrian Villarreal,Diego"
"Ortiz Hernandez,Edgardo Fabricio"
"Arellano Guerra,Eduardo Valentin"
"Fuentes,Emilio"
"Lopez Hernandez,Enrique"
"Torres Sanchez,Fabiola Maria Teresa"
"Jimenez Cruz,Federico Jesus"
"Perez Lecuona,Federico"
"Flores,Fernando"
"Javier Villanueva,Francisco"
"Centeno Nolasco,Guillermo"
"Marroquin Sanchez,Gustavo Jesus"
"Gutierrez,Hernan"
"Memetla Martinez,Humberto"
"Moreno,Humberto"
"Hernandez,Irving"
"Fernandez,Ivan"
"Froese Guenther,Jacob"
"Neufeld,Jacob"
"H Siwicke,James"
"Pena,Javier"
"Pena Casimiro,Jesus Alejandro"
"Ernesto Meza,Jesus"
"Martinez Martinez,Jesus Manuel"
"RAMIREZ SABAG,Jetzabeth"
"Alverde Trejo,Joaquin"
"Hernandez Diaz,Joaquin"
"Tovar Balderas,Jonathan"
"Bello,Jorge"
"F Paniagua Solis,Jorge"
"Fosado Rodriguez,Jose Antonio"
"Rodriguez Hernandez,Jose Antonio"
"Cabello Fuentes,Jose"
"Escobar Aguilar,Jose"
"Jaime Elizarraras,Jose"
"Reyes Soto,Jose Jesus"
"Pena Zapata,Jose Ricardo"
"Salinas,Jose"
"Torre,Jose"
"Torres Quiroga,Jose Odon"
"Carlos Casarrubias,Juan"
"Carlos Ortiz,Juan"
"Garcia Cendejas,Juan Francisco"
"Jose Wong,Juan"
"M Quintana,Juan"
"A Vega,Juan Manuel"
"Senosiain Pelaez,Juan Pablo"
"Baca Sanchez,Juan Pedro"
"Manucharyan,Karen"
"Alvarez Contreras,Lorena"
"Sanchez Aguilar,Luis Manuel"
"Rafael Herrera Estrella,Luis"
"Arevalo Pliego,Luis Rodolfo"
"Escamilla,Manuel"
"Torres Cardona,Mario David"
"Rivas,Miguel"
"Delgado Guevara,Narciso"
"Leon Lopez,Neyda Eliza"
"Mendoza Reyes,Osiris"
"E Hernandez,Pedro"
"Naranjo Tackman,Ramon"
"Flores Lira,Ricardo"
"Castillo Cervantes,Salvador"
"Plata Amarillas,Santiago Alonso"
"Parra Becerra,Santiago Manuel"
"Moctezuma Espiricueto,Sergio Alberto"
"Sean Yoo,Terence"
"Zamora LEDEZMA,Victoriano"
"Sada Trevino,Adrian"
"Barrera Torres,Alejandro"
"Hernandez Covarrubias,Alejandro"
"Estrada Buendia,Aristeo"
"Garcia Solis,Arturo"
"A Urquidi,Carlos"
"URQUIDI ALMODOVAR,CARLOS ARMANDO"
"Fabian NAVA,Carlos"
"Gonzalez Inda,Carlos Paul"
"Henonin,Carolina"
"Garcia,Cesar"
"Nieto Alvarez,David Aaron"
"Mondragon,David"
"Garcia,Eduardo"
"Luna Rojero,Erick Emanuel"
"Castro,Ernesto"
"Guillen,Feliciano"
"Mercenari Uribe,Fernando Humberto"
"Thomas Quattlebaum,Gordon"
"Garcia,Gustavo"
"ARMENDARIZ HERRERA,Hector"
"Mendoza Orozco,Hector"
"Cruz,Israel"
"Canales,Javier"
"Trillo Vargas,Jesus Gabriel"
"Aburto Anell,Jorge Arturo"
"Becerra,Jorge"
"Rochin Machado,Jorge Mario"
"Eleazar Zuniga Juarez,Jose"
"Bocanegra Rojas,Jose Gertrudis"
"Martinez Magadan,Jose Manuel"
"Angeles,Juan"
"S Maccherone,Lawrence"
"Quiroz de la Mora,Luis Ernesto"
"Fukubayashi,Makoto"
"Hernandez,Marcelino"
"Dominguez Aguilar,Marco Antonio"
"Fernandez Salgado,Maria Benita Leonor"
"Mosqueira Mondragon,Maria de Lourdes"
"Francesco Pasqual,Maurizio"
"Pons Jimenez,Mirna"
"Perales Solis,Norberto Hector"
"Rangel Alvarez,Omar"
"Bautista Cid,Oscar"
"Campeol,Pierpaolo"
"Alvarez Ruiz,Raul Ezequiel"
"Ceballos Godefroy,Ricardo"
"Sanchez Lugo,Ricardo Daniel"
"R Blake,Robert"
"Guzman,Roberto"
"Manuel Lopez Gomez,Ronald Victor"
"R Mastrangelo,Sebastian V"
"Vega Velazquez,Sergio Alberto"
"Lopez Ramirez,Simon"
"Shinde,Suraj"
"Caloca Galindo,Victor Gerardo"
"Cavazos Sepulveda,Adrian Cesar"
"RAMIREZ SETIEN,ALDO"
"A Gonzalez,Cesar"
"Sanchez,Cesar"
"Guerra Zubiaga,David Apolinar"
"Buenrostro Gonzalez,Eduardo"
"Mariano Juarez,Elmer"
"Barragan,Enrique"
"REMES ZURITA,ENRIQUE"
"Sanchez Sinencio,Feliciano"
"Martinez Bustos,Fernando"
"Xavier Dubost,Francois"
"Sagaon,Gerardo"
"P Paz,Gilberto"
"M Gaxiola,Gustavo"
"Arai,Hayato"
"Sanchez,Hector"
"Aguilar,Ivan"
"Cruz Vargas,Jesus Adan"
"Beas Bujanos,Joaquin"
"AVALOS SOLORZANO,JOSE ADAN"
"Aldo Ramirez,Jose"
"Tovar Pescador,Jose Javier"
"A Martinez,Juan"
"Gonzalez Covarrubias,Juan Miguel"
"Ayala Vera,Julio Cesar"
"Vazquez Cervantes,Laura"
"Huitron Rodriguez,Leonardo Alonso"
"Lopez Moreno,Luis"
"Aurelio Flores Verdugo,Marco"
"RIOS ACEBAL,MARCOS JAVIER"
"Herrera,Mario"
"Diaz,Mauricio"
"Luchsinger Duhalde,Pedro Alfonso"
"W Luchsinger,Pedro"
"Benavides Perez,Ricardo"
"Cisneros Devora,Rodolfo"
"Mumtaz,Sami"
"Medina,Victor"
"Tijerina Ramos,Victor"
"Kuri Harcuch,Walid"
"Van Moorleghem,Wilfried"
"Barragan Trevino,Alfonso Javier"
"Del Angel,Ana Patricia"
"Jusidman,Arie"
"Vallejo Galland,Belinda"
"E Attwood,Brian"
"Angeles Chavez,Carlos"
"Gonzalez Inda,Carlos"
"Hernandez,Cecilia"
"Gomez Gutierrez,David"
"Zendejas Martinez,Eugenio"
"Gonzalez,Fernando"
"Velasco,Francisco"
"Ferrat Torres,Gerardo"
"M Ruiz Palacios,Guillermo"
"SANCHEZ VALENTE,Jaime"
"Rodriguez,Javier"
"Dominguez Cuevas,Jesus Edgar"
"Garcia,Jesus"
"Miranda Nieto,Jorge Adolfo"
"Ruiz Juarez,Jose G"
"Hernandez Cortez,Jose Gonzalo"
"Ruiz Juarez,Jose Guadalupe"
"L Almaraz,Jose"
"Madrigal,Jose"
"Okamoto,Kazuyuki"
"Castillo Jaime,Luis Enrique"
"Blas Martinez,Luis Felipe"
"Cortes Jacome,Maria Antonia"
"Medina Luna,Maria Fernanda"
"Gottfried Gutierrez,Mario Hector"
"Francisco Ruiz Torres,Maximiano"
"Ruiz Torres,Maximiano"
"Sheinberg Frenkel,Moises"
"Ramirez Pavon,Omar Antonio"
"Wirz Luchsinger,Pedro"
"Martinez Palou,Rafael"
"Enriquez Shibayama,Raul"
"Romero Regalado,Adrian"
"Ramirez Estrada,Alejandro"
"Garnier Ortiz,Carlos"
"Avalos Sartorio,Carlos Jose"
"Garcia Delgado,Carolina"
"E Busse,Charles"
"Herrmann,Erhard"
"M Guillemin,Gustavo"
"Beltran Conde,Hiram Isaac"
"Flores Villarreal,Humberto"
"Stuart Fleming,John"
"Leff Yaffe,Jonatan"
"Rodriguez Alcazar,Jorge"
"Alvarez,Jose"
"Rodriguez Figueroa,Jose Carlos"
"Dominguez Esquivel,Jose Manuel"
"Quezada,Jose"
"Villarreal Trevino,Juan Antonio"
"Garcia Martinez,Juan"
"Cabrera y Lopez Caram,Luis Fernando"
"Leon Guerrero,Miguel Angel"
"Avalos Sartorio,Miguel Jose"
"Marquez,Patricia"
"Leal Herrera,Victor Mario"
"Tijerina Ramos,Victor"
"Nguyen Dinh,Xuan"
"Ramos,Arturo"
"A Rodriguez,Erick"
"Lopez Salinas,Esteban"
"Perez Cabrera,Fernando"
"Perez,Francisco"
"Portillo,Hector"
"Fortin,Hugo"
"Velazquez,Israel"
"Toledo Antonio,Jose Antonio"
"Guadalupe Cid Aguilar,Jose"
"Sierra,Jose"
"Aguilar,Mario"
"Flores Aguirre,Raul Daniel"
"Marcos Cabrera Llanos,Roberto"
"Lopez,Rodrigo"
"H Magro,Agueda M"
"Alzaga,Amilcar"
"Alvarez,Angel"
"Tostado,Carlos"
"Paisano Rodriguez,Fernando"
"Septien Prieto,Francisco Javier"
"Javier Vazquez,Francisco"
"Escobar,Gerardo"
"W Seeds,Harold"
"Peregrina Loera,Jose Alfredo"
"Gutierrez,Manuel"
"Burrola,Santos"
"Uehara,Takafumi"
"Fayard,Alfredo"
"Jimenez Hernandez,Alvaro"
"ESTRADA MARTINEZ,Arquimedes"
"Valencia Sil,Arturo S"
"Aguilar Ruelas,Eduardo Arturo"
"Vasquez,Jaime"
"R Morales,Jesus"
"Ancheyta Juarez,Jorge"
"Maquita Nakano,Jorge Manuel"
"Sada,Jorge"
"Mendez Padilla,Juan Martin"
"Castro Sotelo,Laura Veronica"
"Lopez Sanchez,Manuel Alejandro"
"Gonzalez,Pedro"
"G Domenge,Alberto"
"LOPEZ ORTEGA,Alfonso"
"Palacios,Antonio"
"Solis Herrera,Arturo"
"Wimmer,Carl"
"Santillan Gutierrez,Diego"
"Rodriguez,Gustavo"
"O Becerra Novoa,Jorge"
"A Garcia,Jose"
"Perez,Jose"
"Fajardo,Victor"
"Hernandez Magro,Agueda Martinez"
"Villacres Mesias,Diego Fabricio"
"Estrada,Eduardo"
"J Ramirez,Fernando"
"Luis Hernandez,Jose"
"Arroyo,Juan"
"Farioli Brioschi,Luca D"
"Ramirez Chaidez,Luis V"
"Burgess,Patrick"
"Gonzalez,Ricardo"
"Martinez,Alfredo"
"Flores Sandoval,Cesar Andres"
"Garcia,Guadalupe"
"Cano,Gustavo"
"Tawag Mendoza,Jose Filonel"
"Armendariz Borunda,Juan Socorro"
"y Cassou,Marcelo Lozada"
"Gershenson,Meir"
"F Plass,Michael"
"Mario Saucedo,Raul"
"Viramontes Brown,Ricardo"
"Contreras,Roberto"
"Gonzalez Rodriguez,Alonso"
"Hernandez,Delfino"
"Flores Oropeza,Eugenio Alejandro"
"Yamakawa,Toru "
"Aldana Lopez,Rodrigo"
"Mena Cervantes,Violeta Yasmin"
"Jasso Gomez,Alpha Edith"
"Gomez,Francisco"
"Liu,Hongbo"
"A Diaz,Jose"
"Campos Macias,Leobardo"
"Llamas Virgen,Paul"
"Lazcano Navarro,Arturo"
"Munoz,Raul"
"Kramer,Michael"
"Alvarez Ramirez,Fernando"
"Perez Barrera,Oswaldo"
"Gerald Donner,Christopher"
"Vazquez Moreno,Flavio Salvador"
"Parra Vilchis,Jose"
"Zamudio Rivera,Luis Silvestre"
"Laguera Garza,Marcelo Garza"
"Hernandez Altamirano,Raul"
"Arditti Ilitzky,David"
"Vardon,Francois"
"Medina,Raul"
"Luke Molnar,Terence"
"Ocegueda Gallaga,Victor Hugo"
"Zamora Esquivel,Julio"
"De La Guardia Gonzalez,Rafael"
"Camacho Perez,Jose Rodrigo"
"Kimura,Minoru "
"Jimenez,Oscar"
"Mosqueda Mejia,Jose R"
"Cordourier Maruri,Hector"
"Felipe Ortega,Daniel"
"Coronado,Eduardo"
"N Franklin,David"
