Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Francisco Javier Rojo Barranon,"Barranon,Francisco Javier Rojo",1,,,,,,"El Pueblito, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Victor RIOS MERCADILLO,"RIOS MERCADILLO,Victor",1,,,,,,"Querétaro, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Souichi Fujiwara,"Fujiwara,Souichi",6,,,,,,"Yokohama, JP",2011-2021,2011,2021,,,,,,,,,,,,,,,,,,,
Takayuki Fuwa,"Fuwa,Takayuki",4,,,,,,"Tokyo, JP",2006-2021,2006,2021,,,,,,,,,,,,,,,,,,,
Toshifumi Ishibashi,"Ishibashi,Toshifumi",2,,,,,,"Mexico City, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Uriel Padilla Heredia,"Padilla Heredia,Uriel",1,,,,,,"Toluca, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Raul Javier Elias,"Elias,Raul Javier",2,,,,,,"Mexico City, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Benjamin Kulhawik,"Kulhawik,Benjamin",3,,,,,,"Canton, US",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Diego Santillan Gutierrez,"Santillan Gutierrez,Diego",14,,,,,,"Tizayuca, MX",2017-2021,2017,2021,,,,,,,,,,,,,,,,,,,
David William Gaines,"Gaines,David William",8,,,,,,"Farmington, US",1988-2021,1988,2021,,,,,,,,,,,,,,,,,,,
Dante Jaime HERNANDEZ,"HERNANDEZ,Dante Jaime",1,,,,,,"Tlalnepantla, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Carlos Hernandez,"Hernandez,Carlos",9,,,,,,"Mexico City, MX",2000-2023,2000,2023,,,,,,,,,,,,,,,,,,,
David Angeles De La Cruz,"Angeles De La Cruz,David",1,,,,,,"Tlalnepantla, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Alan Sampson,"Sampson,Alan",4,,,,,,"Mexico City, MX",1978-2021,1978,2021,,,,,,,,,,,,,,,,,,,
Alvaro Jimenez,"Jimenez,Alvaro",2,,,,,,"Mexico City, MX",2020-2021,2020,2021,,,,,,,,,,,,,,,,,,,
Hugo Martinez,"Martinez,Hugo",2,,,,,,"Toluca, MX",2017-2021,2017,2021,,,,,,,,,,,,,,,,,,,
Esteban Figueroa Ortiz,"Ortiz,Esteban Figueroa",4,,,,,,"La Y Griega, MX",2020-2021,2020,2021,,,,,,,,,,,,,,,,,,,
Jesus Yee,"Yee,Jesus",10,,,,,,"El Paso, US",2018-2023,2018,2023,,,,,,,,,,,,,,,,,,,
Miguel Angel Gallegos,"Gallegos,Miguel Angel",4,,,,,,"La Y Griega, MX",2012-2021,2012,2021,,,,,,,,,,,,,,,,,,,
David Reyes Lopez,"Lopez,David Reyes",4,,,,,,"Chihuahua, MX",2020-2021,2020,2021,,,,,,,,,,,,,,,,,,,
Miguel Gutierrez,"Gutierrez,Miguel",7,,,,,,"La Y Griega, MX",2016-2021,2016,2021,,,,,,,,,,,,,,,,,,,
Matthias Schopp,"Schopp,Matthias",1,,,,,,"Celle, DE",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Alberto Garcia,"Garcia,Alberto",8,,,,,,"Toluca, MX",1980-2024,1980,2024,,,,,,,,,,,,,,,,,,,
David Ross MACKAY PETT,"MACKAY PETT,David Ross",3,,,,,,"Nochistlán de Mejía, MX",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Abraham Fouad Jalbout,"Jalbout,Abraham Fouad",5,,,,,,"Tucson, US",2021-2022,2021,2022,,,,,,,,,,,,,,,,,,,
Hassan Elsentriecy,"Elsentriecy,Hassan",4,,,,,,"Tucson, US",2021-2022,2021,2022,,,,,,,,,,,,,,,,,,,
Dominic Francis Gervasio,"Gervasio,Dominic Francis",7,,,,,,"Tucson, US",2003-2022,2003,2022,,,,,,,,,,,,,,,,,,,
Andres Godinez,"Godinez,Andres",3,,,,,,"Hermosillo, MX",2021-2022,2021,2022,,,,,,,,,,,,,,,,,,,
Timothy Gerard Offerle,"Offerle,Timothy Gerard",28,,,,,,"Saline, US",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Darin Charles Petrini,"Petrini,Darin Charles",2,,,,,,"Livonia, US",2019-2021,2019,2021,,,,,,,,,,,,,,,,,,,
Roberto Villegas Muriel,"Villegas Muriel,Roberto",3,,,,,,"Atizapán de Zaragoza, MX",2018-2021,2018,2021,,,,,,,,,,,,,,,,,,,
Dale Killins,"Killins,Dale",8,,,,,,"Canton, US",2005-2021,2005,2021,,,,,,,,,,,,,,,,,,,
Rafael Moreno Castro,"Moreno Castro,Rafael",2,,,,,,"Estado de México, MX",2021-2022,2021,2022,,,,,,,,,,,,,,,,,,,
Travis Read,"Read,Travis",57,,,,,,"Little Canada, US",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Nathan Carlson,"Carlson,Nathan",21,,,,,,"Maple Grove, US",2011-2022,2011,2022,,,,,,,,,,,,,,,,,,,
Karla Morales,"Morales,Karla",3,,,,,,"Chihuahua, MX",2020-2021,2020,2021,,,,,,,,,,,,,,,,,,,
Christopher Heintzelman,"Heintzelman,Christopher",16,,,,,,"Plymouth, US",2020-2023,2020,2023,,,,,,,,,,,,,,,,,,,
Javier Rodriguez,"Rodriguez,Javier",9,,,,,,"El Control, MX",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
Domingo Viesca Decanini,"Decanini,Domingo Viesca",2,,,,,,"El Control, MX",2021-2024,2021,2024,,,,,,,,,,,,,,,,,,,
Jan Willem Vervoorst,"Vervoorst,Jan Willem",3,,,,,,"Gauting, DE",2021-2022,2021,2022,,,,,,,,,,,,,,,,,,,
